,ALB,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,SLV,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,PSE
ABW,,0,,0,0,0,,,0,,0,,,0,59,25,0,0,,0,0,,573,0,0,1,,0,0,,,1,,,0,0,0,,0,,3,,10,0,,0,2,,,0,0,27,0,0,0,0,,,0,,0,,2,,0,0,,C,0,,0,0,,C,0,0,,0,,0,225,,0
AUS,,0,9,,"3,092",196,158,,0,"4,724","11,350",,12,8,"26,245","34,301",177,"42,516","2,336","7,659",232,5,70,253,22,"2,853",,0,23,"2,164","31,022","39,119",12,98,"1,672",2,6,1,2,136,"48,315",522,"5,800","152,029","1,947","2,409","16,084",1,30,7,3,"47,402",0,"3,998","2,300",403,2,22,"32,724","28,104","26,942",,23,333,16,471,0,105,"1,265","30,224",357,295,"1,109","2,245","6,304","25,745","1,003",1,,"63,307","366,041",497,0
AUT,6,0,2,"1,141",,39,17,,4,"11,291",260,,98,287,"1,891","1,950",186,154,20,289,42,,9,C,"3,419","2,019",,0,92,"3,771","39,570","89,556",,221,117,0,973,0,0,,"11,222",145,"11,764","11,968",228,319,410,,79,5,14,"25,003",13,62,715,15,2,0,"44,597",,"5,349",,8,C,972,871,799,151,143,762,"2,532",976,52,"4,044",675,"15,680",1,1,,"9,826","26,447",1,2
AZE,,0,,C,61,0,19,,0,2,24,,,0,97,0,3,0,,28,0,,0,C,1,248,,0,0,30,48,704,,,9,0,10,,0,,643,,146,52,3,0,17,,3,0,0,"1,250",0,0,C,0,,0,486,,39,,,,17,0,,14,1,C,0,0,,C,6,197,,78,,122,"1,604",,0
BHS,,0,,C,20,,,,0,5,22,,"6,658",0,531,68,523,388,,3,0,,19,C,4,254,,0,1,9,175,127,,,2,0,0,,14,,104,,35,"1,568",3,49,87,,0,0,0,"2,616",0,0,C,0,,,63,,2,,8,C,C,0,0,6,0,219,0,0,,31,29,"2,612",6,0,,"1,213","8,474",3,0
BHR,8,0,,C,31,0,,,0,2,12,,0,0,59,1,7,227,,61,0,,0,2,0,245,11,0,0,65,148,510,,1,64,0,7,,0,0,839,,192,51,5,2,2,"5,797",0,57,0,"2,432",0,4,C,0,,,464,,110,0,,C,C,6,4,16,"7,727",18,0,0,0,7,23,262,,15,,290,"2,723",,6
BGD,,0,,263,1,0,,,0,,0,,,0,,27,0,618,,63,0,,0,0,0,26,,0,0,1,2,1,,,2,0,0,,0,2,82,,0,21,,0,0,,,0,0,201,0,0,0,74,,,2,,223,,,,0,0,,,0,C,0,0,,C,18,0,,0,,152,665,,0
BRB,,0,8,C,0,801,,,0,,12,,,0,109,13,1,0,,0,1,,12,0,0,20,,1,0,,90,1,,,0,0,0,,0,,9,,3,6,,0,0,,,0,0,11,0,0,C,0,,,0,,0,,5,,0,0,,,0,,6,0,,C,0,41,,0,,81,"1,913",1,0
BLR,,0,,C,28,0,,,,,0,,,0,28,0,0,0,,6,0,,0,5,1,75,,0,3,7,16,191,,,10,0,1,0,0,,98,,42,1,1,0,0,,2,0,0,750,0,0,0,0,,,72,,0,,,,C,0,,179,0,C,1,0,,C,4,62,,0,,43,523,,0
BEL,2,0,3,"1,960","6,606",19,30,,0,,"1,071",,373,89,"6,357","1,274",84,699,68,839,16,,10,C,"2,138","2,872",,0,107,"3,151","96,910","89,573",1,"1,795",54,0,615,30,2,24,"37,289",61,"17,873","36,483","5,050",79,"3,227",0,25,35,31,"88,544",2,16,456,88,20,2,"62,840",,"8,832",0,2,,58,"3,816",78,3,977,C,487,578,"2,284","5,471","1,129","7,890",6,2,,"23,285","64,934",1,0
BLZ,,0,,0,11,0,,,0,0,0,,17,0,13,0,7,0,,1,0,2,2,C,0,19,,0,7,1,1,11,1,,0,0,0,,0,,15,,2,0,,0,0,,,0,0,124,0,0,C,2,,,10,,0,,1,,C,0,,C,0,,0,0,,C,0,11,,0,,6,86,,0
BEN,,0,,0,15,0,,,0,,0,,,0,,43,0,0,,0,0,,0,C,0,16,,0,0,12,1,35,,,0,0,0,,0,,17,,26,0,,0,0,,,0,0,459,0,0,0,14,,,2,,0,,,,0,0,,0,0,,0,0,,C,0,1,,0,,11,162,,0
BMU,,0,1,"4,572",192,11,125,,0,769,,,969,1,"9,737","9,675",66,"112,021",950,"5,048",1,1,18,97,117,"3,570",,0,4,600,"1,498","2,910",1,6,"2,348",0,11,0,2,,"15,013",28,521,"26,083",880,103,737,1,3,10,1,"24,999",0,328,821,120,4,,"12,485",,"6,922",0,6,C,3,60,1,352,40,C,3,2,"8,027",390,"2,379","7,436",342,0,,"9,330","274,843",81,1
BTN,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
BOL,,0,,0,16,0,,,0,,0,,0,0,12,0,11,0,,2,0,,1,0,0,31,,0,0,1,21,49,,,0,0,0,,0,,46,,3,0,,0,0,,,0,0,328,0,0,0,0,,0,53,,0,,,,0,0,,1,0,,0,0,,C,3,52,,0,,14,155,,0
BES,,0,,0,0,0,,,0,,0,,,0,,0,63,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,,,0,0,,,0,0,1,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,158,,0,,71,0,,0
BIH,,0,,0,1,0,,,0,,74,,,0,2,0,0,0,,0,0,,0,0,0,2,,0,0,,1,6,,,0,0,0,0,0,,3,,0,0,,0,0,14,,0,0,151,0,0,0,4,,,0,,0,,,,0,0,,C,0,,0,11,,C,0,0,,0,,2,29,,0
BWA,,0,,0,0,0,,,0,,0,,,0,,4,0,0,,0,0,,0,0,0,1,,0,0,0,0,0,,,0,0,0,,0,,33,,0,0,54,0,0,,,0,0,124,0,0,0,48,,,1,,1,,,,0,0,,,0,,0,0,75,C,1,0,,0,,39,30,,0
BRA,,357,6,"5,044",959,"10,860","1,669",,0,572,862,,,44,"18,877","30,042","2,269",277,5,"1,876",7,6,98,7,14,"3,126",,0,3,576,"7,920","6,041",0,4,"1,197",0,7,0,53,1,"17,536",139,"1,358","13,519","1,029",105,"11,810",,10,13,2,"49,363",0,522,12,1,"2,634",,"15,496",,"10,060",,131,C,C,307,1,159,828,C,4,38,626,"3,289","2,720","5,423",68,25,,"29,718","197,708",571,6
IOQ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,C,0,,,4,,0,,,,0,0,,,0,C,0,0,,C,0,,,0,,0,0,,0
BRN,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,4,0,0,,,0,,0,,,,0,0,,,0,1,0,0,,C,0,0,,0,,5,0,,0
BGR,,0,0,C,435,0,7,,0,107,3,,1,,11,110,0,2,,8,0,,0,0,63,9,,0,26,7,231,"1,446",,6,26,0,48,0,0,0,104,,866,56,12,0,0,,40,0,59,315,5,0,C,0,,0,38,,0,,,,24,7,53,17,0,C,96,95,,199,2,52,,0,,85,103,,0
BFA,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,36,0,,,3,0,0,,0,,0,,0,0,,0,0,,,0,0,1,0,0,C,0,,,0,,0,,,,0,0,,,0,C,0,0,,C,0,0,,0,,16,0,,0
BDI,,0,,0,0,0,,,0,1,0,,,0,,0,0,0,,0,0,,0,0,0,33,,0,0,13,9,122,,,12,0,5,,0,,64,,17,0,,0,0,,,0,0,499,0,0,C,28,,,0,,0,,,,0,0,,,0,C,0,0,,C,5,0,,0,,11,0,,0
KHM,,0,,C,0,0,,,0,,0,,,0,,0,0,7,,3,0,,0,0,0,0,,0,0,,150,0,2,,11,0,0,,0,0,0,,0,2,,0,86,,,0,0,562,0,42,0,0,,,30,,1,,,,0,0,,,0,C,0,0,,C,0,2,0,0,,8,0,,0
CMR,,0,,0,10,0,,,0,0,2,,,0,,0,0,0,,5,0,,0,C,0,31,,0,0,4,106,43,,,5,0,0,,0,,20,,32,4,,0,0,,0,0,0,287,0,0,C,6,,,25,,3,,,,C,0,,0,0,C,0,0,,C,0,25,,0,,-6,283,,0
CAN,15,19,17,"28,007","4,449",57,166,0,0,"9,186","33,934",57,139,42,,"28,250",764,"17,479",519,"4,699",711,12,93,553,116,"6,300",16,5,80,"5,301","31,012","87,580",35,51,"3,063",4,37,14,25,1,"67,071",873,"4,512","75,977",760,"2,718","11,048",13,71,16,4,"81,054",0,"1,561","8,780",63,66,24,"32,745",C,"34,945",,49,24,180,678,20,336,29,"18,273",536,604,820,"2,973","10,998","40,277",455,10,2,"63,706","1,097,840",396,5
CPV,,0,,0,0,0,,,0,,0,,0,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,35,,,0,,0,0,,C,0,0,,0,,0,0,,0
CYM,,0,4,"43,131","2,400","9,820","3,539",,0,"2,871","26,657",,"5,679",27,"42,395",,"1,204","635,236","10,094","55,086",101,22,"12,537",257,118,"11,406",,1,24,"17,774","16,886","28,028",8,54,"14,857",0,55,1,12,212,"95,410",973,"3,070","955,972","4,510",201,"20,759","1,229",39,75,5,"173,366",0,"4,907","3,377","3,553",4,3,"57,459","2,250","23,881",2,183,818,79,"1,154",7,591,"35,207","48,715",77,72,"1,231","4,440","24,267","63,292","1,365",233,,"69,633","2,000,800",60,0
CAF,,0,,C,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,1,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,2,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,0,0,,1,0,,0
TCD,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
CHL,,40,1,635,568,50,116,,0,387,"1,129",,85,13,"3,978",680,,666,69,195,78,9,23,13,1,903,,0,C,172,"2,887","4,929",1,35,92,0,4,0,0,,"3,743",104,937,"4,140",39,102,765,,47,4,1,"8,577",0,82,C,10,69,,"2,871",,"1,258",,155,C,33,30,,47,566,C,53,12,24,198,451,"3,874",128,0,,"4,683","35,881",258,7
HKG,,1,12,"16,890",450,14,"1,132",,0,647,"24,820",,18,1,"10,995","14,439",82,,"14,701","226,426",11,0,37,13,30,"2,979",28,0,C,409,"5,381","8,953",2,3,397,0,91,0,7,188,"17,508",910,572,"19,919",877,118,"11,143",5,9,1,0,"42,503",0,"7,257",C,"5,962",9,87,"14,654",996,"9,114",,1,882,C,582,C,209,"3,661","37,540",81,35,292,407,"3,291","7,480","3,208",5,,"53,420","180,713",6,10
MAC,,0,0,30,16,0,,,0,,13,,0,0,,278,2,"4,632",,"4,427",1,,0,0,0,9,,0,0,6,321,80,,,3,0,0,,0,0,89,,9,71,1,0,167,,,0,2,247,0,23,0,0,,,29,,0,,,C,0,170,,,0,C,0,1,,C,0,79,462,0,,"1,768",233,,0
CHN,,1,1,"19,904",661,14,66,,5,860,"9,950",,8,83,"32,426","80,488",145,"352,531","44,915",,36,1,78,10,15,"2,875",,2,44,813,"11,337","12,525",1,7,"2,032",0,95,21,552,518,"31,745",17,"1,526","28,445","23,330",825,"16,692",22,11,10,1,"73,327",0,"5,811",C,"1,296",80,8,"14,532",C,"15,440",,18,468,2,799,0,23,"13,059","142,583",113,128,"1,419",239,"6,308","9,575","4,411",10,,"60,815","222,282",0,15
CXQ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,,,0,,0,,,0
CCQ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,,,0,,133,,,0
COL,,0,1,326,212,28,46,,0,72,537,,25,9,"1,551",617,931,29,1,223,,21,12,1,0,"1,240",,1,1,285,563,"4,387",0,1,54,0,5,,0,,"5,498",17,768,"1,987",31,68,201,,4,1,0,"10,593",0,64,C,0,42,,"5,026",,"1,783",,676,C,35,58,,49,233,C,0,3,,208,345,"1,504",1,0,,"2,591","28,792",90,0
COM,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
COD,,0,,0,0,0,,,0,3,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,,2,0,0,,0,,0,,0,0,,0,0,,,0,0,16,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,3,0,,0
COG,,0,,C,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,2,,0,0,1,13,1,,,0,0,0,,0,,24,,3,0,,0,0,,,0,0,37,0,0,0,0,,,3,,0,,,,0,0,,,0,,0,0,,C,0,1,,0,,6,160,,0
COK,,0,,0,0,0,,,0,,0,,1,0,,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,,,0,0,0,,0,,0,1,0,0,,0,0,,,0,0,0,0,0,C,0,,,0,,0,,,,0,0,,,0,C,0,0,,C,0,,,0,,0,10,,0
CRI,,0,,C,60,21,,,0,1,73,,8,0,78,81,19,0,,45,1,,1,C,1,256,,344,0,61,27,950,,0,12,26,2,,0,,557,3,106,59,4,0,1,,1,0,0,"2,181",0,0,C,0,,,561,,6,,314,,C,16,,3,0,C,0,0,,3,12,166,0,0,,127,"2,187",2,0
CIV,,0,,C,60,0,,,0,5,10,,,0,126,77,4,320,,30,0,,0,18,0,211,,0,0,93,456,796,,0,121,0,2,,0,,515,,196,31,21,0,1,,1,0,0,"2,591",0,0,0,251,,,279,,196,,,,C,0,C,3,143,C,0,1,,3,2,172,,0,,236,"2,026",2,0
HRV,,0,0,12,871,0,5,,0,37,6,,,366,136,29,9,0,5,26,1,,0,0,21,181,,0,C,143,335,"2,222",1,13,26,0,168,0,0,,373,1,749,252,1,20,5,,65,0,260,"1,185",0,0,18,0,,0,503,,54,,,C,91,37,62,5,2,C,65,125,0,37,15,195,,1,,263,"1,730",,0
CUB,,0,,0,0,0,,,0,,2,,,0,,0,0,0,,27,0,,0,0,0,0,,0,0,,13,0,,,13,0,0,0,0,,0,,0,7,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,C,0,0,,C,0,0,,0,,0,0,,0
CUW,,0,2,0,82,0,,,0,163,69,,11,0,"1,550","15,360",0,0,2,326,0,,,12,22,133,,0,0,35,"3,052","1,120",0,2,0,0,0,,0,,"1,027",,204,"1,706",4,6,7,,0,0,0,"1,681",0,1,"1,290",46,29,,675,,542,,1,C,7,0,C,9,0,C,1,2,,527,214,"2,781",,0,,318,"40,926",1,0
CYP,7,0,,39,351,0,,,0,37,13,,1,12,93,98,0,34,0,47,0,,115,,68,33,,0,77,61,651,964,8,532,"2,397",0,19,0,2,,936,,539,309,"2,796",0,16,,10,3,6,"5,230",0,1,C,52,,0,66,,500,,,,84,36,18,"2,562",0,C,12,42,9,62,212,172,,0,66,779,"2,611",,0
CZE,40,0,0,131,"3,353",0,23,,0,"19,315",138,,0,476,635,0,2,10,5,31,0,,0,14,,420,7,0,43,149,"2,464","5,997",1,18,165,0,357,0,0,,"2,615",9,985,984,118,11,32,,88,3,27,"6,142",0,0,C,1,,0,"2,442",,131,,,,"1,106",172,5,1,0,C,"1,657",294,5,456,172,847,,0,,"3,156","3,959",0,0
DNK,,0,3,"3,876","2,788",0,45,,0,"2,209",764,,10,11,"7,116",872,38,679,118,947,57,0,14,53,102,,,0,83,"20,428","16,092","57,581",239,28,"8,473",0,19,36,32,,"17,845",46,"3,960","26,723","2,287",127,"1,893",,34,3,7,"51,432",3,59,"6,397",165,24,3,"14,920",65,"23,530",,1,C,64,258,14,38,454,C,101,116,94,"2,388","20,899","8,125",122,3,,"23,523","114,745",152,1
DJI,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,3,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
DMA,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,1,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,19,0,,0
DOM,,0,0,7,91,14,,,0,4,80,,35,0,273,4,96,0,0,86,0,12,1,0,0,586,,0,0,206,64,"1,541",0,,23,0,0,,0,,"1,220",,273,212,16,0,8,,1,0,0,"4,197",0,0,C,0,,,"1,266",,3,,193,,42,0,C,1,8,C,0,0,,C,34,402,,0,,514,"5,288",,0
ECU,,0,,21,82,0,1,,0,4,23,,3,1,162,11,47,5,,103,0,4,1,1,0,509,,0,0,102,98,890,0,,74,0,1,,0,,"1,025",1,226,154,4,0,1,,1,2,0,"5,622",0,1,0,0,,,"1,226",,4,,39,,14,6,,4,13,13,0,0,,11,32,259,,0,,"1,106","4,226",6,0
EGY,10,0,0,116,115,0,455,,0,9,128,,2,0,295,943,6,17,,193,0,,0,C,0,690,,0,0,302,376,"1,888",,,479,0,2,,0,3,"2,731",,578,419,67,0,39,177,2,7,0,"8,168",0,8,C,513,,,"1,787",,516,3,1,C,27,4,C,12,"5,383",C,0,1,225,21,125,385,3,1,,"11,522","11,818",0,6
SLV,,0,,C,20,0,,,0,1,19,,,0,101,4,15,0,,33,23,5,0,0,0,195,,,0,21,5,234,,,15,0,0,,0,,357,,81,27,4,0,0,,0,0,0,"1,612",0,0,0,0,,,470,,3,,77,,0,0,C,,6,C,0,0,,C,23,93,,0,,72,"1,878",0,0
GNQ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,4,0,,,0,0,0,0,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
ERI,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,12,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
EST,5,0,,0,92,0,,,0,18,0,,0,1,4,0,0,0,,0,0,,0,2,1,40,,0,,473,83,221,,0,14,0,5,0,0,,33,,45,7,,0,0,,370,0,389,259,0,0,523,0,,0,28,,33,,,,13,0,,,0,,39,32,7,3,145,43,,0,,7,76,,0
ETH,,0,,C,6,0,,,0,0,13,,,0,,0,0,0,,6,0,,0,0,0,19,,0,0,6,0,85,,,7,0,0,,0,,99,,12,9,,0,0,,,0,0,427,0,0,0,12,,,26,,2,,,,0,0,,,0,C,0,0,,C,0,20,,0,,58,248,,0
FLK,,0,,0,0,0,,,0,0,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,1,,0
FRO,,0,,C,6,0,,,0,18,0,,,0,,0,0,0,,0,0,,0,0,0,455,,0,0,55,49,103,,,1,0,0,4,0,,66,,6,,,0,1,,0,0,0,316,0,0,0,0,,,130,,595,,,,1,0,,,0,C,0,0,,13,407,39,,0,,-14,"1,080",,0
FJI,,0,,0,0,0,,,0,,2,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,0,6,1,,0,0,0,,0,,6,,0,0,,0,0,,,0,0,11,0,0,0,0,,,0,,0,,,C,0,0,,,0,,0,0,,C,0,0,,0,,27,85,,0
FIN,,0,1,"2,809","3,707",3,20,,0,"5,917","1,411",,7,28,"3,281","2,528",29,865,36,548,34,0,10,C,29,"8,413",,0,711,,"31,821","54,141",9,60,"1,153",0,8,11,0,,"30,716",62,"4,746","14,005","3,618",108,966,0,236,1,110,"37,219",0,21,"1,084",53,12,0,"29,885",C,"19,325",,1,C,80,"1,083",70,44,686,C,147,338,91,"4,300","47,654","8,787",207,2,,"17,474","56,140",17,0
FRA,85,0,27,"23,310","30,312",135,749,,0,"140,640","11,707",104,224,571,"46,821","56,343","1,368","14,623","1,075","8,606","1,041",11,"1,226",905,"1,414","20,118",38,0,500,"18,047",,"466,328",192,"2,880","2,828",4,249,496,4,2,"221,834","7,310","171,085","285,909","6,344","3,091","27,892",47,440,220,156,"464,388",17,"2,525","3,583",134,119,1,"208,423","2,444","70,703",,19,219,"1,371","13,848",348,560,"9,855",C,"1,578","2,568","1,363","70,398","20,445","79,135",956,22,,"188,684","656,441",219,12
TFQ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,,,0,,0,,,0
PYF,,0,,0,2,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,18,,0,0,,122,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
NCL,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,372,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,135,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
GAB,,0,,C,9,0,,,0,3,0,,,0,38,0,0,0,,17,0,,0,0,0,107,,0,0,8,193,26,,,6,0,0,,0,,127,,29,26,1,0,0,,0,0,0,694,0,0,0,1,,,67,,0,,,,0,0,,0,5,C,0,0,,C,2,42,,0,,59,661,,0
GMB,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,1,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,16,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
GEO,15,0,,3,38,0,,,0,0,37,,0,0,67,193,0,0,,7,0,,0,C,1,163,,0,2,4,20,155,,,11,0,2,,0,,91,3,76,6,,5,6,,7,0,10,"1,348",0,0,C,1,,2,72,,0,,,,C,0,,2,0,C,0,0,,2,5,46,10,0,,650,676,,0
DEU,131,64,12,"31,676","54,429",86,555,,0,"45,867","5,574",,212,684,"34,103","27,958","5,058","18,769",902,"12,572",561,128,66,487,"1,013","58,683",,0,584,"19,106","212,461",,98,"2,127","7,382",0,674,56,0,46,"150,859","5,924","75,334","129,971","15,066","2,032","10,119",20,376,65,230,"393,974",52,"2,288","21,123",300,116,4,"233,345",C,"73,809",,36,49,940,"7,245",347,"2,161","7,400",C,"1,365","1,743",543,"32,576","24,893","85,245",478,44,,"165,307","464,830",56,32
GHA,,0,,C,35,0,2,,0,2,36,,,0,8,1,3,"1,151",,50,0,,0,12,0,269,1,0,1,84,50,397,,,33,0,1,,0,,594,,92,217,16,0,1,,0,2,0,"3,490",0,0,C,217,,,676,,19,,1,C,3,0,,1,8,C,0,0,218,C,14,131,,0,,845,"2,952",,0
GIB,,0,,C,1,0,,,0,0,0,,"1,015",0,,15,0,0,,0,0,,0,C,0,1,,0,0,12,66,28,,,16,0,0,,0,,20,,59,0,13,0,0,,0,0,0,15,0,0,697,1,,,3,,29,,,,0,0,,1,0,C,0,0,,43,19,73,,0,,410,148,,0
GRC,161,2,2,254,251,0,15,,0,237,418,,0,51,526,"4,433",2,4,,142,0,0,0,437,21,581,,0,7,293,"3,842","5,947",3,,31,0,83,0,0,,"1,256",6,"3,999",885,718,0,66,,11,1,3,"11,812",0,1,C,6,,0,703,,427,,,,68,"1,148",11,11,59,C,16,59,60,"1,964",260,308,7,4,,"2,196","11,434",0,0
GRL,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,56,,0,0,0,0,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,C,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,59,,0,,0,165,,0
GRD,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,,0,0,,,1,,,0,0,0,,0,,13,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,2,,C,0,0,,0,,0,38,,0
GLP,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,,0,,0,0,,,0,,,0,0,0,,0,,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,,,0,,,,0,0,,,0,,0,0,,C,0,,,0,,10,0,,0
GUM,,0,,0,0,0,5,,0,,0,,0,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,30,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,,,0,,0,,,0
GTM,,0,,2,34,484,,,0,0,30,,1,0,51,2,38,0,,30,0,7,0,0,0,77,,0,0,8,19,389,,,3,0,0,,0,,166,,35,17,3,0,2,,,0,0,726,0,0,0,0,,,224,,3,,289,,C,0,,C,0,C,0,0,,C,8,132,,0,,69,918,,0
GGY,,0,0,335,253,16,7,,0,342,365,,89,2,"2,176",80,22,"2,103",44,"2,490",7,,0,39,15,"3,502",,0,3,"2,128","3,617","3,059",2,9,,0,10,47,0,67,"4,381",18,709,"2,591",307,2,825,0,16,4,0,"15,748",0,14,254,96,,,"5,213",,"1,594",,1,1,19,34,74,767,0,C,127,1,"4,542",544,"1,494","20,183",26,0,,"26,513","46,821",24,0
GUF,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,,,0,,,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,0
GIN,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,57,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,10,0,,0
GNB,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,10,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
