,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
ABW,0,,0,6,3,0,,0,0,0,0,7,16,0,14,1,,,24,,0,,,,18,12,,,0,,,,,40,0,,7,"1,066",,0,1,,,0,0,,,,,222,136,,31,,,,0,0,0,0,,,,0,0,4,,,,156,"1,102",0,0
AUS,71,1,,"3,012",19,340,"1,376","3,567","7,779",5,9,"16,903",744,12,"42,439",634,,31,918,100,"1,490",3,26,"1,402","24,660","19,860",12,252,"1,449",34,46,2,18,"34,656",132,383,"3,713","65,931","4,472",692,"3,074",1,1,7,"41,768",363,129,102,0,"20,453",49,"7,903","6,756",,33,360,7,785,0,989,"31,922",2,77,"4,201","6,441","13,469","4,174",0,,"86,456","222,570",1,0
AUT,23,0,"1,014",,25,65,91,"11,579",507,"2,819",48,"2,520",549,0,996,39,2,0,380,"2,487","1,465",6,379,"4,411","56,114","89,923",10,"2,236","2,222","1,148",502,,,"12,934",43,252,"16,194","13,793","2,985",46,123,1,1,6,"37,774",8,286,1,,"20,277",2,C,"5,709",,0,3,"2,097","1,853",671,59,"1,363",663,5,"5,539","2,408","35,572",40,24,,"17,773","28,997",10,0
AZE,0,,0,0,,0,,0,0,,0,2,,0,0,,,,0,,21,,1,,,0,,,2,,,,,0,0,,1,0,16,0,0,,4,,0,,,,,4,,,1,,,,0,0,0,0,,,,0,0,0,,0,,138,0,0,0
BHS,1,,0,49,,39,10,169,"1,591",503,0,259,185,126,504,8,0,0,24,2,210,,2,C,"2,680",24,4,,"1,230",,,,,"1,225",3,,275,"2,453","1,032",151,20,196,,0,"7,425",18,,18,,68,"1,039",,50,,31,2,0,50,0,41,,,1,82,32,"2,936",,1,,394,"2,262",0,0
BHR,0,,C,29,,,,3,0,1,0,11,,0,73,7,,,35,,9,77,,,139,77,,3,19,,,,,286,2,,29,4,66,0,15,"7,919",,55,209,77,,19,,28,,,1,0,,3,0,8,0,0,171,,,0,1,51,,,,885,0,0,0
BGD,0,,0,0,,0,,0,255,,0,0,,0,195,,,,0,,27,,,C,,0,,,0,,,,,0,0,,0,0,2,0,4,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,71,167,0,0
BRB,0,,C,15,7,0,,46,0,,0,17,4,6,0,,,,48,0,0,,,C,0,68,,,0,0,,,,184,0,,6,44,2,0,0,,,,418,,,,,0,,,,,,,0,0,0,0,,,,0,2,3,,,,109,423,0,0
BLR,0,,0,0,,0,,0,0,,0,0,2,0,0,,,,0,,0,,0,0,,0,,,0,,0,,,0,0,,0,0,2,0,0,,1,,0,,,,,0,,,,,,,0,0,0,70,,,,0,0,0,,,,22,0,0,0
BEL,0,0,"1,191","5,292",,108,423,,866,175,105,"2,996",30,3,963,22,,3,141,"4,858","2,223",1,165,"4,270","79,029","35,460",2,155,744,172,98,1,0,"15,687",14,116,"13,194","20,978","2,216",123,247,5,7,8,"68,130",2,111,67,,"30,336",40,C,"5,450",0,0,15,C,"2,516",6,5,"1,192",20,10,"12,205","2,077","9,409",23,0,,"20,098","37,874",1,0
BLZ,0,0,C,4,,0,,0,2,3,0,8,1,0,C,,,0,0,8,4,,,,0,4,,,0,,,,,0,0,,7,2,,0,0,,,,32,,,,,10,,,,,1,,0,0,0,13,,,,0,0,5,,0,,0,88,0,0
BEN,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
BMU,0,1,C,980,5,183,21,"2,072",,"3,177",0,"10,069",171,3,"103,286",429,0,2,67,78,"1,792",,11,684,"13,906","3,386",26,53,"4,570",2,26,,4,"5,949","1,006",8,"5,302","12,633","1,076",17,364,167,1,8,"23,845",217,,725,,"5,213","1,243",,"3,633",0,0,71,104,158,0,51,"7,373",1,"6,126",687,"2,411","5,152",0,,,"14,292","272,968",19,0
BTN,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
BOL,0,,0,0,,0,,0,0,0,0,0,2,1,0,,,,0,,0,,,,,0,,,1,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,0,,9,10,0,0
BIH,0,,0,63,,0,,2,0,,0,0,,0,0,,,,0,,46,,,C,6,1,,,5,,0,,,0,0,,2,3,,0,0,27,,,159,,,,,32,,,1,,,,0,0,0,2,,1,,0,12,0,,,,72,90,0,0
BWA,0,,0,0,,0,,0,14,,0,0,,0,0,,,,0,,1,,,,0,0,,,1,,,,,0,0,,0,0,,0,0,,,,0,,,71,,3,,,,,,,0,0,0,0,,,57,0,2,0,,,,0,6,0,0
BRA,"2,930",2,"1,409",782,"6,110",0,2,641,219,,0,"10,074","13,803","3,196",98,6,17,47,19,9,"3,629",45,,723,"5,810","7,952",10,125,"1,747",5,1,,0,"6,499",7,5,"3,991","8,422",379,0,"4,535",,6,15,"45,340",16,,0,,"8,092",79,C,"3,457",,319,74,0,"4,443",0,2,,3,751,"5,849","1,585","2,160",,13,,"27,958","188,807",892,10
IOQ,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,2,,,,0,0,0,0,,,,0,10,,,,,0,0,0,0
BRN,0,,C,0,,4,,0,0,,0,0,,0,C,,,,0,,0,,,,8,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,-8,0,1,0
BGR,0,,C,545,,0,,9,2,,,0,,0,C,,,,128,1,39,,139,0,67,579,,942,3,16,36,,,118,0,,76,27,112,0,0,,5,0,275,1,,,,54,1,,16,,,1,C,0,6,4,,0,,5,51,48,,1,,200,561,0,0
BFA,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,1,,,,0,0,0,0
BDI,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,0,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,4,0,0
KHM,0,,0,0,,0,,0,0,,0,0,,0,C,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,3,,,,,,,0,0,0,0,,,,0,1,0,,,,0,0,0,0
CMR,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,69,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,16,,0,,,,,,,0,0,0,0,,,,0,0,1,,,,6,0,0,0
CAN,28,5,"8,769","2,754",51,136,718,"4,494","7,357",73,1,,819,154,"6,035",142,29,3,787,84,"2,611",5,13,447,"15,108","16,072",14,115,"1,321",11,420,0,17,"24,812",48,170,"2,533","51,235","1,386",57,902,3,3,21,"43,365",41,29,86,18,"10,197",170,582,"8,536",,1,3,65,222,0,47,"5,060",7,78,"2,045","4,755","16,595",73,1,,"24,266","586,454",7,1
CPV,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,7,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,71,0,0,,,,0,0,0,,,,0,0,0,0
CYM,2,0,"2,120","12,592",61,"7,273",310,"8,517","16,479",764,2,"14,653",,401,"130,093",812,,27,631,345,"4,490",74,19,"8,984","111,799","44,185",78,"3,214","38,845",34,79,,151,"53,793","2,290",286,"26,166","357,292","33,323",23,"5,366","1,825",2,22,"86,022",370,113,"1,044",78,"22,896","16,262",C,"4,826",,176,297,101,"15,354",0,38,"7,871",1,43,"20,134","6,951","58,469",296,57,,"160,989","543,887",8,14
CAF,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,0,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
TCD,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
CHL,93,,C,54,-21,0,82,35,"2,385",6,0,65,224,,89,0,4,3,13,,216,0,,7,319,146,,,27,,0,2,,445,0,1,81,456,6,0,94,,,,"1,527",0,,,,515,13,,51,,51,0,0,0,0,0,,1,,421,91,45,6,,,"1,796","12,774",37,6
HKG,0,3,"6,169",693,7,148,2,546,"5,794",1,0,"7,714",3,57,,"2,198",13,2,3,98,"2,348",1,0,995,"5,302","4,268",4,10,"1,061",1,42,37,423,"15,753",74,214,"1,006","18,351",589,4,"17,070",6,1,1,"35,108","1,902",,"4,817",,"8,167",12,171,"2,773",0,2,155,C,46,0,1,"22,125",0,15,647,"2,631","2,384",155,0,,"43,755","121,276",0,0
MAC,0,,C,0,,0,,0,0,,0,0,,0,38,,,,0,,0,,,,,0,,,0,,,,,1,0,,0,1,,0,0,,,,0,,,,,0,,,,,,,C,102,0,0,,,,0,0,0,,,,2,0,0,0
CHN,105,0,C,640,,7,7,404,946,15,0,"3,430",35,72,"165,721","1,881",,6,30,62,"1,255",1,0,543,"10,010","3,243",,185,576,6,15,35,0,"7,252",57,7,979,"15,501",240,0,"23,268",285,2,6,"36,170",106,,"4,159",,"3,729",13,C,"1,238",,5,53,1,21,0,7,"18,075",2,1,"1,254","1,296","1,146",39,0,,"38,830","97,240",1,0
CXQ,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,,,,,0,0,0,0
CCQ,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,,,,,0,0,0,0
COL,1,,C,147,57,0,14,25,4,3,0,211,63,153,3,,,10,0,,784,,,0,200,558,,3,266,,,,,"1,203",0,,352,833,18,0,5,,1,0,"1,849",,,,,732,2,,14,,528,2,0,0,0,0,,1,,144,25,47,1,,,819,"6,795",5,8
COM,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,5,,0,,,,,,,0,0,0,0,,,1,0,0,0,,,,0,0,0,0
COD,0,,0,0,,0,,50,0,,0,0,,0,0,,,,0,,0,,,,111,0,,,0,,,,,1,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
COG,0,,0,0,,0,,0,0,,0,0,1,0,0,,,,0,,0,,,,0,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,35,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,16,0,0,0
COK,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,29,23,,0,0,,0,0,,,,0,,,0,,0,,,,,,,0,0,0,0,,,,0,0,,,,,0,0,0,0
CRI,0,,0,12,31,0,,1,9,5,0,0,23,0,3,,,,0,,14,,,,10,66,,0,0,,,,,6,0,,4,54,4,0,0,,,,68,,,,,1,0,,15,,105,1,0,0,0,0,,,,0,0,8,,,,171,376,0,0
CIV,0,,0,1,,0,,9,12,,0,0,,0,0,,,,0,,52,,,C,103,118,,0,18,,,,,221,0,,5,4,6,0,0,,,,171,,,198,,19,,,1,,,,0,0,0,0,,,,0,2,380,,,,153,159,0,0
HRV,0,,0,"1,967",,0,,77,23,,26,6,11,0,37,,,,75,18,10,,22,C,397,"1,381",,24,25,48,0,,,371,0,,287,120,18,0,2,,7,,"1,079",,33,,,571,0,,178,,,,4,36,0,1,,12,,1,191,45,,,,726,468,0,0
CUB,0,,0,0,,0,2,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,1,,0,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,16,,,,0,7,0,,,,107,0,0,0
CYP,0,,0,"4,954",,70,,310,14,0,0,287,,0,621,1,,,,388,137,,56,28,"3,435","2,370",,"2,591",608,13,45,,,315,0,,330,60,727,3,1,,1,0,"2,625",5,45,510,,"1,008",,,563,,,,66,151,37,"1,366",,51,,78,77,346,,,,"1,482","2,968",0,0
CZE,0,,77,"2,154",,0,0,"1,023",4,1,0,113,,0,C,,,,110,,351,,20,224,"1,247","3,358",,12,113,263,0,,,"1,990",0,,229,729,34,0,152,,1,,"4,091",,,,,"1,471",0,,64,,,,638,79,0,46,,130,,121,260,220,,,,"2,134","5,351",0,0
DNK,0,1,"1,096","4,338",4,17,304,"8,926",632,203,2,"2,408",235,0,"1,425",43,,,258,59,,4,176,"7,362","9,162","26,065",74,190,"4,769",3,658,,,"13,408",532,48,"1,521","12,400","2,530",4,74,0,5,4,"19,969",78,117,,,"6,415",2,C,"14,210",,25,,71,743,0,5,"1,406",1,6,"1,635","22,006","6,953",2,0,,"21,756","47,157",6,0
DJI,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,4,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
DMA,0,,0,0,,0,,,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,0,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,3,,,,0,0,0,,,,0,0,0,0
DOM,0,,0,21,7,0,0,1,0,,0,47,5,1,C,,,0,0,,109,,,C,18,115,,,6,,,,,75,0,,22,43,4,0,0,,,0,299,,,,,387,0,,,,25,,0,15,0,0,,,,0,0,11,,,,899,849,0,0
ECU,0,,0,31,,0,,1,2,0,0,3,6,0,9,,0,20,0,,58,,,C,17,41,,0,0,,,,,56,0,,98,70,,0,0,,1,3,450,0,,,,314,,,0,,28,4,0,6,0,0,,,,0,0,7,,1,,140,709,25,12
EGY,0,,C,53,,25,0,32,1,0,0,377,2,0,28,,,,8,0,176,,,0,848,328,2,274,387,,,,,442,0,,72,71,130,0,47,609,,20,"3,719",3,,25,,581,17,C,43,,,1,C,5,0,0,,,124,3,68,45,,,,"4,131","11,868",0,0
SLV,0,,C,15,39,0,2,1,0,,0,7,11,1,C,,,6,0,,132,,,C,26,131,,,0,,,,,56,0,,34,71,6,0,0,,,,363,,,6,,131,,,8,,254,1,0,0,0,0,,,,0,0,6,1,,,23,835,0,0
GNQ,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,0,,,0,0,,0,0,,0,0,,,,0,,,,,1,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
ERI,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,2,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
EST,0,,0,184,,0,,106,0,,0,0,,0,0,,,,386,15,70,,,534,19,448,,0,13,0,1,,,65,0,,0,0,,0,3,,64,,502,,,,,41,,,42,,,,112,0,0,9,,,,8,"1,849",4,,0,,36,174,0,0
ETH,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,1,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,2,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,2,0,0,0
FLK,0,,0,0,,0,,3,3,,0,0,,0,0,,,,0,,0,,,,,10,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,1,,,,,,,0,0,0,0,,,,0,0,2,,,,1,4,0,0
FRO,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,368,,,,,44,,,0,,0,,,29,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,1,,,,1,14,0,0
FJI,0,,0,1,,0,,0,0,,0,0,7,0,0,,,,0,,0,,,,,10,,,0,,,,,0,0,,1,0,,0,3,,,,0,,,,,4,,,,,,4,0,0,0,0,,,,0,0,1,,,,15,29,0,0
FIN,45,1,"1,330","3,568",20,44,1,"6,964",760,1,0,"3,898",96,2,993,13,4,2,192,47,"7,304",,580,,"29,975","31,145",2,155,"1,471",4,307,,0,"11,089",266,35,"4,363","9,400",777,72,175,2,33,5,"21,847",6,106,0,,"9,678",7,C,"8,215",,,,25,279,0,8,"1,198",227,10,"3,963","22,230","6,949",,1,,"28,731","94,173",5,0
FRA,89,9,"17,935","26,726",49,"1,809","2,134","110,277","15,280",79,40,"32,210","1,541",133,"9,811",276,176,13,"1,047","2,020","14,996",95,629,"26,289",,"248,785",82,"4,985","20,990",204,710,,18,"117,927",186,"1,789","135,019","145,953","13,473","1,123","4,453",390,60,426,"251,098",59,330,80,0,"132,972",300,423,"37,578",,53,91,662,"19,546",34,70,"19,242",289,782,"103,801","22,644","76,041",756,60,,"176,004","443,513",46,10
TFQ,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,,,,,0,0,0,0
PYF,0,,0,3,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,52,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
NCL,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,9,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
GAB,0,,0,12,,0,,7,0,,0,352,,0,0,,,,0,,56,,,C,344,50,,,5,,,,,7,0,,19,20,,0,0,,,,127,17,,,,46,,,,,,,0,0,0,0,,,,0,0,41,,,,19,0,0,0
GMB,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,10,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,8,0,0,0
GEO,0,,0,7,,0,,2,0,,0,0,,2,0,,1,,0,,14,,2,0,0,0,,3,0,,,,,1,0,,1,0,,0,0,,4,0,0,5,,8,,0,,,10,,,,0,0,0,1,,3,,0,1,3,,,,37,150,0,0
DEU,71,6,"16,823","92,854",76,831,"1,385","65,086","20,702",63,216,"32,766","2,208","1,374","10,158",454,290,156,538,"2,935","35,903",80,808,"26,697","424,166",,138,"10,929","9,317",856,"1,577",,19,"137,362",259,848,"137,567","180,613","29,426","2,600","1,792",366,63,271,"369,047",172,"1,322",210,12,"183,833",214,464,"66,984",,,144,"2,122","19,135",475,"1,471","21,338",610,"1,195","78,780","34,221","118,154","1,007",131,,"199,564","421,683",20,12
GHA,0,,0,10,,0,,1,0,,0,0,79,0,0,,,,0,,25,,,C,3,50,,,11,,,0,,21,0,,9,34,,0,0,,1,,149,,,381,,59,,,11,,,,0,0,0,0,,,1,0,1,2,,,,379,193,0,0
GIB,0,,0,127,,0,0,3,0,,0,2,25,0,0,,,,0,62,2,,,C,8,26,,,0,1,,,,19,0,,"1,566",0,2,0,32,,,0,331,,,,,53,,,6,,,,C,150,0,34,,,0,88,9,189,,,,"1,553",96,0,0
GRC,0,1,629,"11,878",,29,,"20,298",64,,79,"1,608",10,0,201,2,,,"1,054","1,145","1,193",3,6,"3,377","62,431","40,238",,,512,5,0,,,"12,411",33,29,"22,363","10,004",599,208,38,0,2,0,"23,641",119,204,0,,"24,740",7,C,"4,924",,0,14,157,"4,384",48,0,"1,208",14,7,"3,695","2,370","3,510",,0,,"19,648","25,484",31,0
GRL,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,82,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,4,0,,,,0,0,0,0
GRD,0,,0,0,,0,,0,0,,0,0,2,0,0,,,0,0,,0,,,,38,1,,,6,,,,,0,1,,0,4,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,2,,,,2,14,0,0
GLP,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,2,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,,,,,-4,0,0,0
GUM,0,,0,15,,7,,0,0,,0,0,,0,0,,,,0,,0,,,,15,0,,,0,,,,,0,3,,0,0,,0,10,,,,0,,,,,0,,,1,,,,0,0,0,0,,,,0,0,,,,,-4,0,0,0
GTM,0,,0,3,87,0,23,0,0,0,0,0,,0,6,,,3,0,,8,,,C,8,34,,,0,,,,,34,0,,2,28,,0,0,,,,30,,,,,1,,,,,72,,0,0,0,0,,,,0,0,1,,,,23,224,0,0
GGY,0,,C,"1,076",,38,45,"1,378",89,10,0,790,107,0,571,10,5,1,21,13,"1,351",,2,812,"8,461","5,663",,224,,44,5,,,"1,101","1,612",22,"1,304","5,127",240,0,25,3,,2,"4,329",,,109,,"3,247",623,,444,,,,C,318,0,111,,,"1,822","1,245",297,"15,048",20,,,"6,350","15,830",0,0
GUF,0,,0,0,,0,,0,3,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,,,,,0,0,0,0
GIN,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,4,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,3,0,0
GNB,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,8,0,0,,,,0,0,0,,,,0,0,0,0
GUY,0,,0,0,,0,0,0,10,,0,0,5,0,0,,,,0,,0,,,,,0,,,1,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,20,,,,0,0,0,,,,73,0,0,0
HTI,0,,C,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,133,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
HND,0,,0,0,,0,,0,0,,0,0,,0,32,,,,0,,0,,,,,3,,,0,,,,,0,0,,0,19,,0,0,,,,0,,,,,7,,,,,76,,0,0,0,0,,,,0,0,0,,,,4,27,0,0
HUN,0,,C,"7,072",,0,0,"1,739",38,0,16,460,,0,48,,,,222,603,489,,98,389,"5,135","13,617",,306,175,,0,,,"2,704",1,5,745,"1,376",106,0,320,,8,,"11,735",0,15,1,,"2,079",0,,621,,,,"1,109",243,0,349,,195,,651,212,614,,,,"4,174","9,225",0,0
ISL,0,1,376,"1,923",45,42,,876,82,0,25,"1,637",131,0,516,,,,122,343,162,,14,77,"2,621","7,690",,41,141,1,,,,"1,391",2,17,"1,707","1,053",2,0,11,,,6,"4,125",1,23,,,738,7,,941,,,,47,334,0,0,323,69,,"1,392",923,"1,530",,,,"6,328","7,268",0,0
IND,22,1,"3,367",863,21,371,1,620,288,0,0,"3,205",80,25,"6,731",31,,0,116,0,"1,978",2,,"1,174","4,991","2,018",36,24,162,,0,,504,"3,136",30,,299,"6,584",631,0,"5,801",165,0,0,"38,341",105,,"110,686",,"3,439",9,C,406,,,49,C,21,0,0,"22,138",3,1,"12,009","1,197",586,21,,,"41,968","85,149",0,0
IDN,0,0,353,134,,0,0,99,32,,0,975,41,51,761,0,,,0,,714,,,74,715,842,,,455,1,0,7,,"1,237",14,,272,"1,433",70,0,752,54,2,0,"7,460",323,,"3,429",,"1,914",480,C,65,,5,49,C,0,0,0,"11,482",1,,34,276,260,21,,,"6,840","18,349",0,0
IRN,0,,0,0,,91,,45,0,,0,15,,92,C,12,,,4,,26,,,,54,34,,0,0,,,,,0,0,,3,0,190,0,0,,,,1,,,,,0,100,,1,0,,,0,0,0,1,,,,0,0,7,,,,"1,170",0,0,0
IRQ,0,,C,12,,0,,0,0,,0,5,,0,0,,,,0,37,54,,,C,117,10,,,2,,,,,15,0,,16,68,,0,341,39,,,0,,,1,,60,,,,,,,0,0,0,0,,,,0,0,14,,,,18,0,0,0
