,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
AFG,0,,0,0,,0,,,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,0,,,0,,,13,,0,,,5,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
ALB,0,,C,0,,0,,14,0,,0,0,,5,0,,,,0,,0,,,,3,1,,60,0,,,,,13,0,,21,0,,0,0,,,0,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,28,13,0,0
DZA,0,,0,0,,0,,0,0,0,0,0,,0,0,,,,0,,0,,,,36,0,,,0,,,,,0,0,,0,0,40,0,0,,,,0,,,19,,0,,,,,,,0,0,0,0,,,,0,52,0,,,,-1,0,0,0
ASM,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,0,,0,2,,,,0,,,,,,,0,0,0,0,,,,0,0,,,,,0,0,0,0
AND,0,,0,0,,0,,0,0,0,0,0,,0,0,,,,0,,0,,,0,0,0,,,4,,,,,0,0,1,0,0,,0,0,,,,0,,,,,0,10,,22,,,,0,0,0,3,,,,0,0,0,4,,,-36,14,0,0
AGO,0,,0,0,,0,,0,0,0,0,0,4,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,7,,0,,,,,,,0,290,0,0,,,,0,0,0,,,,169,0,0,0
AIA,0,,0,0,,0,,0,0,0,0,0,,0,C,,,,0,,0,,,,99,0,,,0,,,,,0,0,2,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,,,,,663,15,0,0
ATG,0,,0,1,,0,0,1,0,0,0,0,,0,0,,,,0,,0,,,,0,1,,,0,,,,,1,0,,0,0,,0,0,,,0,0,,,,,1,,,,,,,0,0,0,0,,,,1,0,,,,,1,127,0,0
ARG,,0,45,294,101,0,1,105,59,213,0,151,391,201,36,,2,16,0,0,960,,,0,"1,130","1,287",,3,515,0,1,,,"1,575",0,,"4,937","1,468",94,0,10,,4,1,"4,200",,,0,131,"2,139",17,,74,,37,19,0,31,0,62,117,,,401,26,262,,0,,"5,233","9,826",145,350
ARM,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,16,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,6,,,,0,0,0,,,,0,0,0,0
