,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
HND,0,,0,0,,,,0,0,,0,0,,0,68,,,0,0,,0,,,,,3,,0,0,,,,,0,0,,,18,,0,0,,0,,11,,,,7,0,,,0,,136,,0,0,0,0,,,,0,,0,0,,,8,29,0,,
HUN,0,,37,"7,070",,,0,"1,423",85,4,6,249,20,0,24,,,0,861,500,551,,119,126,"3,897","11,176",,331,145,,0,,,"3,836",0,,672,"1,035",14,0,21,,4,,"11,982",0,,,,"1,777",0,,495,,,,890,228,6,0,,118,0,494,426,362,0,,,"5,109","8,410",0,,
ISL,0,,C,"1,575",45,,,857,92,0,0,324,121,0,525,20,,0,193,358,40,,6,245,"3,454","7,121",,50,248,0,,,,"1,862",2,21,"1,743","1,122",4,0,16,,0,1,"3,862",,19,,,792,7,,903,,,,C,274,0,0,,38,,"1,481",429,"1,266",0,,,"5,385","7,828",0,,
IND,1,1,C,669,21,120,1,595,133,0,0,"1,520",107,6,"2,986",3,,0,106,0,"1,175",2,,398,"2,069","1,247",8,0,41,0,0,,331,"2,954",26,,330,"4,124",171,0,"1,202",44,0,0,"21,166",133,,"61,779",,"1,475",5,,215,,4,22,C,59,0,0,"7,297",1,1,"5,694",403,260,10,,,"14,968","49,231",0,,
IDN,0,,235,117,,,0,51,149,0,0,630,30,12,C,0,,0,-5,0,501,0,,33,511,651,,0,671,43,0,2,,"1,159",1,,250,925,80,0,105,19,0,0,"4,959",147,,"2,232",,"1,382",2,C,65,,0,6,0,0,0,1,"7,111",1,1,8,162,231,2,,,"4,496","14,072",0,,
IRN,0,,0,8,,20,,0,0,,0,0,,21,18,,,0,7,,0,,,,46,49,,0,0,,,,,0,0,,7,0,,0,0,,0,0,75,,,,,0,,,0,0,,,0,0,0,2,,,,0,,21,0,,,"1,397",0,0,,
IRQ,0,,0,8,,,,2,0,,0,6,,0,0,,,0,0,50,58,,,,241,8,,0,0,,,,,34,0,,15,31,8,0,486,15,0,,276,,,,,38,0,,0,,,,0,0,0,0,,,,0,,13,0,,,3,0,0,,
IRL,0,3,846,"16,149",212,368,197,"23,938","4,704",31,12,"7,787","1,166","2,795","9,057",309,369,0,714,"1,034","6,785",14,98,"12,538","152,252","115,675",18,"1,974","6,781",221,"1,056",93,,,"11,877",179,"63,511","39,843","12,732",422,"1,505",24,4,72,"61,895",379,390,49,133,"36,898",273,C,"8,505",,6,,373,"12,250",0,"1,641","3,137",218,"5,747","27,987","11,998","23,405",401,2,,"171,227","120,513",1,,
IMN,0,,0,50,,,,0,8,0,0,5,1,0,1,,,0,57,,16,,2,0,7,3,,0,153,,0,,,33,,,44,757,59,0,0,,0,1,359,37,,6,,116,,,7,,,,0,0,0,0,,,217,14,3,98,0,,,"2,213",569,0,,
ISR,0,,C,229,,,0,173,7,516,0,718,163,1,15,0,,0,129,1,199,,3,14,792,710,,38,58,7,0,,,411,0,,204,831,84,0,2,,0,,"2,577",,,,,990,0,C,145,,2,,C,7,0,0,231,0,2,17,80,"1,100",54,,,"5,001","41,517",1,,
ITA,10,3,"2,603","20,416",2,64,31,"67,964","2,820",46,52,"8,091",105,1,"1,268",34,2,0,800,876,"5,347",65,86,"8,254","281,061","194,603",10,"1,601","4,282",26,223,,26,"129,275",36,78,,"66,711","2,413",454,416,3,2,36,"163,392",14,828,2,1,"102,186",38,C,"21,057",,2,313,106,"10,525",15,67,"6,190",165,31,"73,549","7,534","10,403",20,130,,"125,833","105,893",16,10,3
JAM,0,1,0,22,,,16,11,25,,0,3,2,0,1,,,1,0,,99,,,C,11,178,,3,1,,,,,18,0,,27,31,,0,2,,0,,192,,,,,11,12,,0,,1,,0,10,0,0,,,,102,18,34,0,,,204,592,0,,134
JPN,274,16,"18,668","3,021",1,157,95,"4,271","7,927",4,5,"39,853",5,48,"18,844",139,21,3,94,31,"11,157",161,9,"3,822","87,851","32,971",6,45,"5,436",16,145,,,"56,984",171,242,"13,921",,"1,712","1,074","2,861",63,0,4,"103,631",255,47,"1,047",,"37,118",312,"2,047","22,376",,0,8,6,268,0,1,"23,479",19,371,"2,585","15,870","18,721",9,,,"226,380","585,567",7,,0
JEY,0,,0,"6,132",20,248,,"5,253",412,6,1,294,537,0,"1,335",32,2,0,4,307,774,,,589,"16,657","18,354",,"1,615","1,168",1,5,,,"15,500",264,12,"7,562","19,158",,0,0,28,0,4,"9,775",,"1,074",69,,"7,346",152,,793,,0,31,C,"4,218",0,0,162,,"1,483",401,522,"46,504",0,,,"53,178","21,450",0,,
JOR,0,,0,1,,,0,,0,,0,0,,0,1,,,0,11,,0,37,,,,3,,0,0,1,,0,,25,0,,,0,,0,0,610,0,37,23,,,,,8,,,0,,,,0,0,0,0,,,,0,0,0,0,,,32,61,0,,
KAZ,0,,C,120,,10,,8,0,,13,11,37,0,18,,,0,14,25,70,,14,0,"1,126",96,,17,100,,0,,,176,0,,48,49,14,,63,,7,0,804,,,,,208,0,,11,,0,21,5,28,0,2,,0,,186,122,154,0,7,,"4,490","1,288",0,,
KEN,0,,0,0,,,,0,0,,0,0,,0,5,,,0,0,,1,,,,,0,,0,14,,,1,,3,0,,,0,37,0,0,3,0,,50,,,63,,3,,,0,,,,0,0,0,0,,,1,0,2,2,0,,,73,15,0,,
KIR,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
PRK,0,1,0,,,,,,,,0,,,,0,,,,0,,0,,,,,0,,,,,,,,0,0,,,0,,0,0,,0,0,0,,,,,0,,,,,,,0,0,0,0,,,,0,,,0,,,,,0,,
KOR,4,1,"3,261",940,411,320,4,390,"4,518",,1,"7,551",131,34,"13,615",208,,0,437,5,"1,521",2,,703,"5,075","5,031",,22,632,11,6,22,11,"9,781",20,2,"1,364","9,113",459,0,,,0,10,"23,318",245,,106,,"6,722",5,C,"3,200",,4,66,C,27,0,0,"17,494",4,10,112,"1,818","2,116",128,,,"36,439","123,875",0,,0
KWT,0,,C,42,40,868,,29,0,,0,0,,0,223,3,,0,63,,3,21,,,18,87,,4,1,,,,,153,0,,1,14,2,0,13,,0,14,369,9,,,,28,,,0,,,,0,4,0,0,,,,0,,6,0,,,"1,126",0,0,,
KGZ,0,,0,0,,,,,1,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,4,,0,0,,0,,2,,,,,0,,,0,,,,0,0,0,61,,,,0,,0,0,,,2,,0,,100
LAO,0,,0,0,,,,1,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,2,,,21,,0,,
LVA,0,,0,136,,,,11,0,,3,0,,0,0,,,0,16,,2,,119,83,92,627,,29,3,,,,,16,0,,6,5,,2,0,,,,158,,,,,71,0,,28,,,,C,0,0,0,,,,1,52,7,0,,,73,13,0,,
LBN,0,,0,1,,,,13,0,6,0,5,,0,6,,,0,25,,123,5,,C,104,34,,0,2,,,,,47,0,,79,26,59,0,2,137,0,,222,,,,,29,,,0,,,,0,0,0,0,,,,0,,12,0,,,534,375,0,,
LSO,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,3,0,,0,0,,,0,,0,,
LBR,0,,0,3,,,,4,25,,0,78,,0,1,,,0,0,0,26,,,,109,14,,0,0,,,,,24,0,,7,92,,0,0,,0,,93,,,,,146,,,213,,,,0,0,0,0,,,1,2,3,18,0,,,143,"5,786",0,,
LBY,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,1,,0,0,,,,,0,0,,0,0,,0,0,,0,,2,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,0,0,,
LIE,0,,0,237,,,,30,0,2,0,2,,0,0,,,0,0,0,1,,4,0,18,375,,0,19,0,,,,28,0,,14,2,96,0,8,,0,,179,,,9,,9,,,0,,,,C,0,0,0,,,0,9,2,,0,,,206,243,0,,
LTU,0,,0,479,,,,102,2,,0,0,,0,C,,,0,33,,40,,90,401,197,"1,645",,0,17,,0,,,277,0,,4,0,,0,0,,9,,607,,,,,157,,,7,,,,C,46,0,12,,,,6,262,85,0,,,159,41,0,,
LUX,"1,626",52,399,"24,524",24,247,225,"135,549","5,268",179,63,"1,999",923,"20,130","21,316",360,287,3,558,"2,485","6,800",1,344,"16,208","132,255","359,758",20,"6,561","6,882","1,779","5,991",,6,"38,920","2,972","1,306","324,791","89,199","7,699",583,"16,563",28,27,109,,281,393,177,820,"67,170",376,C,"8,181",,19,100,"1,467","13,288",19,"1,626","6,601",238,"3,983","64,808","47,908","130,974",397,158,,"87,936","60,102",14,,
MKD,0,,0,24,,,,3,0,,0,0,,0,0,,,0,14,,20,,,,1,137,,3,0,,,,,25,0,,3,0,,0,0,,0,,44,,,,,1,,,0,,,,0,0,0,0,,,,0,,1,0,,5,4,,0,,
MDG,0,,0,0,,,,0,0,,0,0,,0,C,,,0,0,,0,,,,0,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,31,,1,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
MWI,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,1,0,,,0,,0,0,,0,,0,,,5,,0,,,0,,,,0,0,0,0,,,3,0,,0,0,,,6,,0,,
MYS,0,,303,94,,20,2,40,246,1,0,743,39,12,"4,520",97,,0,144,,438,0,,114,"2,072",618,2,0,225,1,0,1,8,"1,367",2,1,290,"1,546",165,0,315,147,0,,"5,630",,,30,,"2,010",5,C,179,,,330,0,8,0,1,"12,510",1,2,1,138,228,136,,,"10,054","15,404",0,,
MDV,0,,0,0,,,,,1,,0,0,,0,0,,,0,0,,4,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,7,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
MLI,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,8,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
MLT,0,,0,84,,,,14,0,0,0,0,,0,1,,,0,34,,1,,0,,129,16,,0,11,,,,,13,0,,326,2,67,0,0,39,0,,123,,,,,8,,,2,,,,0,0,0,0,,1,3,35,2,46,0,,,265,155,0,,
MHL,0,,0,3,,,,6,11,,0,123,,0,5,,,0,52,0,6,,,0,39,20,,0,1,,0,,,8,0,4,17,47,,0,0,,0,,55,,,,,5,,,16,,,,0,0,0,12,,,,2,1,16,0,,,4,"7,461",0,,
MTQ,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
MRT,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,4,0,,34,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
MUS,0,,0,1,,5,,3,0,,0,48,,0,77,1,,0,230,9,8,,,0,101,-21,,0,116,,,0,102,20,19,1,46,115,77,0,2,1,0,,294,0,,,,34,52,,0,0,0,,0,0,0,0,"1,460",,46,0,10,163,0,,,263,639,0,,
MYT,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,0,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
MEX,201,3,347,657,"1,329",,2,432,287,14,3,"4,849","2,847",451,193,2,2,8,135,0,"1,931",,,225,"1,418","4,354",10,17,636,2,1,15,,"2,722",1,15,"4,180","2,416",108,4,146,,0,1,"10,901",0,7,,,"4,448",9,C,"1,473",,78,43,C,142,0,2,835,5,,538,492,917,71,0,,"13,970","108,450",6,,4
FSM,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
MDA,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,25,,,,0,0,,0,0,,,,,4,0,,,0,,0,0,,0,,2,,,,,0,,,0,,,,0,0,2,0,,,,0,,0,0,,,0,,0,,
MCO,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,0,,,,0,0,,9,0,,0,0,,0,1,1,,,,,0,,,0,,,,0,0,0,0,,,,1,,,0,,,0,10,0,,
MNG,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
MNE,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,12,0,,,,,,,,0,0,,,0,2,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
MSR,0,,C,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,7,0,,,0,,0,0,,0,,0,,,,,0,,,0,,14,,0,0,0,0,,,,0,,,0,,,0,,0,,
MAR,0,,C,40,,,0,18,14,,0,4,,0,3,,,0,1,,12,13,,,630,65,,0,21,0,,,,12,0,,41,17,37,0,0,58,0,1,149,,,3,,32,0,,5,,,,0,11,0,0,,,,880,4,47,0,,,137,416,0,,
MOZ,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,2,,0,,,0,,,,0,19,0,0,,,,0,,0,0,,,0,,0,,
MMR,0,,0,0,,,,1,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,0,,,0,,0,0,,,0,,0,,
NAM,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,-4,,0,0,,,,,1,0,,,0,,0,0,,0,,9,,,11,,0,,,0,,,,0,0,0,0,,,43,0,11,0,0,,,8,2,0,,
NRU,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,1,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,2,,0,,
NPL,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,0,,1,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
NLD,40,39,"17,306","25,459",13,685,170,"64,118","5,486",74,70,"14,825",652,192,"13,052",695,280,73,913,"2,407","7,915",30,486,"13,273","220,724","174,937",41,"2,712","4,620",294,290,0,343,"55,535",215,446,"78,456","76,981","10,455","1,558","1,867",273,5,28,"116,582",155,554,812,179,,341,280,"13,042",0,11,164,"1,007","9,544",8,565,"6,055",612,104,"58,288","10,746","54,236",59,132,,"167,892","234,065",61,,
ANT,0,18,C,"1,096",,17,442,"2,383",100,3,7,"1,097",37,2,965,10,1,0,18,65,183,,9,20,"63,336","5,599",,121,555,45,,,,495,10,,"2,324","8,529",135,0,41,,0,3,"3,996",0,,,,"1,956",,,299,,140,,C,503,0,2,,,,"2,985",22,"2,595",0,,,"2,225","58,173",1,,4
NZL,0,,"3,931",148,,,,72,350,0,0,665,33,0,594,2,,0,79,,27,2,,36,335,431,,0,84,1,0,,,"1,574",3,13,114,"4,928",907,9,2,15,0,0,"1,494",2,,0,,327,21,,308,,,,C,31,0,0,856,,3,303,244,"1,041",55,,,"4,206","11,372",0,13,
NIC,0,,0,0,,,,1,0,,0,0,,0,C,,,0,0,,7,,,,,0,,0,0,,,,,1,0,,318,0,,0,0,,0,,7,,,,,0,,,1,,52,,0,0,0,0,,,,0,,0,0,,,0,28,0,,102
NER,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,3,0,,,0,,0,0,,0,,17,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
NGA,0,,0,1,,,,,0,,0,0,,0,43,,,0,0,,10,6,,C,4,0,,0,167,,1,,,21,0,,7,0,112,0,0,,0,1,50,,,130,,30,,,0,,,,0,0,0,0,,,32,0,2,0,0,,,"2,736",0,0,,
NIU,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,0,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
NFK,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
NOR,0,1,"1,118","1,711",34,57,210,"1,893",537,3,11,"3,217",198,5,"3,600",125,12,20,381,140,"4,419",1,38,"2,871","7,728","15,562",,13,"1,178",46,"1,095",,,"7,344",71,134,"1,766","20,588","2,222",19,453,,1,1,"17,127",6,118,18,,"4,091",23,C,,,2,3,5,431,0,0,"1,618",5,9,"1,833","12,565","5,319",1,23,,"24,499","50,573",0,,
OMN,0,,0,5,,30,,1,0,,0,4,,0,2,,,0,0,,3,1,,,2,18,,0,16,,,,,58,0,,1,4,79,0,0,122,0,4,131,,,2,,57,,,4,,,,0,0,0,0,,,,0,,0,0,,,371,0,0,,
PAK,0,,2,8,,,0,0,14,,0,9,,0,77,,,0,0,,87,2,,,7,26,,0,17,,,,,49,0,,12,13,6,0,7,99,0,0,289,5,,58,,96,,,0,,,,0,15,0,0,0,,,0,5,7,0,0,,271,"1,026",0,,
PLW,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
PAN,37,,13,104,66,,1,27,5,59,0,777,67,6,130,,25,25,16,0,470,,,8,344,383,,0,41,,0,0,,278,1,,214,376,16,9,5,,0,0,"2,112",,,,1,709,4,,89,,,,C,19,0,50,,1,,36,9,"1,202",0,,,896,"26,069",1,,3
PNG,0,,C,7,,,,1,3,,0,63,,0,12,,,0,0,,0,,,,25,14,,0,2,,0,,,4,0,,8,29,,0,0,,0,,317,0,,,,16,,,76,,,,0,0,0,0,,,,0,,44,0,,,114,"1,298",0,,
PRY,0,,0,0,,,,0,0,15,0,0,,0,2,,,0,0,,0,,,,,-1,,0,0,,,,,0,0,,,0,,0,0,,0,,1,,,,,0,,,0,,,,0,0,0,0,,,2,0,,0,0,,,0,,0,,
PER,15,,13,109,14,,0,38,3,0,0,118,9,126,8,,2,2,8,0,401,,,0,207,410,,4,142,,,,,333,0,,211,345,14,0,9,,0,0,"2,096",,,,,469,16,,14,,46,,0,31,0,0,,1,,33,17,35,0,,,"1,242","3,763",0,,
PHL,0,,282,198,,,0,59,39,0,0,280,71,4,973,0,,37,0,,872,,,25,"1,438","1,283",,14,548,0,0,0,2,"1,349",0,,453,"1,602",67,14,29,0,0,0,"3,587",26,,5,,"1,060",5,C,26,,,,C,34,0,0,"1,819",2,0,87,29,392,1,1,,"4,310","10,989",0,,0
PCN,0,,C,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
POL,0,,86,"7,133",,,0,"1,227",11,1,0,331,,0,20,4,,0,142,644,963,,241,783,"2,998","11,812",2,781,152,199,0,,,"5,807",0,2,686,"4,086",27,7,26,,10,,"13,277",,,,,"2,821",1,C,454,,,,,233,17,21,382,130,,455,750,603,2,,,"6,896","11,816",0,,
PRT,0,,172,"1,798",4,,,"8,704",35,152,0,422,266,0,222,23,,0,114,198,353,0,2,962,"37,050","24,935",,216,241,4,47,,,"39,864",0,4,"7,805","2,160","1,349",0,12,24,1,0,"11,676",0,,,,"9,079",,C,"2,929",,,,C,,0,8,544,5,0,"8,043",424,"1,179",1,184,,"10,497","6,485",0,,
PRI,0,,0,1,,,,0,5,9,0,46,,0,4,,,0,0,,1,,,C,4,0,,,0,,0,,,12,0,,4,3,,0,0,,0,,24,2,,,,7,0,,921,,,,0,0,0,0,,,,0,0,,0,,,0,,0,,0
QAT,0,,C,67,,778,,0,4,,0,11,,15,83,,,0,128,,93,10,,,11,150,,,6,,,,,240,0,,5,149,27,0,21,"1,869",0,4,152,,,,,174,,,65,1,,0,C,0,0,0,,,,0,,8,51,,,758,0,0,,
REU,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,,0,,,,,4,0,,0,0,,0,0,,0,,9,,,1,,4,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
ROU,0,,C,938,,,,42,90,,19,5,,0,3,,,0,177,12,58,0,100,0,158,739,,781,36,10,,,,149,0,,225,7,,0,0,,1,0,926,,,,,267,1,,6,,,4,9,0,,0,,7,0,18,140,33,0,,,863,381,0,,
RUS,3,1,365,"3,562",72,,1,565,583,3,39,"1,443",63,6,117,1,1,15,"4,044",374,"2,709",1,227,"2,316","2,697","4,890",,524,"4,161",46,0,,,"4,611",3,,"1,617","2,957","2,095",34,544,,34,2,"24,252",,,,2,"5,360",11,,828,,1,123,73,52,0,,915,28,0,211,"6,956","3,194",32,38,1,"29,130","48,441",0,500,
RWA,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
SHN,0,,0,0,,,,16,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,0,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
SPM,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
WSM,0,,0,0,,,,0,0,1,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
SMR,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,160,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
STP,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
SAU,0,,C,79,,"2,654",,21,0,,0,0,,0,264,17,,0,188,,5,499,,,50,90,,0,199,,0,0,,119,0,,9,8,20,0,32,"1,448",0,3,236,55,,1,,12,,,1,229,,15,0,0,0,0,,,,10,,4,0,,,611,0,0,,
SEN,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,4,,,,11,0,,0,0,,,,,0,0,,,0,77,0,0,,0,,25,,,,,0,,,0,,,,0,0,0,0,,,,0,,3,0,,,17,1,0,,
SRB,0,,C,132,,,,0,0,,2,10,,0,0,,,0,0,,0,,38,,5,46,,229,48,,,,,22,0,,58,35,,0,0,47,0,,137,,,,,22,,,0,,,,0,50,0,0,,,,0,153,0,0,,,79,205,0,,
SYC,0,,0,4,,,,0,0,3,0,0,8,0,0,,,0,0,,44,,,,3,29,,3,0,,0,,,0,0,,5,0,,0,0,,0,0,36,,,33,,0,,,0,,,,0,0,0,0,,,0,0,,2,0,,,6,2,0,,
SLE,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,66,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
SGP,0,1,"1,789",273,60,71,20,234,"1,726",0,0,"2,821",60,10,"8,683",156,,0,21,1,651,4,,423,"1,731","2,209",2,13,398,3,11,5,226,"3,757",13,15,568,"7,498",371,8,881,3,0,0,"9,489","1,629",,"3,054",,"4,235",3,C,"1,505",,,622,C,15,0,1,,1,4,113,"1,351","1,237",529,,,"17,404","52,731",0,15,
SVK,0,,0,"1,226",,,,132,0,,0,20,,0,2,,,0,22,562,28,,7,,119,"1,912",,0,10,,0,,,49,0,,22,14,,0,4,,0,,"1,030",,,,,194,,,0,,,,29,0,5,0,,,,86,4,30,0,,,427,299,0,,
SVN,0,,0,500,,,,704,0,,4,0,,0,C,,,0,35,82,3,,11,0,161,"4,970",,0,2,,0,,,96,0,,44,1,2,0,0,,0,,752,,,,,111,,,43,,,,C,5,0,0,,5,,19,47,47,0,,,"1,003",144,0,,
SLB,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
SOM,0,,0,0,,,,1,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,0,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
ZAF,0,1,283,446,,,1,83,917,1,0,"1,715",9,6,84,0,,0,79,1,841,18,,,"1,466","2,313",,20,546,15,0,9,,"1,837",112,10,700,"2,030",159,0,115,,0,1,"9,159",7,,901,,"3,210",2,C,870,,4,32,C,175,0,0,857,1,,24,256,"1,020",104,0,,"12,524","42,687",0,,0
SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
ESP,704,1,"2,888","12,201",39,,44,"33,145","1,009",435,0,"7,094",158,2,"1,278",3,39,18,70,278,"7,151",3,21,"12,170","208,102","220,753",29,960,"1,376",16,407,,0,"75,850",20,27,"33,308","33,429","2,644",212,117,32,0,3,"97,850",7,52,1,95,"64,122",104,C,"19,686",,,35,57,"16,242",0,34,"2,650",12,19,,"8,816","8,207",50,0,,"103,888","110,956",1,,7
LKA,0,,0,1,,,,9,0,,0,1,,0,29,,,0,0,,19,,,0,2,1,,0,1,,,10,,20,0,,0,0,,0,0,,0,0,114,0,,97,,8,,,1,,,,0,0,0,0,32,,,0,1,4,0,,,203,182,0,,
KNA,0,,0,0,,,2,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,18,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,11,,,,0,,,0,,,0,3,0,,
LCA,0,,0,14,16,,3,0,0,,0,0,,0,0,,,0,5,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,1,0,,,4,66,0,,
VCT,0,,0,0,,,3,,0,,0,0,,0,0,,,0,0,,0,,,,,-28,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,88,0,,,0,,0,,
