,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
BEL,0,2,C,"6,697",,16,4,,"2,184",0,455,98,"2,453",208,130,611,21,0,20,10,191,"2,245","2,925",19,365,"3,417","135,185","57,503",36,"1,680",244,415,2,2,1,"32,318",6,177,"10,176","27,111",155,130,578,110,6,53,,37,"84,894",1,179,4,,,"36,342",C,"8,515",0,0,,C,"2,373",0,6,"1,074",C,400,521,217,"5,831","2,189","8,400",23,1,,"30,662","64,841",9,
BLZ,0,,0,3,,,1,0,0,,4,0,7,1,0,0,,0,2,1,0,,20,,0,C,8,1,,0,0,0,,0,0,0,0,,1,3,,0,0,,0,0,,0,26,,,20,,,4,,0,,,,0,0,,0,1,C,0,0,,C,0,1,,0,,0,96,,
BEN,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,3,,0,,0,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,6,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
BMU,0,2,C,288,13,83,367,"1,190",,,"2,999",2,"10,178",5,15,"108,339",848,0,0,52,9,76,"1,807",,10,"1,264","2,699","3,224",7,15,"2,910",7,19,225,21,"7,527",694,24,511,"26,198",132,50,590,21,7,15,,3,"24,750",422,,"1,073",,,"7,501",C,"4,881",0,17,29,1,19,6,256,38,"8,412",0,2,"9,647",C,"2,069","5,001",24,1,,"12,084","211,126",82,
BTN,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,C,0,0,,0,,2,0,,
BOL,0,,0,3,,,0,,0,,1,0,,2,6,0,,0,,0,0,,70,,0,C,,62,,0,7,0,,0,0,57,0,,8,22,2,0,0,,,0,,0,115,,,0,,,50,,0,,,,0,0,,0,0,C,0,0,,,1,1,,0,,15,191,2,
BES,0,,0,0,,,0,,0,,0,0,,,10,0,,0,,26,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,154,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,C,0,255,,0,,118,0,,
BIH,0,,0,7,,,0,,0,,0,0,,,0,0,,0,,0,0,,30,,0,C,0,8,,0,14,0,0,0,0,23,0,,-1,0,,0,0,24,,0,,1,252,,,0,,,7,,0,,,,0,0,C,0,0,,0,28,,,0,0,,0,,0,89,,
BWA,0,,C,0,,,0,,131,,0,0,,,0,0,,0,,0,0,,7,,0,C,4,0,,0,3,0,,0,0,26,0,,,0,,0,0,,,0,,0,142,,,58,,,1,,0,,,,0,0,,0,0,,0,0,64,,0,0,,0,,26,69,,
BRA,417,6,"4,098",506,"6,239","1,340",25,702,"1,454",12,,6,"11,875","19,153","2,158",147,18,400,34,92,5,18,"3,436",,5,523,"7,436","7,047",7,11,"2,260",6,4,1,1,"14,367",55,151,"1,581","19,413",637,6,"7,020",,4,22,,1,"50,011",2,,4,"1,916",,"12,922",C,"12,274",11,512,C,2,993,1,3,"2,117",C,27,96,525,C,"1,934","4,657","3,340",9,,"86,355","179,870",295,3
