,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
GUM,0,,0,0,,25,0,,0,,0,0,,,0,0,,0,,0,0,0,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,27,,,0,,0,,,
GTM,0,,0,10,483,,0,,0,,0,0,12,,3,0,,0,5,28,0,,23,,0,C,0,116,,0,9,0,,0,0,0,0,,30,5,41,0,0,,,0,,0,158,,,0,,,46,,0,,121,,0,0,,0,14,,0,0,,,0,6,0,0,,5,371,,
GGY,0,0,57,386,,80,44,613,92,,12,0,895,10,15,816,2,0,,16,4,4,"1,662",,2,"3,154","4,952","6,017",7,73,,7,111,0,0,"2,430","1,941",7,"1,055","5,169",571,1,180,,12,1,,0,"4,801",1,,1,,,"4,508",,"1,628",,,,3,74,C,2,0,274,173,0,"4,060",404,"1,058","12,069",12,0,,"20,946","29,537",0,
GUF,0,,0,0,,,0,,0,,0,0,,,57,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,,,0,,0,0,,
GIN,0,0,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
GNB,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,0,,0,,,0,,0,,,,0,7,,0,0,,0,0,,,0,0,,0,,0,0,,
GUY,0,,0,0,,,2,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,12,,0,,,,0,0,,0,0,,0,0,,,0,0,1,0,,4,0,,
HTI,0,,0,0,,,0,,19,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
HND,0,,0,1,,,0,,0,,0,0,,,0,0,,0,2,45,0,,70,,0,C,0,70,,0,0,0,,0,0,4,0,,1,7,,0,1,,,0,,0,208,,,0,9,,32,,0,,27,,0,0,,0,0,C,0,0,,,0,83,4,0,,16,295,0,
HUN,0,1,293,"3,798",,15,0,419,26,,0,235,511,,1,0,,0,0,2,5,492,849,,18,132,"2,611","7,199",2,63,229,,0,0,0,"1,525",0,2,801,507,827,0,81,,44,7,,53,"14,115",59,,0,,0,"2,267",,721,,0,C,658,37,103,93,430,C,827,80,44,C,64,608,,1,,"19,595","15,449",0,
ISL,0,,9,165,,,0,83,18,,0,1,60,,0,9,,0,,0,0,9,208,,1,4,480,"1,198",7,3,2,0,,0,0,150,0,4,238,138,38,47,34,,3,0,,0,512,0,,0,1,,61,,114,,,,38,17,,0,0,C,4,0,,260,153,127,,0,,"1,554","1,948",0,
IND,0,,"3,972",312,17,699,1,243,492,3,2,0,"5,889",27,3,"4,554",13,0,,6,34,5,"1,680",0,0,645,"3,908","1,310",5,0,526,0,2,,25,"4,537",4,9,349,"4,675",627,30,"1,864",182,3,5,,0,"28,857",139,,"72,887",,0,"6,371",98,"6,611",4,11,C,0,0,,1,"1,030","43,335",0,45,767,C,"1,177","1,954",126,0,,"25,629","85,610",1,
IDN,0,2,827,261,5,69,1,139,517,,0,6,"1,676",83,7,919,2,0,,3,0,0,"1,348",,0,184,557,"2,935",35,0,550,0,1,41,,"3,817",1,,609,"5,612",51,0,397,324,3,15,,0,"16,153","1,436",,"2,509",,,"3,642",,"2,668",7,,932,C,0,,1,856,"15,925",1,8,16,C,381,924,30,1,,"12,414","37,458",,
IRN,0,,0,0,,,0,,0,,0,0,,,0,0,5,0,,0,0,,0,,0,C,0,0,,0,0,0,,0,0,0,0,,,0,,0,12,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,2,C,0,0,,,0,0,,19,,0,,,
IRQ,0,0,0,7,,18,0,,58,,0,0,25,,0,0,,0,,0,0,8,89,,0,15,12,41,,0,27,0,,0,0,0,0,,28,21,2,0,328,228,0,1,,0,357,,,0,,,131,,0,,,,C,0,,0,0,,0,0,,,0,20,,0,,181,,,
IRL,0,19,"4,991","13,424",22,18,478,"40,391","13,824",,139,186,"7,180",624,361,"12,472",399,159,1,"4,867",984,881,"16,527",6,691,"23,722","130,111","141,927",150,888,"6,768",238,"1,466",10,0,,"7,514","2,629","110,436","51,228","3,547","1,515","2,040",0,564,66,,499,"124,415",311,865,39,48,0,"87,107",982,"12,957",,59,0,146,"16,305",78,"15,041",502,"6,191","1,410",369,"14,844",C,"16,782","48,773","1,193",11,,"234,302","280,714",3,
IMN,0,,27,12,,,1,37,28,,35,0,17,,0,6,,0,,0,10,1,29,,4,24,194,123,3,3,246,0,3,0,0,947,,,44,427,5,0,23,,0,3,,0,"1,073",974,,27,,,101,,101,,,,5,0,2,18,0,98,0,0,234,C,18,151,,0,,"2,518","3,989",2,
ISR,0,0,605,302,11,,4,190,469,,3,0,"1,816",,8,22,,0,1,4,9,5,417,,1,112,876,"1,967",7,1,"1,644",6,1,0,0,923,2,,132,"1,470",119,13,155,,0,0,,1,"2,760",3,,22,1,,"1,387",C,"2,500",,4,,C,7,,0,0,"1,155",0,10,2,C,260,921,92,5,,"6,808","62,535",4,
ITA,0,7,"4,276","24,591",,312,8,"35,355",820,,59,97,"6,831",34,356,"1,381",37,0,0,96,536,185,"9,953",49,347,"7,136","348,082","232,453",25,"10,859","1,769",36,14,0,5,"140,824",17,454,,"53,413",794,118,901,0,14,56,,18,"194,222",5,388,1,11,0,"60,576",C,"17,777",,1,C,187,"19,365",36,5,"1,944",C,"2,261",868,135,"55,276","4,423","12,013",74,2,,"137,265","123,541",40,
JAM,0,,0,4,,,158,0,0,,0,0,9,133,0,0,,0,0,42,0,,6,,0,C,6,52,,0,47,0,,0,0,1,0,,31,4,122,0,0,,,0,,0,40,,,0,,,4,,0,,,,0,0,,0,3,C,0,0,,C,0,6,,0,,140,155,,
JPN,14,14,"24,228","1,320",,41,280,"2,141","2,176",,13,1,"45,731",77,"3,379","24,902",97,8,0,102,2,22,"8,870",16,1,"1,526","127,964","25,719",33,7,"1,395",4,49,1,200,"65,790",90,303,"4,651",,"9,810","4,063","7,892",1,6,8,,1,"85,689",344,12,5,3,0,"42,132","2,881","61,729",19,5,49,1,550,0,1,"14,258",C,2,47,562,"1,950","15,742","23,365",114,0,,"214,603","674,241",35,1
JEY,0,2,699,"2,564",,57,878,"2,139",642,,63,3,"2,029",,0,"1,125",15,0,0,51,"1,695",40,"1,786",,1,"1,810","17,988","12,583",38,174,882,222,32,0,0,"6,253",840,17,"6,171","19,244",,62,926,19,11,34,,3,"27,544",16,22,6,,,"9,783",,"5,125",,,C,22,528,0,847,0,386,9,9,"1,952","3,466","1,574","19,951",0,3,,"63,448","75,161",10,
JOR,0,,0,0,,505,0,,42,,0,0,8,,0,4,,0,,0,0,,10,14,0,,0,36,,0,1,0,,0,0,28,0,,12,7,,0,0,749,,137,,0,84,0,,0,,0,48,,300,,,,0,0,,0,6,,0,0,,,0,9,,0,,113,"1,086",,
KAZ,0,0,35,218,,23,0,31,82,,0,0,97,15,0,5,1,0,0,0,3,59,600,,4,46,130,"1,318",,3,176,36,0,0,0,114,0,,226,157,15,,94,,28,4,,12,"2,524",15,,6,,,563,,33,3,,C,21,0,,197,243,C,4,0,,C,41,165,1,1,,819,"3,885",0,
KEN,0,,C,0,,,0,0,479,,0,0,8,,0,28,,0,,0,1,,61,0,0,21,22,1,,0,46,0,,1,1,201,0,,0,6,54,0,2,,,0,,0,709,,,400,,,8,,122,,,,0,0,,0,0,C,0,0,231,,17,4,,0,,250,958,,
KIR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
PRK,0,,0,,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,,,0,,,,0,0,,,0,,0,0,,,0,,0,0,0,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
KOR,0,5,"8,896",655,17,206,2,903,677,,"1,099",1,"13,437",25,112,"17,792",408,0,0,0,0,35,"2,686",,6,717,"11,386","9,865",33,7,850,2,6,11,151,"16,662",5,138,921,"25,947",558,"1,908",,,0,7,,9,"37,304","1,846",16,44,33,3,"12,143",C,"17,619",9,32,287,24,42,C,2,"3,739","40,590",43,64,106,987,"2,686","12,461","3,184",0,,"39,469","182,811",1,
KWT,0,,0,0,,"1,023",0,,81,,0,0,1,,0,8,,0,,0,0,,11,1,1,3,15,0,,0,35,0,,0,8,58,0,,,7,20,0,4,,,31,,0,268,469,,55,,,0,C,30,,0,C,0,0,,0,107,C,0,0,,,0,36,0,21,,907,,,
KGZ,0,,C,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,1,0,,0,0,0,0,3,,0,,92,0,,,0,,0,161,0,,0,,,4,,0,,,,0,0,,0,1,,0,0,,C,0,0,,0,,0,0,,
LAO,0,,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,8,0,,0,0,0,0,,,0,,0,796,,,0,,0,14,,,0,,,0,,0,,,,0,0,,0,0,C,0,0,,,0,0,157,0,,8,0,,
LVA,0,,0,125,,,0,1,0,,0,4,32,,0,0,,0,,0,51,0,67,,114,69,138,"1,033",,0,10,2,,0,0,4,0,,91,74,26,0,0,,,0,,105,333,,,0,,0,414,,40,,,,C,0,,0,0,,12,17,,C,54,130,0,0,1,182,786,,
LBN,0,,C,7,,,0,7,0,,0,0,28,,0,5,,0,,0,33,,85,23,0,C,61,132,,0,45,0,,0,1,10,0,,117,16,56,0,0,139,,,,0,482,,,0,,,279,,1,,,,0,0,,0,103,,0,0,,C,2,16,,0,,565,914,,
LSO,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,8,1,,
LBR,0,,4,0,,,0,20,2,,0,0,330,,1,21,1,0,,0,0,,38,,0,39,114,141,,4,0,0,,0,0,69,0,,14,175,2,3,3,,0,0,,0,519,0,,0,,,109,,881,,,,0,0,,0,0,C,0,0,,C,5,69,,0,,69,"4,850",0,
LBY,0,,0,0,,99,0,,0,,0,0,,,0,0,,0,,0,0,,0,32,0,,1,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,56,,0,0,,0,0,0,,0,0,,0,,0,,,
LIE,0,,C,"1,743",,,0,2,0,,5,0,2,,0,7,,0,,0,0,0,0,,0,C,46,"1,807",,0,0,3,,0,0,0,265,,43,0,,0,1,,,0,,0,312,0,,0,,,0,,30,,,,0,0,,0,0,C,0,3,,C,25,,,0,,-30,92,0,
LTU,0,,C,357,,,0,81,47,,0,88,95,,0,0,,0,,0,4,12,167,,107,66,412,"2,357",,0,61,1,0,0,0,22,0,8,166,147,,1,7,,273,5,,,"1,776",,4,0,,,426,,94,,3,,71,0,C,1,48,,111,52,,C,20,355,3,0,,460,"2,083",,
LUX,696,5,"12,350","39,251",90,112,163,"179,803","9,338",,258,589,"7,407",502,"41,973","49,090","1,640","2,042",106,"1,785",733,"3,982","33,472",1,"1,305","44,102","281,607","530,573",507,"82,689","12,450","3,041","1,576",473,"1,129","65,201","9,792","7,337","396,999","104,049","14,553",321,"8,276",84,"1,077",282,,"1,060",,738,674,578,895,2,"102,111",C,"18,151",11,79,54,"5,118","17,759",597,"15,469",833,"20,784",853,943,"21,338",C,"80,663","181,117","1,272",68,,"120,286","125,013",202,
MKD,0,,0,52,,,0,0,0,,0,1,,,0,0,,0,,0,0,,7,,0,C,0,18,,69,0,0,,0,0,10,0,,10,0,,0,0,,,0,,2,49,,,0,,,0,,0,,,,0,0,,0,0,,0,18,,,0,1,,0,,48,7,,
MDG,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,32,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,1,,,19,,,0,,0,,,,0,0,,0,0,,0,0,1,,0,0,,0,,0,1,,
MWI,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,C,,0,,0,4,0,,0,0,0,0,,,0,,0,0,,,0,,0,1,,,0,,,0,,0,,,,0,0,,0,0,,0,0,6,,0,0,,0,,0,0,,
MYS,0,1,"2,665",346,,364,0,267,226,,0,0,"2,369",12,23,"11,032",197,0,,3,2,0,907,33,0,319,"3,557","2,771",,0,163,0,1,1,568,"5,115",6,,272,"5,539",117,3,753,720,4,1,,2,"16,392",,,315,,,"4,044",C,"3,351",10,,48,C,13,,0,"1,870","34,357",0,4,15,C,600,"1,389",153,13,,"18,305","42,223",,
MDV,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,3,,,0,,0,,,,0,0,,0,0,C,0,0,,,0,0,,0,,0,0,,
MLI,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,C,0,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,4,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,1,,0,,3,0,,
MLT,0,,9,36,,,2,36,0,,0,0,"1,039",,0,10,,76,,0,0,84,6,27,1,89,261,66,5,0,"2,179",0,,0,0,283,37,,402,1,,0,0,9,18,17,,1,"1,175",,,1,,,183,,83,,,,0,23,,0,5,C,14,0,"1,150",C,583,394,,0,,288,303,,
MHL,0,,C,6,,,1,20,420,,10,0,172,,0,0,,0,,0,0,1,59,,0,73,19,26,,0,3,0,0,0,0,73,0,2,32,135,8,0,82,,0,0,,0,552,2,,0,,,46,,179,,0,,C,0,,0,0,C,0,0,,C,91,45,0,0,,332,"21,280",0,
MTQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,,,0,,0,0,,
MRT,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,351,0,0,143,,0,,0,1,0,,0,,,0,,0,,,,0,0,,0,0,C,0,0,,,0,2,,0,,0,61,,
MUS,0,,61,1,,5,5,8,62,,0,0,4,,0,39,4,0,,1,9,107,100,,0,209,69,23,5,0,289,1,,109,13,"1,026",387,,9,"1,395",163,0,2,2,,0,,0,"2,978",50,,,,,182,,74,0,,C,0,0,,0,0,"1,268",0,0,998,C,267,182,0,0,,"1,500","7,031",,
MYT,0,,0,0,,,1,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,,,0,,0,1,,
MEX,5,7,"2,784",854,90,128,2,887,"1,571",,629,0,"6,369",458,"1,741",134,37,154,8,77,1,2,"2,834",,7,402,"6,953","11,678",10,4,608,3,1,0,0,"11,307",2,16,"1,452","15,170",343,1,"1,142",,4,4,,3,"37,645",1,9,1,,,"9,343",C,"8,497",3,142,C,0,127,,1,"1,739",C,25,61,839,C,"1,027","5,351",129,1,,"34,966","154,016",27,2
FSM,0,,0,0,,,13,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
MDA,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,171,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
MCO,0,,0,0,,,0,0,0,,2,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,2,0,,0,0,1,0,,14,0,7,0,0,,,0,,0,64,,,0,,,0,,5,,,,0,0,,0,0,,0,0,,,4,,,0,,-5,12,,
MNG,0,,0,8,,,0,0,29,,0,0,,,0,41,,0,,0,0,0,105,,0,C,4,163,,0,23,1,,0,0,1,0,,39,256,,0,0,,0,0,,0,586,,,0,,,90,,0,,,,C,0,,0,33,3,0,0,,,7,24,,0,,250,276,,
MNE,0,,0,18,,,0,2,0,,0,20,,,0,0,,0,,0,0,,45,,0,,4,99,,0,0,2,,0,0,7,0,,25,0,,0,0,,1,0,,1,75,,,1,,,8,,0,,,,C,0,,0,0,,9,4,,C,0,9,,0,,0,0,,
MSR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,1,0,,,0,,,0,,0,0,,
MAR,0,,C,33,,66,0,89,0,,0,0,41,,0,148,,0,,0,1,,67,0,2,39,"2,317",581,3,0,40,0,,0,0,116,0,,99,34,13,0,9,11,1,2,,0,346,0,,112,,,247,,53,,,,0,116,,0,18,C,0,0,7,C,3,47,1,0,,573,"1,085",,
MOZ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,7,0,,,0,,0,0,0,,0,0,0,0,,,1,,0,0,,,0,,0,1,,,34,,,878,,22,,,,0,113,,0,0,,0,0,43,,0,4,,0,,41,0,,
MMR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,C,0,0,,,0,0,,0,,0,14,,
NAM,0,,0,4,,,0,,1,,0,0,,,0,0,,0,,0,0,,6,,0,10,3,99,,0,2,0,,0,0,0,0,,6,5,,0,0,,,0,,0,95,0,,4,,,18,,0,,,,0,0,,0,1,,0,0,143,,0,1,,0,,87,92,,
NRU,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
NPL,0,,0,0,,,0,,0,,0,0,,,0,10,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,C,0,0,4,,0,0,,0,,0,0,,
NLD,1,7,"15,414","24,902",36,426,507,"83,983","9,790",0,206,447,"15,736",540,975,"5,632",236,109,52,"3,213",503,"2,278","14,220",13,560,"17,077","340,749","281,729",173,"2,161","6,684",141,407,7,"1,655","84,913",130,"1,004","56,230","139,064","3,534","2,138","3,087",9,331,177,,207,"164,982",120,"1,158",142,8,0,,C,"30,633",6,64,145,875,"14,009",206,"3,967","3,677",C,"2,409","1,445",204,"33,596","13,465","86,842",331,43,0,"247,073","386,449",153,
NZL,0,3,"7,806",121,,26,0,140,525,,0,0,872,16,15,391,69,7,0,18,0,5,44,,0,145,956,"1,615",,6,228,4,0,0,1,"2,088",2,4,85,"6,668",156,1,131,,0,1,,0,"2,373",1,,0,,0,679,,"1,659",,0,1,C,41,,0,240,555,112,2,16,C,96,"2,256",3,0,,"7,231","17,552",0,
NIC,0,,0,0,,,0,,0,,0,0,,,0,0,,0,0,0,0,,0,,0,,,0,,0,0,0,,0,0,3,0,,,0,,0,0,,,0,,0,62,,,0,,,0,,0,,15,,0,0,,0,0,,0,0,,,0,0,,0,,2,0,,24
NER,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,,0,33,0,,0,10,0,0,,,0,2,0,0,,,0,,0,2,0,,1,,,0,,0,,,,0,0,,0,83,C,0,0,,,0,2,,0,,0,,,
NGA,0,0,63,8,,,0,1,72,,33,0,117,,0,77,,0,,0,4,,232,11,1,106,84,287,,0,182,2,0,0,1,964,0,,85,109,499,0,10,,0,0,,0,"4,428",,,766,,,619,,52,,,,0,0,,0,151,C,0,0,479,C,29,54,,0,,"2,227",,,
NIU,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,,,0,,0,0,,
NFK,0,,0,0,,,226,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,,,0,,0,,,
NOR,0,2,"3,828","4,252",2,,139,"2,874","2,197",,15,7,"3,777",126,106,"1,990",22,50,,39,27,18,"6,765",,72,"10,302","19,114","44,996",13,76,"4,670",4,745,0,0,"10,929",135,152,"2,530","26,391","2,915",267,545,,81,0,,85,"20,859",25,144,126,3,,"12,387",C,,,2,C,11,147,32,1,487,C,594,134,20,C,"28,150","12,085",7,0,,"34,216","76,844",62,
OMN,0,,C,0,,190,0,,0,,0,0,3,,0,2,,0,,0,0,,29,,2,C,26,108,,0,18,0,,1,0,87,0,,0,0,41,0,1,150,,16,,0,187,1,,0,,,6,,58,,,,0,0,,0,73,C,0,1,3,,0,2,,0,,169,,,
PAK,0,,20,3,,16,0,,394,,0,0,70,15,0,33,,0,,0,0,,80,,0,C,1,23,,0,18,0,,0,0,88,0,,21,21,13,0,14,2,1,0,,0,"1,627",0,,135,,,163,,3,,,,0,0,,0,130,C,0,0,,C,53,11,,9,,359,"1,420",,
PLW,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
PAN,0,1,C,44,44,50,46,67,194,1,77,0,412,63,87,364,,144,85,68,0,0,384,,0,21,66,887,,0,27,0,0,0,0,330,2,,104,816,16,2,376,,0,0,,0,"2,381",0,,21,1,,741,,264,,,,0,0,,0,83,C,2,0,3,C,39,526,103,0,,445,"27,872",2,
PNG,0,,835,1,,,0,12,0,,0,0,55,,0,21,2,0,,0,0,,7,,0,C,11,32,,0,3,0,0,0,0,86,0,,2,27,2,0,4,,,0,,0,263,2,,0,,,19,,75,,,,0,0,,0,0,9,0,0,0,C,0,24,,0,,535,"1,672",,
PRY,9,,C,3,,,0,,0,,39,0,,6,3,C,,0,,27,0,,21,,0,,0,48,,0,12,0,,0,0,0,0,,8,7,23,0,0,,,0,,0,205,,,0,,,23,,0,,,,0,0,,0,0,,0,0,,,0,6,,0,,6,393,0,
PER,0,0,91,66,72,,4,76,160,26,3,0,461,92,649,24,,209,7,43,0,1,437,,0,80,138,"1,575",3,0,89,1,,0,0,298,4,,122,340,110,1,48,,1,0,,0,"3,859",0,,0,1,,"1,223",C,98,,400,,C,0,,0,373,C,1,0,8,C,64,293,2,0,,"1,322","9,478",6,
PHL,0,1,"6,158",125,3,,0,78,429,,0,0,981,,0,999,0,0,,2,0,0,857,,0,183,709,"1,865",,0,420,0,0,1,60,"1,139",5,,243,"2,577",56,0,158,,1,1,,0,"8,105",293,,80,,,"1,849",C,"4,714",,,,0,0,,0,948,"9,120",3,3,6,C,291,404,68,0,,"4,668","22,159",0,
PCN,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,,,0,,3,0,,
POL,0,2,C,"6,489",23,56,0,"2,356",161,,0,80,"1,222",,27,63,6,0,,7,1,"1,108","1,534",5,134,726,"8,963","28,375",94,203,"1,214",216,0,0,0,"6,737",0,8,"2,085","9,411",562,121,529,,62,32,,86,"20,380",0,37,2,,0,"5,319",C,"4,037",,,0,,33,48,2,557,C,"1,089",227,14,C,245,"4,698",10,0,,"10,224","31,585",1,
PRT,0,0,344,"1,685",,7,3,"4,218",0,,671,40,629,700,2,73,18,0,,4,48,4,840,0,41,"1,058","29,538","22,139",3,898,287,1,0,0,1,"10,048",0,1,"7,647","1,262",160,2,109,,22,1,,5,"12,948",0,124,0,,,"7,491",,"1,658",,,,98,,C,0,105,C,685,126,5,"16,794",181,493,0,3,,"6,852","10,687",7,
PRI,0,,2,0,,,0,1,33,,20,0,87,,0,0,,0,0,0,0,,12,,0,C,8,0,,0,1,0,0,0,0,34,0,,4,29,2,0,10,,,0,,0,0,0,,0,,,30,,39,,13,,0,0,,0,0,C,0,0,,C,11,,0,0,,2,,0,
QAT,0,0,31,273,,"2,770",0,45,706,,0,0,71,5,0,536,145,0,,7,0,,169,84,11,8,174,779,2,0,182,0,,0,0,619,0,,20,"1,054",206,4,77,"1,458",1,201,,3,"1,610",65,,0,,,830,C,328,38,5,C,0,0,,0,"5,757",C,0,0,1,C,12,329,122,1,,954,,3,
REU,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,3,0,,,0,,0,0,,,0,,0,1,,,7,,,0,,0,,,,0,0,,0,0,,0,0,,,0,,,0,,0,,,
ROU,0,0,21,"2,371",,4,0,112,50,,0,477,105,,0,0,,0,,0,77,211,371,,51,167,414,"1,804",,277,104,23,,0,0,448,0,,343,180,367,0,20,,43,2,,111,"4,185",,,1,,,"1,021",,71,,,C,388,0,,0,99,C,110,33,,C,29,211,1,3,,801,"3,252",0,
RUS,0,3,"2,019","1,993",69,603,1,345,"1,184",0,1,19,"3,379",55,23,206,26,0,0,6,"2,833",368,"2,653",,133,"1,912","12,037","5,631",7,34,"1,493",113,3,0,0,"17,986",8,24,"1,011","2,694",158,136,"1,674",,120,59,,23,"28,849","1,143",,5,1,0,"11,609",C,"8,186",4,11,C,204,20,2,,"2,029",C,82,89,50,C,"3,926","4,440",470,11,,"37,317","70,899",3,
RWA,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,11,,0,,1,36,,0,1,0,,0,0,10,0,,7,1,,0,0,,,0,,0,93,,,85,,,21,,2,,,,0,0,,0,0,,0,0,0,C,0,1,,0,,18,125,,
SHN,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,0,,0,,,0,,0,,,,0,0,,0,0,C,0,0,,,0,0,,0,,0,0,,
SPM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,,,0,,0,0,,
WSM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,10,0,,0,0,,
