,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
HND,0,,C,0,,,4,0,0,,0,,,0,C,,,4,0,,0,0,,0,3,0,,,0,0,,,0,0,0,,,22,,0,0,,,,0,3,,,0,,0,,0,,,34,,0,0,,0,,,0,,0,0,23,0,0,,2,29,0,0
HUN,0,,104,"6,287",,,0,"1,013",14,16,89,190,1,0,C,,,,226,307,392,0,45,133,"2,882","11,447",,179,172,,0,,0,"3,977",0,2,828,"1,271",11,0,83,,10,0,40,"8,164",1,28,1,,"3,312",0,0,937,,0,0,776,74,53,196,C,696,135,0,635,190,762,2,0,,"1,601","6,800",0,0
ISL,0,,C,268,,,0,173,5,0,1,63,7,0,106,,,0,61,12,122,14,1,9,669,"2,172",5,20,0,0,,,0,648,0,1,651,196,40,50,0,,1,0,13,571,0,,0,1,308,0,0,147,,0,,0,173,,0,C,2,7,,500,431,188,15,0,,"8,326","1,451",0,0
IND,0,1,"1,899",490,30,435,0,276,194,0,0,"3,415",30,0,"6,470",45,,0,80,2,"1,360",2,1,0,"6,673",971,112,20,386,22,1,,861,"4,289",24,,585,"5,171",368,0,"3,359",260,1,3,1,"28,947",157,,"78,507",0,"3,512",9,56,"3,097",,5,0,0,0,,75,"25,806",2,38,16,"1,643",756,629,34,0,,"16,835","65,495",1,0
IDN,0,0,585,205,2,,0,45,133,,0,"1,148",59,0,490,1,,,0,0,907,0,,C,831,987,,,683,0,0,6,,"1,579",2,,555,"2,455",134,0,397,41,,0,0,"9,357",550,,"1,894",,"2,472","8,242",0,626,,3,0,0,0,,0,"10,588",2,2,2,C,114,217,29,0,,"4,353","22,741",0,0
IRN,0,,0,0,,,0,12,0,,0,,,0,C,7,,,0,,26,0,,0,10,0,,0,0,0,,,0,0,0,,,0,130,0,0,8,,,0,0,,,0,,0,,0,8,,0,,0,0,,0,,,0,,0,0,10,0,0,,240,0,0,0
IRQ,0,,0,12,,,0,0,1,,0,6,,0,0,,,,0,18,70,0,,0,10,10,,,89,0,,,0,3,0,,20,98,,0,324,117,,,0,330,,,0,,167,,0,,,0,,0,0,,0,,1,0,,0,0,18,0,0,,38,0,0,0
IRL,3,8,"1,686","17,083",5,171,145,"38,061","5,747",119,70,"5,108",799,"4,583","12,621",304,253,8,"1,523",848,"12,958",0,246,"14,798","136,973","160,906",71,"1,119","5,972",613,888,32,15,,"3,531",568,"74,856","51,097","13,095",163,"1,167",273,91,72,207,"74,966",137,"1,049",39,65,"53,131",57,0,"11,995",,40,0,92,"43,785",60,"9,139","2,700","2,766",340,"5,017","32,160","16,312","28,955",815,33,,"190,019","120,020",7,0
IMN,0,,C,17,,,1,5,11,1,0,34,,0,11,,,,23,,19,0,1,50,16,109,,0,203,0,2,,0,76,,,-3,"1,217",19,0,1,,,,0,545,716,,9,,144,0,0,6,,0,,0,0,,0,C,,0,81,C,3,120,0,0,,"1,305","1,301",0,0
ISR,0,1,371,146,,,7,73,143,3,0,"1,637",88,0,17,2,,,110,1,318,0,0,97,611,673,2,0,619,61,0,0,0,"1,021",1,,156,"1,162",74,4,21,,,,0,"3,205",0,,9,,"1,392",3,18,"1,010",,1,,0,0,,0,C,1,16,7,C,121,338,133,0,,"4,007","58,804",6,0
ITA,3,1,"3,624","21,294",,22,111,"69,001","2,796",35,34,"7,879",67,53,"1,166",53,1,5,"1,177","1,147","5,436",86,219,"9,090","336,750","188,461",8,"1,017","1,159",30,7,,31,"163,762",29,144,,"75,907","2,309","1,042",437,10,17,3,63,"174,509",12,638,35,0,"97,582","17,310",81,"20,633",,2,,0,"14,547",11,10,C,"2,003",879,35,"91,414","5,842","9,001",55,0,,"130,003","78,505",24,2
JAM,0,0,C,9,,,0,3,0,0,0,10,30,0,C,,,0,0,0,5,0,,0,9,79,,0,3,0,,,0,3,0,,6,22,6,0,0,,,,0,22,,,0,,1,4,0,,,1,,0,0,,0,,,0,,C,0,13,0,0,,296,382,0,0
JPN,40,8,"20,783","1,157",,116,460,"2,628","4,041",5,0,"29,336",1,479,"18,068",85,24,0,42,10,"8,492",0,2,668,"104,235","16,676",11,3,"1,153",11,47,0,290,"41,746",108,99,"4,120",,"2,034","1,620","3,228",49,1,2,0,"64,246",110,38,43,,"23,956",18,"1,753","26,030",,0,106,0,331,,0,C,2,28,252,540,"10,575","16,820",181,0,,"142,578","405,121",0,0
JEY,0,,C,"6,146",34,83,313,"4,071",138,2,12,"1,191",97,0,987,0,,0,151,159,"1,255",0,0,964,"18,880","22,946",,"2,713","1,072",49,21,,0,"10,276",360,2,"5,749","19,629",,0,302,137,1,10,5,"18,317",0,337,41,,"8,059",71,0,880,,0,0,22,"2,800",0,83,757,,0,"3,274","7,588",610,"30,481",0,0,,"35,756","45,956",1,0
JOR,0,,0,0,,295,0,0,0,,0,3,,0,1,,,,21,,4,15,,0,0,0,,,63,0,,0,0,26,0,,,0,121,0,3,669,,126,0,21,0,,0,,9,0,0,,,0,,0,0,,0,C,,0,,0,0,1,0,0,,54,91,0,0
KAZ,0,,11,88,,39,0,4,0,2,0,81,171,0,18,,,,10,41,110,2,7,0,54,49,,0,313,59,12,,0,48,0,,14,152,36,,45,,20,2,7,671,,,0,,55,,0,25,,1,0,0,21,,41,25,,1,,0,35,38,0,6,,"5,721","1,422",0,0
KEN,0,,C,0,,,0,0,0,,0,1,,0,10,,,,0,,19,0,,0,1,0,,,6,0,,1,0,23,0,,0,0,47,0,2,,,,0,101,,,224,,0,0,0,22,,0,,0,0,,0,C,,0,81,0,2,2,0,0,,38,103,0,0
KIR,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,4,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,1,0,0,,0,1,0,0
PRK,0,,0,,,,0,,,,0,,,,0,,,,0,,0,0,,0,,0,,,,0,,,,0,0,,,0,3,0,0,,,0,0,0,,,0,,0,,0,,,0,,0,0,,0,,,6,,0,0,,0,0,,,0,0,0
KOR,10,1,"3,334",534,1,53,0,734,"1,264",916,0,"7,206",279,245,"17,852",306,,,337,4,"1,553",6,,73,"11,498","4,365",,16,557,92,2,31,11,"12,251",12,12,841,"12,992","1,381",18,,1,,1,3,"26,622","1,907",,20,114,"7,081",2,0,"5,735",,34,183,0,24,,22,"31,224",4,19,9,C,"1,409","4,243","15,121",0,,"39,184","104,826",1,0
KWT,0,,C,56,,948,0,5,0,,0,8,9,0,161,17,,,43,,12,19,,0,43,88,,0,76,0,,,0,4,0,,0,33,53,0,10,,,67,0,168,208,,47,,26,0,0,,,0,,0,0,,0,C,,0,,0,0,0,0,1,,686,0,0,0
KGZ,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,6,,0,,30,0,,,,0,48,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,2,0,0,0
LAO,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,1,0,0,0
LVA,0,,0,169,,,0,8,0,,0,,,0,0,,,,0,,0,0,67,24,4,756,,1,53,4,,,0,82,0,,62,0,2,0,0,,,,35,53,,,0,,0,,0,221,,0,,0,0,,28,C,34,4,,0,198,8,0,0,,-13,10,0,0
LBN,0,,0,17,,17,0,6,0,3,0,3,,0,7,,,,501,,98,25,,0,74,61,,,14,0,,,0,1,0,,29,65,186,0,1,95,,,0,194,,,0,,117,0,0,,,0,,0,0,,0,,,0,,C,0,9,0,0,,"1,372",304,0,0
LSO,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,17,,,8,,0,,0,,,0,,0,0,,0,,,0,304,0,0,0,0,0,,11,0,0,0
LBR,0,,0,17,,,0,1,53,0,0,93,,0,8,,,0,1,1,49,0,,C,133,135,,4,1,0,,,0,85,0,,178,87,23,0,2,,,,0,263,0,,0,,94,,0,439,,0,,0,0,,0,C,,0,,C,12,101,0,0,,82,"4,121",0,0
LBY,0,,0,0,,10,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,19,0,0,4,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,7,0,0,0,0,0,,0,0,0,0
LIE,0,,0,958,,,0,2,0,2,0,4,,0,0,,,,0,0,0,0,3,0,40,"1,456",2,,17,0,,,0,6,1,,-10,0,,0,0,,,,0,267,,,0,,81,,0,,,0,,0,0,,0,C,,0,,C,1,,0,0,,27,216,0,0
LTU,0,,C,537,,,0,95,12,,4,29,,0,C,,,,38,,74,0,117,108,433,"2,123",,27,0,0,3,,0,326,0,,98,43,,1,2,,82,1,,861,,7,0,,258,0,0,45,,0,0,4,0,,16,,,37,,C,310,130,1,0,,320,792,0,0
LUX,"1,312",42,"6,738","25,970",11,57,496,"150,844","2,387",281,182,"2,363",304,"26,237","21,980",630,709,2,793,"5,578","15,714",55,465,"18,448","143,334","435,614",272,"9,048","7,657","4,391","2,179",590,85,"45,415","4,612","2,629","264,671","80,621","6,324",172,"3,392",21,131,215,602,,721,608,873,610,"81,973",280,239,"10,932",,32,0,"2,755","12,639",246,"10,454","3,573",573,426,"5,556","47,507","63,950","141,762",426,323,,"89,362","94,376",49,5
MKD,0,,0,61,,,0,0,0,,3,,,0,0,,,,7,,1,0,0,0,0,40,,7,0,0,,,0,35,0,,5,0,,0,0,,,,0,80,,,0,,17,,0,,,0,,0,0,,1,,,57,,0,0,4,0,0,2,15,1,0,0
MDG,0,,0,0,,,0,0,0,,0,,,0,1,,,,0,,0,0,,0,0,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,55,,0,,0,1,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
MWI,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,2,0,,,0,0,0,,,0,2,0,0,,,,0,0,,,2,,0,,0,,,0,,0,0,,0,,,0,7,0,0,1,0,0,,0,0,0,0
MYS,0,,632,183,,84,3,62,94,1,0,847,3,0,"5,144",114,,,58,,545,7,,C,"2,592",972,2,0,127,0,0,1,8,"1,703",1,,139,"3,096",207,0,348,691,1,,1,"6,162",,,282,,"2,700","4,141",23,931,,2,56,0,0,,1,"9,979",1,1,2,C,161,299,133,1,,"6,347","18,917",0,0
MDV,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,11,,0,,0,,,0,,0,0,,0,,,0,2,0,0,0,2,0,,0,0,0,0
MLI,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,0,0,0,,,0,0,0,,,0,,0,0,,,0,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,4,0,0,0
MLT,0,,0,115,,,0,4,0,,0,62,,0,0,,,,21,23,50,0,0,0,178,37,,0,131,0,,,0,222,5,,272,22,73,0,0,56,,,0,311,,,3,,17,,0,6,,0,,0,0,,0,C,,0,4,C,137,146,0,0,,80,82,0,0
MHL,0,,0,7,,,0,4,31,9,0,83,,0,7,,,,0,2,1,0,,0,10,3,,,1,0,0,,0,6,0,,3,33,,0,0,,,,0,32,1,,0,,4,0,0,27,,0,,0,0,,0,C,,0,,C,2,194,0,0,,6,"7,221",0,0
MTQ,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
MRT,0,,C,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,5,,,0,26,,,0,,1,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
MUS,0,,C,1,,8,0,1,0,,0,1,,0,52,4,,,0,54,36,0,,92,122,20,,,256,0,,,190,373,109,,1,684,165,0,4,6,,,0,"3,547",81,,,,167,8,0,2,0,0,,0,0,,0,C,,0,177,0,31,124,0,0,,445,"1,484",0,0
MYT,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,8,,0,,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
MEX,25,3,"1,077",403,659,31,0,214,202,5,0,"3,390","2,180",676,45,1,1,6,93,0,"1,686",0,,0,"2,784","2,956",,88,464,1,0,,0,"3,679",1,3,950,"6,246",126,0,291,,0,1,2,"13,749",4,,4,,"4,356",10,29,"1,478",,91,0,0,17,,0,C,3,20,,"2,989",490,"1,517",93,0,,"8,101","87,654",20,11
FSM,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
MDA,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,1,0,,,0,0,0,,,0,,0,0,,,,0,86,,,0,,0,,0,,,0,,0,0,,0,,,9,,0,0,0,0,0,,0,0,0,0
MCO,0,,0,0,,,0,0,0,1,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,3,0,,-18,0,15,0,0,,,,0,2,,,10,,0,,0,0,,0,,0,0,,0,,,0,1,0,0,,0,0,,9,12,0,0
MNG,0,,0,1,,,0,0,0,,0,,,0,0,,,,0,,2,0,,0,,6,,,12,0,,,0,0,0,,,0,,0,18,,0,,0,66,,,0,,7,0,0,,,0,,0,0,,0,C,,0,,0,0,0,0,0,,4,0,0,0
MNE,0,,0,3,,,0,0,0,,0,,,0,0,,,,0,,0,0,0,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,65,,,0,,0,,0,,,0,,0,0,,1,,,8,,0,0,4,0,0,,0,0,0,0
MSR,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,,16,0,,0,0,0,0
MAR,0,,3,0,,,0,1,0,,0,8,2,0,5,,,,15,,1,0,,0,264,102,,,4,0,,,0,99,0,,38,33,277,0,2,21,,1,0,57,,,14,,43,0,0,56,,0,,0,146,,0,C,,0,,734,8,170,0,0,,107,293,0,0
MOZ,0,,C,0,,,0,0,0,0,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,1,,,30,,0,,0,7,,0,,0,85,,0,,,0,,0,0,0,0,0,,2,0,0,0
MMR,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,C,,0,,0,0,0,0,0,,0,0,0,0
NAM,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,39,,,310,,0,,0,2,,0,,0,0,,0,,,0,136,0,1,0,0,0,,1,4,0,0
NRU,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
NPL,0,,0,0,,,0,0,15,,0,,,0,0,,,,0,,0,0,,0,3,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,35,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,4,0,0,0
NLD,9,12,"14,889","23,950",42,483,637,"109,076","7,862",79,141,"10,462",727,505,"13,200",677,125,92,"1,740","1,810","8,712",17,515,"14,325","291,997","228,259",49,"1,641","3,438",410,93,5,440,"70,391",149,793,"91,220","83,728","12,347","1,517","1,548",214,144,107,376,"142,474",90,564,106,35,,215,877,"20,126",,4,138,836,"11,880",91,"3,433",C,"2,351","1,218",65,"66,991","10,026","69,252",140,7,,"164,526","232,918",46,9
ANT,0,42,C,899,23,3,1,"1,683",9,8,12,"1,035",87,0,427,1,,,53,207,117,0,1,572,"46,494","2,770",5,99,527,5,,,3,654,14,2,676,"13,491",118,7,2,,,27,9,,1,,1,1,"2,074",,0,600,,0,,0,273,,1,98,,,,"1,446",64,"3,655",0,0,,630,"57,311",5,0
NZL,0,0,"4,980",48,10,27,7,14,271,0,0,714,52,0,971,2,4,2,18,,18,2,,0,169,171,21,0,145,0,0,0,0,661,1,128,12,"4,388",146,0,7,1,1,0,0,"2,385",8,,78,,229,2,,415,,1,,0,0,,0,"1,004",,2,10,C,242,783,16,0,,"4,089","15,643",0,0
NIC,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,13,0,,0,,0,,,0,0,,,0,4,0,,12,0,,0,0,,,,0,56,,,0,,1,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,23,27,0,0
NER,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,1,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,9,3,0,0
NGA,0,,C,0,,,0,0,0,,0,15,2,0,52,,,,0,,22,16,,0,2,9,,,267,0,0,0,0,73,0,,2,0,241,0,4,,,1,0,176,,,545,,48,0,0,,,15,,0,20,,0,C,,0,184,0,9,0,0,0,,"-1,331",0,0,0
NIU,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,0,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
NFK,0,,0,0,,,0,0,3,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
NOR,0,1,"1,358","3,189",,139,157,"1,898",761,5,31,"2,069",25,0,"2,644",40,33,25,416,110,"5,679",0,33,"4,113","11,775","23,329",32,59,"1,114",7,403,2,0,"7,919",104,74,"2,408","42,733","12,224",72,123,1,23,0,39,"14,716",9,85,0,3,"7,396",29,573,,,2,0,0,646,30,0,C,509,45,15,"2,147","19,401","8,390",41,1,,"20,032","52,354",21,0
OMN,0,,0,17,,37,0,0,0,,0,2,,0,12,,,,0,,30,3,0,0,33,65,,,2,0,,,0,30,0,,0,0,113,0,4,184,,4,0,68,,,7,,0,0,0,,,0,,0,0,,0,C,,0,,0,0,1,0,0,,55,0,0,0
PAK,0,,12,9,,160,0,0,0,,0,10,15,0,31,,,,0,,45,3,,0,6,14,,,66,0,,,0,35,0,,2,22,8,0,1,36,0,0,0,623,0,,596,,72,0,0,4,,0,0,0,0,,0,C,,0,0,0,0,4,0,2,,180,784,0,0
PLW,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
PAN,1,0,39,63,26,,4,29,21,57,0,543,20,690,81,,33,47,0,0,412,0,,C,109,462,,,94,0,0,,0,264,0,,82,489,16,1,8,,,0,0,"1,241",0,,51,,558,,0,166,,,,0,0,,31,1,1,0,0,C,17,991,0,0,,485,"20,530",2,4
PNG,0,,658,9,,,0,1,9,,0,197,,0,9,2,,,0,0,6,0,,0,74,62,,,6,0,0,,0,290,0,,2,43,2,0,3,,,,0,775,2,,0,,59,,0,102,,0,,0,0,,0,4,,0,,0,17,50,0,0,,398,"2,802",0,0
PRY,0,,0,0,,,0,0,0,43,0,,,157,C,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,9,,,0,,0,,0,,,0,,0,0,,0,C,,0,1,0,0,0,0,0,,0,5,0,0
PER,2,,36,73,,,0,6,4,1,0,122,26,"1,107",7,,41,1,0,1,471,0,,C,133,681,,0,122,0,,,0,177,0,,109,543,11,0,13,,,,0,"1,767",0,,0,,717,20,0,104,,77,0,0,0,,0,C,1,1,1,C,21,127,1,0,,"1,259","4,978",2,0
PHL,0,0,"1,111",147,3,2,0,10,135,0,0,500,,2,919,0,,2,0,,771,0,,C,999,700,,3,902,0,0,0,5,"1,055",11,4,288,"1,640",36,0,123,0,,0,0,"2,572",212,,9,,"1,141",474,0,"2,790",,0,,0,0,,0,"2,426",2,1,1,C,28,664,31,0,,"1,594","9,326",0,0
PCN,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
POL,0,,309,"7,125",,11,0,"1,277",46,0,33,465,2,0,53,16,,,279,"1,208",741,4,101,444,"6,697","13,788",,"1,396","1,135",691,0,,0,"6,055",0,7,"1,040","6,691","1,258",24,131,,19,0,82,"10,715",7,28,1,,"3,512",2,8,937,,0,0,,117,36,22,290,465,183,0,744,"1,379","2,199",10,0,,"4,418","13,968",0,0
PRT,0,,201,"3,532",8,37,0,"13,699",449,169,0,570,208,0,94,41,,,255,43,780,0,10,"1,883","79,341","41,241",,101,46,0,0,,0,"62,659",37,3,"12,382","8,017","1,276",174,27,11,4,1,7,"17,050",0,124,0,,"16,864",2,1,"3,030",,0,,0,,,0,562,"1,655",80,4,"19,047",451,"1,844",0,1,,"10,680","6,178",0,200
PRI,0,,0,0,,,0,0,3,7,0,14,,0,2,,,0,0,,0,0,,0,5,0,,,0,0,0,,0,6,0,,1,0,2,0,0,,,0,0,0,0,,0,,1,0,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,-1,0,0,0
QAT,0,,C,75,,"1,135",0,14,161,1,0,39,16,0,123,1,,,256,,241,81,3,C,183,461,,,16,0,,,0,529,0,,38,282,104,0,28,"2,897",0,175,0,"1,076",5,,498,,232,1,1,67,1,2,0,0,0,,0,188,,0,0,0,2,289,116,0,,"1,357",0,0,0
REU,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,24,,3,,0,,,0,,0,0,,0,C,,0,,0,0,,0,0,,0,1,0,0
ROU,0,0,C,"1,343",,,0,17,3,,52,3,,0,C,,,,274,13,3,0,15,C,110,860,,"1,171",64,2,,,0,228,0,,153,0,157,0,1,,3,0,21,912,,,0,,230,,0,2,,0,0,0,0,,0,,36,26,,C,52,66,0,0,,182,184,0,0
RUS,4,0,"1,058","1,935",,32,1,328,175,5,5,"2,211",204,0,63,13,0,0,"2,027",225,"1,827",0,159,"2,426","2,745","4,721",,526,"2,776",73,12,,0,"2,136",17,3,944,"2,911","2,102",361,"1,753",,50,24,60,"23,856","1,227",,2,,"4,568",4,35,"3,963",,10,0,0,47,0,,"1,296",65,112,9,C,"6,054","2,727",65,8,0,"10,791","50,814",3,0
RWA,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,2,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
SHN,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,0,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
SPM,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
WSM,0,,0,0,,,0,0,0,3,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
SMR,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,8,0,,0,0,,,,0,1,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
STP,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,-44,0,0,0
SAU,0,,C,89,,"1,252",0,71,1,,0,5,,0,320,18,,,103,,9,307,,0,986,95,,0,74,0,0,,0,33,17,,5,33,149,0,3,"3,810",,209,0,65,199,,0,,0,0,0,,89,0,0,0,0,,0,177,,0,0,C,0,1,1,0,,653,0,0,0
SEN,0,,C,7,,,0,0,0,,0,,10,0,0,,,,2,,16,0,,0,10,6,,,1,0,,,0,1,0,,0,11,117,0,0,,,,0,88,1,,73,,0,0,0,,,0,,0,0,,1,,,0,,0,0,14,5,0,,45,11,0,0
SRB,0,,0,66,,,0,0,0,,1,4,,0,0,,,,280,,15,0,1,0,223,50,,421,60,0,,,0,24,0,,13,65,2,0,0,57,0,,1,318,,,0,,61,,0,,,0,,0,0,,0,,1,87,,0,25,0,0,0,,95,0,0,0
SYC,0,,0,3,,,0,0,0,3,0,,1,0,0,,,,0,,0,0,,0,0,4,,0,0,0,0,,6,0,0,,2,0,,0,0,,0,1,0,0,,,20,,0,,0,,,0,,0,0,,23,,,0,,C,0,24,0,0,,0,2,0,0
SLE,0,,0,0,,,0,0,3,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,2,0,0,,,,0,29,0,,2,,40,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,18,0,0,0
SGP,0,0,"3,228",169,,57,3,256,"1,622",3,0,"3,563",43,832,"9,788",119,,,1,1,472,19,1,225,"2,489","1,855",,0,908,0,6,14,268,"4,088",18,44,259,"10,048",444,3,748,5,1,0,2,"10,723","2,888",,"3,024",,"5,271",5,80,"1,851",,0,0,0,0,,0,,,1,128,C,808,"1,518",331,0,,"14,213","52,104",1,0
SVK,0,,C,"2,394",,,0,652,0,1,7,,,0,0,,,,107,809,4,0,9,48,532,"3,345",2,0,11,0,1,,0,530,0,,382,11,,0,0,,4,,46,487,,27,0,,229,,0,117,,0,,0,115,,0,C,,69,,C,2,75,0,0,,386,31,0,0
SVN,0,,0,"1,831",,,0,"1,745",0,0,18,,6,0,0,,,,88,28,24,0,14,254,"1,261","2,036",,1,56,2,0,,0,91,0,,"1,160",22,19,0,0,,6,,26,846,,43,0,,444,,0,96,,0,,0,61,5,0,,191,,,159,52,234,0,2,,31,222,0,0
SLB,0,,62,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,1,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,15,0,0,0
SOM,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
