,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
BLZ,0,,0,3,,,0,0,0,5,0,4,1,0,C,,,,0,,15,0,,0,0,1,,,0,0,,,0,3,0,,1,0,,0,0,,,,0,14,4,,0,,9,,0,,,0,,0,0,,34,C,,0,,0,0,3,0,0,,0,76,0,0
BEN,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,1,0,,0,,0,,,0,0,,,0,0,0,,,0,5,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
BMU,0,2,"3,705",478,22,74,14,712,,"2,813",0,"7,704",8,0,"88,864",549,,0,19,79,"1,192",0,0,"1,449","7,890","2,017",,12,"3,027",4,1,,9,"6,406",706,36,819,"13,871",330,3,833,166,0,9,1,"16,948",138,,768,,"5,059",77,0,"3,797",0,1,0,0,117,,108,"6,625",,6,"10,475",423,"2,381","3,248",16,0,,"11,696","147,962",6,0
BTN,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
BOL,0,,0,0,,,0,0,0,55,0,,3,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,17,0,,,0,,0,0,,,,0,49,,,0,,3,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,11,0,0,0
BIH,0,,0,16,,,0,0,0,0,0,,7,0,0,,,,0,,101,0,1,0,0,3,,,15,0,0,,0,19,0,,2,0,,0,3,27,,,2,382,,,0,,14,,0,,,0,,0,0,,0,,0,69,,0,0,0,0,0,,4,110,0,0
BWA,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,0,12,,,3,0,,,0,4,0,,,0,5,0,0,,,,0,0,,,104,,0,0,0,,,0,,0,0,,0,,,0,51,0,0,0,0,0,,3,40,0,0
BRA,572,1,"2,752",429,"6,394",471,16,580,229,,0,"12,052","16,425","3,435",94,2,129,41,2,13,"2,309",16,6,C,"8,733","2,947",5,79,"1,060",9,12,0,0,"9,040",4,22,"2,723","25,701",390,0,"4,207",,1,14,0,"54,158",19,5,0,194,"8,922",91,98,"6,599",,564,0,0,"3,827",,0,C,5,35,576,"10,500","1,977","2,501",3,139,,"35,920","212,809",902,36
IOQ,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,13,,0,0,,0,0,0,0
BRN,0,,0,0,,1,0,0,0,,0,,,0,0,,,,0,,0,0,,0,13,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,0,,0,,0,,0,,,0,,0,0,,0,C,,0,,0,0,0,0,0,,0,0,0,0
BGR,0,,C,461,,,0,5,0,0,,,,0,0,,,,67,0,15,0,8,0,18,388,,637,209,30,0,,0,174,0,,29,11,2,0,0,,6,0,4,153,1,,0,,82,,0,16,,0,0,0,0,16,0,C,0,6,,0,11,11,0,0,,39,215,0,0
BFA,0,,C,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,81,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
BDI,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,0,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,1,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
KHM,0,,0,0,,,0,0,0,,0,,,0,C,,,,0,,0,0,,0,,0,,,61,0,,,0,1,0,,,0,,0,0,,,,0,74,0,,1,,6,,0,1,,0,,0,0,,0,,,0,,0,0,0,3,0,,0,0,0,0
CMR,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,87,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,8,,0,,0,,,0,,0,0,,0,,,0,,0,0,1,0,0,,4,0,0,0
CAN,10,8,"9,559","2,710",1,156,"1,035","3,879","22,086",54,2,,408,635,"7,997",217,78,8,679,40,"1,913",0,5,634,"25,780","26,017",83,150,"1,067",5,193,0,37,"22,612",70,107,"2,909","51,662","1,121",44,890,7,101,27,22,"36,828",19,141,5,18,"12,804",95,545,"14,369",,45,0,0,206,1,4,C,104,101,63,"1,529","5,187","20,137",37,1,,"40,436","540,255",9,0
CPV,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,2,,0,,0,,,0,,0,61,,0,,,0,,0,0,0,0,0,,0,0,0,0
CYM,0,0,C,"6,877",323,"1,444",387,"5,906","40,679","1,810",6,"11,799",,50,"159,875",823,82,22,306,161,"5,430",42,30,"8,737","61,430","28,959",32,"1,207","27,317",1,102,28,203,"34,187","2,395",449,"5,436","403,704","10,219",2,"6,609","6,740",6,120,2,"58,992",384,204,567,37,"20,501","3,397",1,"4,649",,31,0,0,"17,523",,108,"7,268",29,15,42,"16,936","3,864","37,788",214,83,,"114,526","373,316",46,13
CAF,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,0,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
TCD,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
CHL,40,,230,56,,,97,27,87,76,0,282,44,,55,2,10,1,24,,228,0,,C,526,275,,,53,0,1,2,0,624,0,1,31,402,8,0,42,,0,,0,"1,629",1,,0,,608,9,3,352,,86,0,0,0,,0,C,1,1,0,372,103,83,46,0,,"1,120","15,308",67,7
HKG,0,1,"6,576",343,6,61,47,446,"4,507",3,0,"6,007",12,39,,"2,940",1,0,1,19,"1,639",3,3,376,"5,129","2,589",2,10,438,3,16,79,178,"10,745",172,330,567,"16,457",408,6,"7,027",31,0,2,0,"21,611","2,345",,269,,"8,204",30,0,"2,708",,1,78,0,31,,12,"10,977",1,69,35,"3,400","2,537","1,895",231,0,,"31,887","92,886",0,0
MAC,0,,C,0,,,0,0,0,,0,,,0,53,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,11,,0,0,,,,0,1,,,0,,0,,0,,,0,,0,131,,0,C,,0,,0,1,0,0,0,,34,13,0,0
CHN,44,0,"2,352",434,,4,2,523,"4,648",1,0,"5,570",38,97,"152,388","2,550",,,34,9,"1,381",1,1,125,"9,129","2,942",2,7,535,14,4,29,0,"12,308",44,81,877,"13,122","2,653",0,"12,342",262,0,2,0,"35,813",240,,"5,462",0,"5,136",15,0,"3,659",1,2,0,0,23,,3,"31,780",1,107,29,C,"1,406","1,174",54,0,,"24,365","102,303",2,0
CXQ,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
CCQ,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,11,0,0,0
COL,0,,57,73,72,,56,10,8,5,0,221,91,505,2,,,14,0,,512,0,,C,234,650,,0,120,0,,,0,379,0,,163,"1,412",16,0,5,,,,0,"1,733",0,,0,,909,13,0,4,,726,0,0,0,,0,C,1,1,,C,25,75,1,0,,-68,"7,952",12,17
COM,0,,C,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,2,0,0,,,,0,0,,,6,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
COD,0,,C,0,,,0,45,0,,0,,,0,0,,,,0,,0,0,,0,25,0,,,0,0,,,0,0,0,,,0,,0,39,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,381,0,0,0
COG,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,14,0,,0,0,0,,,0,0,,,0,4,0,,,0,,0,0,,,,0,7,,,14,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,9,128,0,0
COK,0,,0,0,,,0,0,0,,0,,,0,C,,,,0,,0,0,,0,,0,,,0,0,,,0,30,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,C,,0,,0,0,,0,0,,0,1,0,0
CRI,0,,0,0,,,1,0,15,,0,,14,0,0,,,,0,,17,0,,C,8,23,,0,0,0,,,0,12,0,,3,11,,0,23,,,,0,10,,,2,,1,4,0,,,51,,0,0,,0,,,0,,0,0,3,0,0,,102,171,0,0
CIV,0,,0,9,,,0,0,184,,0,14,30,0,C,,,,0,,51,0,,0,82,4,,,14,0,,,0,35,0,,7,11,5,0,0,,,0,0,51,19,,108,,26,0,0,,,0,,0,0,,0,C,,0,,0,0,380,0,0,,158,264,0,0
HRV,0,,6,"1,350",,,0,35,3,,43,2,,0,0,,,,42,19,80,0,5,24,230,"1,262",,39,44,61,0,,0,360,0,,303,109,10,0,0,,3,7,12,"1,134",,1,0,,611,,0,89,,0,0,0,45,,2,C,108,113,,C,39,108,2,3,,"1,379",780,0,0
CUB,0,,0,0,,,0,4,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,1,0,0,,0,0,0,,,0,3,0,0,,,,0,0,,,0,,0,0,0,,,0,,0,0,,0,,,0,,0,7,1,0,0,,87,0,0,10
CYP,0,,0,"4,075",,97,0,157,0,5,3,79,,0,612,,,,,149,71,0,7,99,459,"1,442",13,"2,782",356,0,0,,0,235,0,,151,76,408,0,3,,10,0,3,"2,174",11,17,268,,475,,0,428,,0,,22,79,9,"2,840",C,69,30,,C,85,119,34,0,,643,882,0,0
CZE,0,,108,"3,476",,,0,"1,381",16,0,249,120,,0,8,0,,,65,,126,0,52,78,"2,037","4,957",,7,122,356,3,,0,"1,157",6,,662,869,607,22,24,,1,,33,"3,640",1,4,0,,"2,096",0,0,385,,0,,0,14,2,106,14,552,128,0,C,168,671,1,0,,"1,162","4,744",0,0
DNK,1,0,"1,272","3,718",,47,356,"5,618",876,"1,759",54,"1,609",60,0,"2,234",56,18,28,90,62,,0,59,"14,103","13,281","27,600",40,66,"5,050",3,119,19,0,"7,552",221,25,"3,103","12,698","2,225",0,725,14,16,0,251,"27,854",1,30,3,,"7,916",15,63,"20,664",0,0,,35,778,20,11,C,181,105,9,"1,832","24,014","7,615",43,0,,"11,822","37,582",7,0
DJI,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,5,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,5,0,0,,0,0,0,0
DMA,0,,0,0,,,0,,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
DOM,1,,C,9,7,,1,1,0,0,0,20,6,0,2,,,0,0,,62,0,,0,6,49,,,5,0,,,0,20,0,,7,43,2,0,0,,,0,0,208,,,0,,101,1,0,,,48,,0,0,,4,,,0,,0,0,2,0,0,,337,622,0,0
ECU,0,,0,4,3,,0,0,0,0,0,,1,126,6,,,0,0,,16,0,,0,6,6,,0,20,0,,,0,26,0,,14,22,,0,0,,0,0,0,89,0,,0,,17,,0,0,,56,,0,0,,0,,,0,,0,0,1,0,0,,8,318,2,0
EGY,0,0,C,22,,41,0,4,132,,0,167,2,0,20,,,,12,0,99,,0,C,763,117,,238,314,0,,,0,294,6,,14,174,337,0,32,912,,355,0,"1,402",2,,36,,225,0,0,242,,0,,0,0,,0,C,,1,124,C,40,32,0,0,,"-3,216","5,778",0,0
SLV,0,,C,26,,,2,0,0,,0,,2,0,C,,,43,0,,119,0,,C,40,98,,,37,0,,,0,22,0,,23,87,5,0,0,,,,0,267,,,1,18,167,,0,,,42,,0,0,,0,,,0,,C,0,5,0,0,,66,739,0,0
GNQ,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,0,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
ERI,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,1,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
EST,0,,C,72,,,0,10,0,0,0,,,0,0,,,,14,,26,0,,161,15,14,,0,1,0,1,,0,163,0,,0,0,,0,0,,36,,195,138,,,0,,27,,0,23,,0,,17,0,,72,,,1,,0,378,2,0,0,,6,98,0,0
ETH,0,,0,0,,,0,0,0,0,0,,,0,0,,,,0,,1,49,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,12,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
FLK,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,7,,,0,0,,,0,4,0,,0,0,,0,1,,,,0,11,,,0,,1,,0,1,,0,,0,0,,0,,,0,,0,0,2,0,0,,25,3,0,0
FRO,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,830,0,,0,,17,,,0,0,31,,0,4,0,,0,0,,0,0,,,,0,2,,,0,,0,,0,97,,0,,0,0,,0,,,0,,0,0,1,0,0,,0,3,0,0
FJI,0,,0,0,,,0,0,0,,0,,8,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,7,0,,1,0,,0,0,,,,0,61,,,1,,1,0,0,,,0,0,0,0,,0,,,0,,0,0,0,0,0,,0,21,0,0
FIN,3,0,C,"3,246",,25,1,"5,413",131,1,0,"2,265",1,11,586,55,0,10,196,31,"6,247",0,488,,"30,745","18,983",2,27,"1,045",7,48,,0,"10,480",201,19,"4,783","12,470",565,47,95,,36,2,95,"21,108",3,23,3,0,"10,081",29,161,"9,586",,0,,0,573,,0,C,159,105,13,"3,691","23,100","7,710",0,0,,"18,902","34,797",1,0
FRA,9,4,"15,645","30,338",19,456,"1,446","108,830","13,309",96,232,"23,847",611,"1,387","17,580",639,59,62,"1,915","1,133","24,676",73,834,"22,900",,"272,188",57,"2,426","20,938",306,283,19,31,"134,617",175,"2,766","149,407","155,714","10,977","1,588","1,966",379,84,404,710,"290,191",76,629,162,40,"183,550",77,588,"43,285",,13,0,327,"19,601",97,105,C,"1,860","2,361",250,"94,413","16,648","102,613",210,23,0,"193,691","356,616",18,20
TFQ,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
