,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BRB,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
GRC,0,0,C,965,,16,,0,0,"1,380",73,,1,250,740,,1,0,0,0,0,,"1,611",4,125,0,3,129,"7,585","5,242",3,,57,,2,0,0,,"1,752",0,13,"4,268",372,499,0,14,,2,12,,4,"4,145",0,C,,3,0,"1,675",,581,,,0,,36,"2,041",77,3,20,C,107,116,7,C,139,317,0,18,,"14,294","10,161",0,
GRL,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,59,0,0,C,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,2,,C,,,,0,,2,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,13,,
GRD,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,4,0,0,,0,1,0,,0,,0,,0,,12,0,,0,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,19,,
GLP,0,0,0,0,526,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,0,0,,16,0,,
GUM,0,0,0,0,,27,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,275,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,20,,,0,,2,,,
GTM,0,0,C,13,,,,26,0,0,8,,0,0,24,,5,0,,3,5,48,0,,26,0,0,4,2,124,0,,8,,0,,0,,67,0,,51,5,92,0,0,,,0,,0,174,,0,,,,47,,0,,,134,,0,0,,0,34,,0,0,,C,0,8,0,0,,19,275,,
GGY,0,0,102,448,5,88,,0,0,598,729,,16,0,615,2,15,688,9,0,,16,4,14,"1,838",0,0,"2,482","4,229","6,990",12,63,,,1,86,0,,"3,430",290,1,757,"3,381",429,1,255,,32,0,,0,"8,705",18,22,2,,,"4,799",,"1,578",,,7,,C,42,3,32,75,294,171,0,"3,592",381,"1,407","12,383",11,1,,"18,878","38,376",0,
GUF,0,0,0,0,,,,0,0,,0,,,0,,,57,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,,0,,0,0,,
GIN,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
GNB,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,0,0,,,,0,,0,,,,,0,6,,0,0,,0,0,,C,0,0,,0,,0,0,,
GUY,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,17,0,,,0,,0,0,,,0,,0,6,,0,,,,10,,0,,,,,0,0,,0,0,,0,0,,C,0,0,0,0,,0,0,,
HTI,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,0,0,,0,0,,
HND,0,0,0,2,5,,,0,0,,3,,,0,,,0,0,,14,8,46,0,,56,0,0,C,4,101,0,,0,,0,,0,,108,0,,3,5,101,0,0,,,0,,0,239,,0,,9,,72,,0,,,25,,0,0,,0,0,,0,0,,C,0,179,,0,,11,376,0,
HUN,0,0,258,"1,629",,23,,0,0,210,144,,0,319,813,,4,0,,0,0,,3,554,928,0,24,143,"2,353","5,724",0,6,73,,,0,0,0,"1,731",0,2,780,568,454,0,57,,47,6,,59,"12,398",,6,1,,0,"1,853",,598,,,0,C,"1,067",23,136,1,419,C,212,63,47,C,61,509,,2,,"6,360","15,258",0,
ISL,0,0,C,197,,85,,0,0,45,71,,0,6,70,,0,8,,0,,,0,9,316,0,1,60,487,"1,121",0,1,0,,0,,0,,195,0,,243,77,39,40,21,,1,0,,1,"1,668",0,0,,1,,68,,116,,,0,,16,18,C,0,0,C,8,4,,159,170,139,0,0,,581,"1,885",0,
IND,0,3,"5,422",387,16,"1,203",35,0,0,395,"1,015",,11,0,"8,800",21,3,"9,054",13,0,0,10,70,6,"2,300",1,1,C,"5,778","2,392",42,,419,,0,6,,15,"9,400",6,15,471,"7,951",487,31,"2,006",152,21,2,,1,"39,499",320,C,"83,124",,0,"8,249",C,"9,629",1,,10,209,C,11,,0,667,"60,072",0,55,964,C,"1,695","2,559",182,0,,"25,671","129,208",2,
IDN,0,2,"1,087",328,1,122,4,0,0,207,"1,149",,0,34,"2,346",18,17,"1,190",3,0,,4,0,1,"1,801",0,0,C,579,"4,047",56,,162,,0,2,44,,"7,011",2,,819,"7,327",80,0,488,182,4,0,,0,"20,757","2,045",C,560,,,"5,453",,"3,424",10,,,"1,535",12,0,,0,"1,244","18,198",2,11,16,134,553,"1,524",110,0,,"9,273","51,670",,
IRN,0,0,0,0,,81,4,0,0,,0,,,0,,,0,0,3,0,,,0,,0,0,0,C,31,0,0,,0,,0,,0,,0,0,,,0,,0,181,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,C,0,0,,C,0,0,9,0,,0,0,,
IRQ,0,0,0,5,,17,,0,0,,18,,,0,26,,0,0,,0,,,0,6,99,0,0,C,20,33,0,,7,,0,,0,,120,0,,25,9,2,0,327,21,0,0,,0,310,,0,,,,58,,0,,,,,0,0,,0,0,C,0,0,,C,0,24,,0,,81,592,,
IRL,0,17,"5,199","15,038",65,122,17,15,0,"39,614","20,136",,325,222,"11,329",356,"3,181","11,088",506,135,0,"4,186",734,968,"17,309",6,844,"30,390","118,854","138,534",339,"1,133","6,033",,247,"1,536",6,,,"1,209","2,279","92,530","50,871","3,418","1,827","2,355",49,767,71,,510,"137,286",174,"1,628",52,88,0,"87,006",C,"13,479",,,88,2,344,"11,374",63,"15,328",520,"6,526","1,209",526,"15,727","33,952","17,604","52,223",662,8,,"237,105","387,485",4,
IMN,0,0,C,7,,,,0,0,55,21,,42,1,18,,0,0,,0,,,13,0,27,0,3,C,144,174,2,5,279,,0,2,0,,"1,332",,,76,149,2,0,15,,1,4,,0,"1,121",642,C,13,,,96,,108,,,0,,C,0,2,0,0,126,2,0,272,C,29,132,,0,,"1,645","3,799",2,
ISR,0,0,715,307,34,,,1,0,198,676,,78,0,"2,139",,15,11,10,0,0,18,14,4,327,0,1,C,"1,520","2,627",2,4,"1,534",,1,1,0,0,"1,952",1,,212,"1,518",62,16,302,,0,0,,2,"4,196",2,5,,1,,"1,797",20,"2,815",,,6,,C,0,C,1,0,661,22,13,10,121,464,"1,120",83,3,,"4,959","75,148",2,
ITA,1,6,"3,907","23,716",,70,97,5,0,"36,673","1,360",,72,138,"6,955",9,488,946,62,0,0,120,472,179,"9,189",41,243,"7,237","312,694","224,521",23,"17,037","2,283",,616,14,0,13,"130,913",2,336,,"54,944",577,260,"1,198",,114,34,,34,"189,882",3,732,11,20,0,"57,070",64,"18,079",,,20,C,482,"19,131",34,4,"2,342",C,"1,784",916,127,"93,531","5,061","11,649",73,1,,"137,661","109,321",27,
JAM,0,0,0,7,,,,0,0,,6,,0,0,16,30,1,0,,0,1,55,0,,35,0,0,C,2,27,12,,20,,0,,0,,79,0,,14,9,134,0,0,,,0,,0,210,,C,,,,69,,0,,,,,0,0,,0,19,C,0,0,,C,0,9,,0,,147,417,,
JPN,15,18,"23,580","1,454",10,80,44,42,0,"1,910","5,597",18,19,2,"50,919",109,"3,030","24,968",338,1,0,708,6,24,"9,304",14,1,"1,932","110,458","21,906",76,6,"2,070",,5,62,5,28,"83,429",64,423,"4,634",,"10,546","4,149","9,343",,10,8,,1,"96,432",373,56,10,13,0,"41,808",C,"70,686",19,,18,43,1,547,C,1,"14,351",C,111,55,638,"2,269","15,672","23,999",267,0,,"212,824","673,241",98,
JEY,0,1,532,"2,113",,12,,"2,679",0,"1,521",495,,66,4,"1,821",,10,"3,126",18,0,0,44,-280,54,"1,938",0,2,"1,769","13,797","11,063",41,134,"1,385",,278,26,0,0,"8,190",110,4,"4,814","18,228",,116,858,9,17,10,,2,"24,496",19,C,20,,,"9,094",,"5,053",,,,C,25,319,4,"1,972",0,386,8,5,"1,728","1,793","1,434","15,764",10,0,,"46,193","91,079",16,
JOR,0,0,0,0,,546,,0,0,,29,,,0,11,,0,6,,0,,,92,,8,13,0,,0,29,0,,34,,0,,0,0,33,476,,16,10,,0,0,102,,143,,0,96,0,0,,,0,21,,564,,,,,0,0,,0,16,,0,0,,C,0,6,,0,,122,"2,011",,
KAZ,0,1,25,244,,14,,0,0,62,491,,1,1,115,1,0,0,,0,0,,7,59,693,0,2,36,167,"1,981",16,2,120,,29,0,0,,"1,166",0,2,368,163,12,,40,,34,5,,8,"3,058",17,C,,,,718,C,33,,,2,0,C,0,,69,257,C,10,1,,C,52,270,1,1,,983,"3,052",,
KEN,0,0,C,7,,0,,0,0,1,109,,,0,12,,0,31,,0,,,1,,165,0,0,73,24,277,0,,68,,0,,0,0,455,0,,13,23,208,0,1,,,0,,0,"1,568",0,C,464,,,144,,137,,,,,0,0,,0,0,C,0,0,168,C,24,27,0,0,,350,"2,054",,
KIR,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
PRK,0,0,0,,,,,0,0,,0,,,0,,,0,0,,0,,0,0,,0,0,0,,,0,,,,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,0,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
KOR,0,3,"9,951",618,10,353,13,0,0,992,"4,778",163,679,1,"14,363",25,127,"14,755",536,25,7,1,9,32,"2,003",0,6,689,"10,220","9,200",66,2,567,,4,3,9,20,"16,598",6,93,866,"25,277",476,"2,171",,,5,3,,4,"34,150","1,656",37,47,39,3,"11,215",90,"18,440",6,,16,208,2,31,C,3,"3,674","43,375",72,67,135,833,"2,939","12,235","1,998",0,,"38,715","178,389",1,
KWT,0,0,0,0,,168,,0,0,,14,,,0,3,,0,13,,0,,,0,,24,3,2,9,14,0,0,,157,,0,,0,11,73,0,,,3,19,0,8,,,20,,0,406,421,0,2,,0,0,C,92,,,,C,0,0,,0,177,C,0,0,,C,0,0,1,21,,655,811,,
KGZ,0,0,0,0,,0,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,1,,25,,105,0,,,0,,0,167,,0,,,,4,,0,0,,,,0,0,,0,1,,0,0,,C,0,1,,0,,4,0,,
LAO,0,0,0,0,,24,,0,0,0,0,,,0,,,0,C,,0,,,0,,0,0,0,,,0,2,,10,,0,,0,,0,0,,,0,,0,641,,,0,,0,15,,0,,,,0,,0,,,,,0,0,,0,0,C,0,0,,C,0,0,369,0,,2,0,,
LVA,0,0,C,463,,,,0,0,152,11,,,32,4,,0,0,,0,,,9,17,60,0,153,C,165,"1,616",0,,8,,2,,0,,142,0,1,58,75,39,0,0,,,0,,194,502,,C,,,0,304,,76,,,0,,C,0,,0,0,C,78,41,,C,47,268,0,0,0,406,670,1,
LBN,0,0,0,7,,,,0,0,7,0,,1,0,24,,0,6,,0,,,26,0,123,48,0,C,103,172,0,,61,,0,,0,0,163,0,,187,21,47,0,1,50,,,,0,875,,0,204,,,174,,0,,,,,0,0,,0,133,,0,0,,C,13,36,,162,,421,"1,487",,
LSO,0,0,0,0,,21,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
LBR,0,0,16,0,,,,0,0,25,0,,,0,440,,1,0,1,0,,,0,,56,0,0,C,31,89,0,,0,,0,,0,,209,0,,12,386,2,3,23,,0,0,,0,585,0,C,,,,98,,785,,,,,C,0,,0,0,C,0,0,,C,5,109,,0,,78,"10,030",0,
LBY,0,0,0,0,,65,,0,0,,0,,0,0,,,0,0,,0,,,0,,0,0,0,,2,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,51,,0,0,,0,0,4,C,0,0,,0,,2,0,,
LIE,0,0,C,"1,845",,64,,0,0,5,0,,20,0,3,,0,19,,0,,,0,0,0,0,1,C,35,"1,555",2,,8,,5,,0,0,5,0,,21,0,,0,0,,,0,,0,"1,525",0,C,,,,5,,25,,,13,,0,0,,0,0,C,0,3,,C,22,,0,0,,17,79,1,
LTU,0,0,11,449,,3,,0,0,170,26,,,63,58,,0,0,7,0,,,5,18,137,0,184,49,313,"2,659",0,,34,,3,0,0,,297,0,,163,177,,0,18,,386,9,,,"1,185",,C,,,,492,,117,,,0,,53,0,C,0,75,C,156,60,,C,33,432,3,0,,511,"2,193",1,
LUX,549,3,C,"38,953",196,628,,6,0,"201,419","19,563",2,"1,677",465,"9,026",749,"42,403","56,221","1,812","2,579",41,"2,486",848,"3,919","32,011",1,"1,055","38,558","285,692","530,854",590,"72,634","14,999",,"3,739","1,745",380,978,"87,550","1,285","7,694","428,631","108,869","12,326",315,"10,759",57,"1,243",223,,"1,151",,506,"1,374",666,921,4,"103,628",C,"16,454",0,,109,61,"6,668","15,248",587,"16,664","1,232","17,613",766,998,"22,740","102,742","68,289","193,083","3,694",223,,"114,018","133,463",307,
MKD,0,0,0,78,,,,0,0,8,2,,,0,,,0,0,,0,,,0,,39,0,0,C,1,83,0,0,0,,0,,0,,24,0,,29,10,,0,0,,6,0,,1,118,,C,,,,0,,0,,,,,0,0,,0,0,,1,35,,C,0,4,0,0,,87,208,,
MDG,0,0,0,0,,63,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,31,0,0,,0,,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,0,26,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,1,2,,
MWI,0,0,0,0,,,,0,0,,0,,0,0,,,0,0,,0,,,0,,0,0,0,C,,0,0,,0,,0,,0,,0,0,,,0,5,0,0,,,0,,0,6,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,2,C,0,0,,0,,0,4,,
MYS,0,2,C,300,,176,8,0,0,433,"3,711",,1,0,"2,268",12,22,"7,718",197,0,,3,0,0,"1,011",38,0,261,"2,110","2,695",0,,97,,0,2,0,12,"5,680",5,,232,"7,653",123,15,887,605,6,4,,1,"14,585",,0,268,,0,"4,639",,"3,344",11,,0,69,C,0,,0,"1,957","24,763",0,4,23,C,836,"1,876",252,5,,"12,128","40,198",0,
MDV,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,1,,,0,,0,,,,,0,0,,0,0,C,0,0,,C,0,0,,0,,0,0,,
MLI,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,5,0,0,C,0,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,9,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,10,0,0,,1,0,,
MLT,0,0,C,123,,,,0,0,66,261,,8,0,21,,0,C,0,74,,1,0,76,11,13,1,C,237,164,0,,"2,705",,0,,0,,192,26,,183,17,,0,2,0,11,18,,0,919,,,0,,,89,,28,,,,,0,21,C,0,0,C,13,0,"1,325",C,"1,018",480,0,0,,53,"1,035",,
MHL,0,0,C,4,,,,0,0,14,170,,11,0,199,,0,0,,0,0,0,0,0,99,0,0,89,56,24,2,,9,,0,0,0,,189,0,2,20,223,5,0,76,,0,0,,0,680,1,C,,,,57,,169,,,0,,C,10,,0,0,C,0,0,,C,23,37,0,0,,511,"24,260",,
MTQ,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,,0,,0,0,,
MRT,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,C,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,1,0,0,,,,0,,0,,,,,0,0,,0,0,C,0,0,,C,0,2,,0,,0,136,,
MUS,0,0,C,7,,1,,0,0,10,"3,632",,0,0,66,,0,27,6,0,,1,10,85,121,13,0,C,82,72,5,,467,,0,,97,0,903,239,,11,"1,799",515,0,4,0,,1,,0,"9,386",61,C,,,,238,,72,0,,,,0,0,,0,0,"1,590",0,0,930,C,292,251,0,0,,"5,934","9,530",,
MYT,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,,0,,0,0,,
MEX,6,7,"3,135",896,"1,869",29,8,2,0,"1,216","2,803",2,41,18,"7,029","1,093","2,072",260,81,268,15,96,3,2,"3,016",0,14,465,"6,870","14,472",114,11,306,1,4,0,0,0,"14,324",7,267,"2,015","18,092",345,1,983,,11,5,,6,"39,048",1,22,1,,,"9,398",C,"9,064",3,,230,C,9,143,C,0,"2,179",C,47,42,58,"4,815",959,"5,304",248,4,,"24,876","165,727",78,12
FSM,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
MDA,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,31,,0,,,,0,,0,,,,,0,0,C,0,0,,0,0,,C,0,0,,0,,0,0,,
MCO,0,0,0,0,,,,0,0,0,13,,12,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,1,0,,13,0,,0,0,,,0,,0,0,,0,,,,0,,15,,,,,0,0,,0,0,,0,0,,C,3,,,0,,0,10,,
MNG,0,0,C,7,,,,0,0,1,81,,,0,,,0,22,,0,,,0,0,117,0,0,C,39,147,0,,27,,2,,0,,84,0,,43,233,,0,29,,1,1,,0,595,,0,,,,89,,0,,,,C,0,0,,1,33,C,1,0,,C,1,35,,0,,222,240,,
MNE,0,0,0,30,,54,,0,0,1,5,,,17,,,0,0,,0,,,0,1,22,0,0,,3,101,,,0,,2,,0,,15,0,,50,0,,0,0,,7,0,,1,147,,0,1,,,2,,0,,,,,2,0,C,0,0,,20,2,,C,0,7,0,0,,184,20,,
MSR,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,,0,,0,0,,
MAR,0,0,8,63,,56,,0,0,116,118,,,0,86,,4,192,,0,,,1,,150,3,3,C,"2,078",981,3,,55,,0,,0,0,464,0,,169,83,12,0,13,12,1,0,,0,915,1,C,108,,,257,,71,,,,C,0,113,C,0,73,C,5,1,4,C,11,130,0,0,,536,"2,267",,
MOZ,0,0,0,0,,,,0,0,,0,,0,0,,,0,0,,0,,,0,,0,5,0,,,0,0,,0,,0,,0,,0,0,,,1,,0,0,,,0,,0,2,,0,60,,,0,,8,,,1,,0,99,,0,0,,0,0,39,C,0,6,,0,,6,0,,
MMR,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,70,0,0,,C,0,0,0,0,,0,0,,
NAM,0,0,0,6,,,,0,0,,1,,,0,,,0,C,,0,,,0,,9,0,0,8,8,104,0,,10,,0,,0,,12,0,,9,4,11,0,0,,0,0,,0,142,0,0,1,,,16,,0,,,,,0,0,,0,0,,0,0,158,C,0,4,,0,,25,169,,
NRU,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
NPL,0,0,0,0,,,2,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,0,0,0,,,1,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,1,0,,
NLD,1,12,"16,544","22,539",51,385,53,148,3,"52,050","9,727",80,168,404,"16,883",212,398,"6,816",546,247,56,453,457,"1,825","14,363",0,632,"17,747","321,826","260,465",178,"1,611","6,911",,100,279,4,"1,085","111,236",82,"1,542","49,196","127,681","3,671","1,813","3,292",71,673,115,,184,"165,224",196,"1,468",180,13,0,,889,"28,292",3,,59,138,624,"12,490",179,"4,652","2,637",C,"2,271","1,254",206,"30,059","10,657","75,165",173,36,20,"212,236","388,031",245,
NZL,0,4,"9,215",98,,5,4,0,0,202,"1,029",,1,0,"1,553",15,29,576,30,16,0,25,0,1,100,0,1,95,550,"1,997",28,0,175,,4,0,0,,"2,945",2,9,140,"7,802",126,12,367,,0,1,,0,"2,869",27,C,1,,0,"2,408",,"1,797",,,1,C,C,20,,0,249,892,260,3,27,C,131,"1,999",4,0,,"5,519","22,294",0,
NIC,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,57,,0,,,,1,,0,,,6,,0,0,,0,0,,0,0,,C,0,0,,0,,5,0,,24
NER,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,0,0,0,,2,,0,,0,,0,0,,,0,2,0,0,,,0,,0,1,0,0,,,,0,,7,,,,,0,0,,0,0,C,0,0,,C,0,0,,0,,0,0,,
NGA,0,0,55,11,,1,,0,0,,68,,59,0,129,,0,40,,0,,,4,,214,51,0,107,36,154,0,,117,,2,0,0,2,719,2,,80,22,479,0,6,,0,0,,0,"2,992",,0,908,,,-138,,98,,,,C,0,0,,0,112,C,0,0,558,C,31,60,,0,,"1,755","3,340",,
NIU,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,,0,,0,0,,
NFK,0,0,0,0,,13,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,,0,,0,,,
NOR,0,4,C,"4,087",2,30,8,88,0,"2,864","2,708",,12,0,"4,613",51,85,"1,635",36,115,21,34,24,14,"7,133",0,36,"7,851","16,764","44,231",28,76,"3,983",,6,718,0,0,"10,390",119,58,"2,899","22,345","2,043",263,471,,115,2,,50,"18,833",28,330,136,,,"10,349","1,254",,,,3,C,C,87,30,5,431,C,575,123,26,"1,425","23,253","11,334",6,0,,"27,439","72,895",62,
OMN,0,0,C,0,,179,,0,0,,17,,,0,5,,0,16,,0,,,0,,32,0,3,C,10,108,25,,1,,0,,1,,79,0,,0,0,8,0,0,113,,14,,0,314,1,0,1,,,2,,71,,,,,0,0,,0,193,C,0,2,,C,0,17,0,0,,147,750,,
PAK,0,0,C,11,,17,8,0,0,,4,,,0,72,6,0,75,,0,,,0,,167,0,0,C,11,12,0,,42,,0,,0,0,262,0,,44,47,25,0,0,11,0,0,,0,"2,193",2,0,275,,,233,,3,,,,C,0,0,,0,249,C,0,0,,C,107,19,,13,,442,"2,932",,
PLW,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
PAN,0,1,179,46,31,,,24,0,81,437,2,338,0,933,106,101,152,0,409,177,68,0,4,435,0,0,30,93,"1,361",41,,25,0,0,0,0,,845,0,,205,840,3,2,343,,1,0,,0,"2,683",0,C,20,0,,892,,352,,,,,C,0,,2,100,40,1,1,7,C,38,788,1,0,,653,"27,154",6,
PNG,0,0,C,1,,,,0,0,13,5,,,0,89,,0,25,2,0,,,0,,13,0,0,C,12,34,0,,0,,0,0,0,,35,0,,4,24,2,0,5,,,0,,0,322,1,0,,,,16,C,74,,,,,0,0,,0,0,5,0,0,,C,1,19,,0,,386,"1,562",,
PRY,0,0,C,7,30,,,0,0,,59,6,55,0,,3,3,0,,0,,47,0,,94,0,0,C,5,159,0,,4,,0,,0,,194,0,,10,12,97,0,0,,,0,,0,454,,0,,,,132,,0,,,5,,0,0,,0,0,,0,0,21,C,0,11,,0,,9,"1,044",1,
PER,0,0,114,132,49,2,,1,0,92,406,14,63,0,455,103,974,19,0,311,4,55,0,1,594,0,0,C,124,"1,921",56,,85,,1,,0,0,"1,212",5,4,183,269,131,1,38,,1,0,,0,"3,982",0,C,0,1,,"1,258",C,145,,,368,,0,0,,0,412,C,1,0,0,C,59,669,1,0,,"1,227","10,437",32,
PHL,0,1,"6,288",159,2,54,,0,0,124,179,,2,0,"1,602",25,0,"1,066",0,0,2,1,0,1,904,0,0,271,679,"2,363",0,,346,,0,1,2,12,"2,261",6,,267,"2,652",48,0,168,,1,0,,0,"8,184",269,C,24,,,"2,454",C,"5,253",,,,,0,0,,0,835,"6,914",2,4,2,C,493,566,68,3,,"6,057","26,842",0,
PCN,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,,0,,2,0,,
POL,0,1,690,"5,348",,7,39,0,0,"2,237",259,,1,142,"1,200",,50,63,17,0,,19,28,"1,304","1,239",0,115,612,"9,243","25,171",133,228,386,,206,0,0,1,"6,674",0,65,"2,151","8,903","2,302",138,400,,67,28,,97,"17,540",0,36,4,,0,"4,561",C,"4,022",,,,C,,18,40,0,388,C,"1,012",232,19,C,498,"3,851",12,0,,"11,706","28,136",4,
PRT,0,0,262,"1,512",2,173,4,0,0,"3,228",150,,436,48,853,447,1,26,4,0,,40,41,9,"1,630",0,24,C,"24,243","20,495",5,"1,539",115,,1,0,0,1,"8,888",1,3,"8,840",615,"3,429",1,60,1,15,1,,9,"15,373",0,C,0,,,"7,257",0,"1,349",,,0,,59,,4,8,140,C,193,159,5,"15,540",235,412,0,1,,"7,220","13,282",0,
