,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BRB,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
BEL,0,2,"1,426","7,665",,17,67,0,0,,"1,605",39,715,27,"3,059",58,159,562,26,48,20,25,222,"2,569","3,900",0,126,"4,151","117,814","67,192",100,"1,526",54,,608,3,3,2,"30,934",11,85,"10,623","24,150",431,97,734,0,47,44,,29,"77,699",0,190,84,22,,"43,345",,"8,596",1,,1,,15,"2,115",C,0,944,C,728,330,191,"6,838","2,159","8,414",12,1,,"30,228","63,444",12,
BLZ,0,0,0,2,,,,1,0,,0,,13,0,5,,0,0,,3,,2,0,,16,0,0,C,13,8,0,,0,,0,,0,,15,0,,2,0,,0,0,,,0,,0,50,,C,22,,,6,,0,,,9,,0,0,,0,0,C,0,0,,C,0,2,,0,,1,323,,
BEN,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,4,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,1,,
BMU,0,3,C,221,19,80,,40,0,"1,126",,,"1,571",2,"8,889",67,60,"118,350",806,0,0,52,83,64,"1,796",0,4,796,"2,317","3,257",11,12,"3,119",,16,15,220,66,"8,890",156,4,585,"22,154",137,16,625,,7,24,,4,"26,207",401,C,11,1,,"8,556",,"5,325",0,,10,2,9,50,1,65,17,"7,883",1,1,"9,851",268,"2,463","5,523",259,1,,"12,772","227,490",82,
BTN,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
BOL,0,0,0,5,,,,0,0,,2,,7,0,9,2,6,0,,0,,50,0,,53,0,0,C,,52,0,,6,,0,,0,,52,0,,10,4,81,0,0,,,0,,0,134,,0,,,,74,,0,,,0,,0,0,,0,0,,0,0,,C,0,4,,0,,12,151,,
BES,0,0,0,0,,,,0,0,,0,,,0,,,8,0,,0,,21,0,,0,,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,232,,0,,118,0,,
BIH,0,0,0,6,,,,0,0,,0,,,0,,,0,0,,0,,0,0,,28,0,0,C,0,12,0,,11,,0,0,0,,18,0,,0,0,,0,0,15,,0,,0,195,,0,0,,,1,,3,,,,,0,0,,0,0,,0,29,,C,0,5,,0,,0,86,,
BWA,0,0,C,0,,,,0,0,,2,,,0,,,0,0,,0,,0,0,,9,0,0,C,4,0,0,,1,,0,,0,,51,0,,,0,27,0,0,,,0,,0,55,,0,78,,,2,,0,,,,,0,0,,0,0,,0,0,36,C,1,0,,0,,16,99,,
BRA,455,6,"4,244",596,"10,520","1,329",13,9,0,666,"1,707",12,,17,"11,538","20,701","2,387",149,20,369,37,86,7,20,"3,093",0,6,620,"6,419","7,667",264,11,"1,721",,10,1,8,1,"18,481",259,157,"1,718","15,801",395,6,"7,680",,15,38,,4,"42,460",20,26,2,"2,436",,"10,691",79,"11,150",11,,557,117,5,"1,154",0,4,"1,880",C,32,89,128,"9,878","1,761","4,519","2,109",19,,"56,540","165,863",302,2
