,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
CRI,1,0,,8,34,0,,0,1,5,0,0,1,0,3,,0,,0,,5,,,,2,15,,,,,,0,,0,,0,0,2,6,,0,,0,13,,0,,,0,0,,7,,574,1,0,0,,0,,0,0,0,,2,0,,,C,260,0,0
CIV,0,0,,1,0,0,,7,0,,0,2,,0,20,,0,,22,0,29,,,,51,10,,,,,,0,,53,,0,4,0,8,,0,,0,40,,0,5,,10,0,,,,,0,0,0,,0,,0,0,0,,356,0,,,C,98,0,0
HRV,0,0,C,"1,214",0,17,,31,24,,82,17,,0,13,,0,,31,17,62,,68,,268,"1,722",,68,14,34,0,0,,112,0,0,263,385,27,,2,,0,"2,076",,29,,,685,0,,143,,,0,C,0,,0,,2,0,9,79,58,0,,,713,716,0,0
CUB,0,0,,0,0,0,,0,0,0,0,0,,0,0,,0,,0,9,0,,,,0,0,,,,,0,0,,0,,0,,0,,,0,,0,1,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,10,1,0,0
CYP,0,0,,"1,037",0,0,,178,0,,0,0,2,0,13,1,0,,,5,0,,3,,588,"1,414",,681,132,3,3,0,,99,,4,148,3,25,,1,,0,522,,26,,,191,0,,21,,,3,0,0,,53,,0,0,40,,131,0,,,635,103,0,0
CZE,0,0,C,"1,162",0,0,,539,1,0,0,88,,0,2,,0,,107,,170,,17,15,373,"2,079",,23,37,36,0,0,,895,,0,192,34,104,,2,,0,"3,099",,0,,,270,0,,63,,,0,C,73,,0,3,154,0,70,153,63,0,,,"1,338","1,876",0,0
DNK,0,0,629,"5,211",13,0,55,"4,727",302,1,4,"1,448",,3,636,34,0,0,70,19,,4,54,"3,629","9,396","12,706",,68,608,1,42,0,,"6,067",439,31,"1,942","9,544",616,41,2,,3,"12,323",0,15,6,,"5,391",16,25,"7,227",,1,0,98,205,,0,759,3,2,"1,931","6,628","4,047",0,0,,"22,600","23,882",5,1
DJI,0,0,,0,0,0,,0,6,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,0,0,0
DMA,0,0,C,0,0,0,,,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,,,0,0,,0,,,0,0,0,,0,,0,0,0,,0,0,,,0,0,0,0
DOM,0,0,,15,0,0,,0,0,0,0,19,,2,0,,0,2,0,,26,,,,47,18,,,8,,,0,,8,,0,16,1,6,,0,,1,52,,0,,,26,0,,,,4,0,0,0,,0,,0,0,0,,4,0,,,57,503,0,0
ECU,0,0,C,33,13,0,,0,16,0,0,9,,0,4,,0,10,0,,152,,,,8,63,,1,38,3,,0,,54,,0,136,30,,,0,,1,228,,0,,,195,0,,0,,12,1,0,0,,1,,0,0,28,,23,0,0,,127,"1,115",4,0
EGY,0,0,C,1,0,1,,0,0,0,0,16,,0,8,,0,,1,0,23,,,,52,14,,44,121,,,0,,67,5,0,31,2,97,,2,84,2,339,,0,28,,46,4,,25,,,0,0,0,,0,,0,0,0,1,9,0,,,271,"1,152",0,0
SLV,0,0,,10,1,0,,0,0,,0,5,,0,C,,0,7,0,,14,,,,14,35,,,,,,0,,10,,0,15,14,6,,0,,0,55,,0,3,,22,0,,,,67,0,0,0,,0,,0,0,0,,2,0,,,67,674,0,0
GNQ,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,0,0,,4,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,0,0,0
ERI,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,0,0,0
EST,0,0,C,262,0,0,,42,12,0,0,5,,0,0,,0,,35,10,42,,,285,30,543,,3,23,0,0,0,,155,1,0,45,31,,,0,,0,740,,0,,,123,0,,45,,,0,C,0,,0,,0,0,50,420,10,0,,,308,343,0,0
ETH,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,0,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,0,0,0
FLK,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,4,,,,,,0,,0,,0,0,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,1,0,,,0,0,0,0
FRO,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,412,,,,0,25,,,,,0,0,,0,,0,,0,,,0,,0,16,,0,,,0,0,,0,,,0,0,0,,0,,0,0,0,,0,0,,,C,0,0,0
FJI,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,18,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,C,0,0,0
FIN,25,0,454,"2,839",0,0,2,"5,443",251,6,3,"1,747",0,10,795,30,1,0,118,7,"3,091",2,192,,"21,258","24,037",8,98,637,2,115,0,,"6,170",296,3,"5,055","6,921",334,35,7,2,6,"17,058",10,13,4,1,"8,376",5,22,"2,645",,1,0,4,412,,0,850,97,95,"3,538","11,604","5,984",0,0,,"21,340","38,896",2,0
FRA,33,0,"6,266","18,689",152,552,902,"74,930","4,299",330,53,"13,770",336,211,"7,788",194,1,1,449,"1,072","11,828",77,157,"18,927",,"155,680",30,"2,453","9,616",50,266,0,,"76,527",185,523,"86,590","124,121","9,039",494,"1,143",240,395,"139,644",266,326,29,4,"111,087",30,236,"16,735",6,34,17,288,"14,756",6,17,"6,988",128,259,"65,397","15,477","55,324",10,7,,"149,628","212,505",3,0
TFQ,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,,0,,,0,0,0,0
PYF,0,0,,3,0,0,,0,0,,0,0,,0,C,,0,,0,,0,,,,25,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,0,0,0
NCL,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,0,0,0
GAB,0,0,,0,0,0,,1,0,,0,0,,0,0,,0,,0,,0,,,,179,0,,,,,,0,,0,0,0,0,0,,,0,,0,2,,0,,,0,0,,,,,0,0,0,,0,,0,0,1,3,5,0,,,C,C,0,0
GMB,0,0,,0,0,0,,0,0,,0,0,,0,1,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,0,0,0
