,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
SVK,0,,0,"2,505",,,0,"1,300",0,,0,30,,,0,0,,0,,,1,"1,896",0,0,25,61,926,"4,276",,0,7,66,0,,0,311,0,,361,3,142,0,1,,10,,28,"1,628",,39,0,,,525,,222,,0,,34,74,,1,,,181,,C,0,0,,0,,55,308,,0
SVN,0,,C,"2,250",,,0,"1,507",137,,0,41,4,,0,1,2,0,,,42,104,49,0,12,214,"2,471","3,015",1,0,23,32,0,,0,168,0,19,"1,191",10,,0,6,,14,0,30,602,,209,0,,,345,,175,,0,,24,41,3,1,,735,,,C,28,266,2,0,,710,255,,0
SLB,0,,20,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,,0
SOM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
ZAF,0,0,"2,466",498,,18,0,233,943,,3,2,"3,204",30,67,103,32,1,,10,1,5,"1,520",0,1,455,"2,490","4,611",2,23,747,5,0,15,4,"6,669",123,4,592,"3,300",156,0,583,,0,16,0,"16,933",1,45,942,,,"5,657",C,"2,166",0,3,75,3,175,0,0,C,1,16,,C,748,"1,585",157,1,,"14,311","70,511",1,0
SSD,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,1,,,,,,,0,,,,,,,,0,,,,0,0,,,0,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,0
ESP,117,1,"3,179","11,208",10,73,17,"34,649","1,874",2,"2,899",16,"4,340",37,14,"1,239",33,4,7,120,347,378,"5,614",5,79,"5,818","195,969","163,712",13,530,632,6,10,0,5,"37,664",13,146,"46,429","27,979","1,504",43,493,,13,27,19,"64,726",5,594,0,297,,"56,210",C,"27,435",,36,0,2,"17,432",14,0,C,"4,765",332,21,,"5,922","3,753",19,1,,"54,079","75,689",211,7
LKA,0,,2,8,,0,0,,425,,0,0,16,,0,344,,0,,0,0,,76,1,,C,38,85,,,28,,,5,3,56,0,,39,82,,0,0,,0,2,0,"1,886",0,,4,,,132,,,20,0,0,0,0,,0,166,,0,,0,0,41,,0,,408,"2,011",,0
KNA,0,,0,0,,,1,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,0,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
LCA,0,,0,0,,,4,,0,,0,0,,1,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,5,0,,,0,,0,0,,,,0,2,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,43,,0
VCT,0,,0,0,,,0,0,0,,0,0,,,0,0,,0,,,0,,0,0,,0,2,0,,,0,,,,0,0,0,,,0,,0,0,,6,,0,6,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,220,,0,,0,1,,0
SDN,0,,0,0,,47,0,,0,,0,0,,,0,0,,0,,,0,,0,49,,0,,0,,,10,,,,0,0,0,,,0,62,0,0,91,,3,0,0,,,0,,,0,,,,0,,0,0,,0,C,,0,,0,0,0,,0,,5,0,,0
SUR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,2,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
SWZ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,1,,0,,0,,,0,,0,,,0,,,,0,0,0,,,0,3,27,0,,,0,0,0,0,,26,,,0,,3,,0,,0,0,,0,,,0,6,0,0,0,,0,,15,,0,0
SWE,0,0,"3,590","5,274",,7,471,"4,413","1,710",14,4,44,"5,291",53,62,"2,375",19,42,19,39,330,116,"17,057",0,188,"35,395","45,481","42,371",10,62,"5,580",3,83,,0,"20,160","1,716",44,"6,179","43,489","4,923",95,537,0,149,4,52,"75,107",28,91,2,0,,"17,724",C,"33,466",0,25,0,441,979,43,70,"3,961","1,190",241,92,"2,555",,"21,110",118,1,,"30,908","115,419",70,0
CHE,1,5,"8,393","3,620",79,12,131,"2,974","1,911",5,673,11,"15,722",15,45,"1,522",17,19,4,27,20,81,"4,067",119,13,"1,960","22,105","34,213",51,234,"3,665",67,56,32,3,"21,524",115,284,"6,867","23,135","2,390",243,"1,295",93,3,124,3,"42,483",39,79,28,4,1,"24,965",C,"23,894",4,26,24,31,357,2,69,C,169,97,353,"2,374","15,199",,13,1,,"61,504","292,025",18,814
SYR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,3,,0,,0,,,0,,,,0,0,0,,,0,133,0,0,54,,3,0,0,,,0,,,0,,,,1,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
TWN,0,0,C,116,,,1,187,105,,1,0,"4,289",,23,"2,401",1,0,,1,0,1,761,0,,342,"2,299","1,849",,,198,0,1,15,3,"6,362",2,,408,"2,462",138,0,712,,0,0,0,"15,456",412,,85,12,0,"4,445",C,"3,513",,0,0,0,10,,0,"12,933",1,9,10,C,"1,190","1,472",0,0,,"27,328","72,146",,0
TJK,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,45,,,0,,,0,,,,0,,0,0,,2,,,0,,0,0,1,,0,,0,0,,0
TZA,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,0,0,0,0,,,0,8,0,0,,,,0,12,,,2,,,0,,15,,0,,0,0,,0,,,0,0,0,0,5,,0,,21,0,,0
THA,0,,"1,447",175,,,0,57,97,,0,0,"2,920",,7,"1,437",18,0,,5,10,0,780,0,,231,562,"1,053",,1,383,0,1,58,13,"3,043",11,1,171,"2,400",100,0,493,2,0,0,0,"12,265",490,,198,,,"2,696",C,734,,0,42,C,0,,0,"7,288",,5,12,C,215,499,,0,,"6,764","23,167",0,0
TLS,0,,C,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,C,,0,,0,0,0,,0,,0,0,,0
TGO,0,,0,0,,,0,,0,,0,0,,,0,5,,0,,1,3,,0,0,,0,,0,,,0,,,,0,0,0,,,0,3,0,0,,,,0,17,,,19,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,2,,0
TKL,0,,0,0,,,0,0,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,379,0,,,0,,0,0,,,,0,18,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
TON,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
TTO,0,,0,23,,,1,,145,,0,0,29,83,3,C,,0,12,10,0,,72,0,,0,,120,,,27,,,0,0,39,0,,5,162,,0,0,,,,0,108,,,0,,,22,,7,,15,,0,0,,0,,,0,,0,0,0,,0,,50,"1,146",0,0
TUN,0,,0,131,,46,0,9,73,,0,0,3,,0,3,,0,,,8,,13,3,,0,336,435,,0,11,,,,0,217,0,,115,946,93,0,0,187,,0,1,43,,,2,,,82,C,,,0,,0,0,,0,C,,0,,C,0,0,,0,,515,446,,0
TUR,0,,508,762,,"9,484",0,341,"1,611",,0,31,841,24,2,314,1,0,3,7,6,28,"1,442",71,35,142,"2,849","3,743",,"1,209",593,28,1,4,8,"2,951",2,3,805,"3,849","3,108",0,213,877,1,22,4,"12,148",35,"9,619",37,,,"4,025",C,"1,749",,2,,226,0,0,22,C,7,14,25,C,782,567,0,,,"15,616","28,684",0,0
TKM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,15,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,1,0,,0,,4,0,,0
TCA,0,,0,0,,,0,1,0,,56,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,8,0,,2,3,,0,0,,,,0,9,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,3,119,,0
TUV,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
UGA,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,2,,,,0,10,0,,,0,6,0,0,,,,0,11,,,32,,,0,,5,,0,,0,0,,0,C,,0,0,0,0,1,,0,,69,17,,0
UKR,0,,C,138,,1,0,1,31,,0,5,115,50,0,10,,0,,,7,3,245,0,4,C,95,238,,387,317,1,3,,0,36,0,,140,127,12,0,0,,23,1,4,"2,530",,,1,,,563,,0,,0,0,30,0,C,77,C,8,0,,C,22,36,,2,,938,"3,120",0,0
ARE,0,,41,242,1,"2,255",0,59,445,,2,3,284,,0,730,31,0,,1,63,5,208,0,1,0,600,770,1,10,873,2,0,1,2,888,0,,145,795,"1,866",0,86,"2,699",,391,0,"2,454",402,,71,,,267,C,138,12,5,0,C,0,,6,C,14,5,1,C,0,40,432,0,,"5,725",0,0,0
GBR,8,6,"50,167","19,618",256,"2,102","1,297","35,505","30,276",39,199,75,"59,672",747,"1,786","62,603","1,111",257,91,361,"12,755",844,"22,998",187,120,"20,238","203,077","202,237","1,185","30,175","38,579",135,780,36,367,"338,501","19,058","2,775","72,875","229,812","53,308","2,815","6,078","1,954",109,"1,253",52,"204,147","2,268","2,277",486,119,5,"122,879","2,563","98,555",27,86,491,C,"9,229",232,"4,748","39,664","2,147",656,"70,278","29,288","45,957","67,860",325,651,53,,"989,273",148,1
USA,"17,602",353,"203,723","24,303",653,"6,356","9,042","38,544","290,935",166,"8,424",202,"425,468","23,036","46,244","74,129","1,307","11,269",405,"3,287",942,"1,837","68,934","1,575",234,"22,959","207,353","202,464",139,"3,965","37,914","1,251","1,846",143,"1,508","568,078","1,836","38,863","83,929","1,168,353","44,719","27,300","36,852","2,654",260,"3,191",90,"513,632","10,115",931,"1,239","19,975",13,"320,542","11,622","181,230",4,"4,009","1,596",501,"8,820",87,"1,681","163,475",835,"1,140","20,802","29,840","100,307","167,221","3,819",105,,"879,606",,"1,494","5,142"
URY,4,,C,43,21,1,0,0,580,,120,0,71,,2,8,,0,8,83,0,2,311,0,,C,21,384,,0,184,,,,0,83,0,,57,"1,088",2,0,0,,0,,0,"1,771",,,0,,,431,,,,0,,0,0,,0,C,1,0,,C,0,19,1,0,,105,"2,262",,0
PUQ,0,,0,0,,,0,,48,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,,0,,,0,17,0,0,,,,0,0,,,0,,,0,,1,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
VIR,0,,0,0,,,2,19,0,,19,0,,,0,16,0,5,,5,0,,0,0,,0,1,0,,,0,,,,0,138,0,5,,946,,0,34,,,,0,0,,,0,,,3,,0,,0,,0,0,,0,C,,0,,0,19,0,,0,,7,0,0,0
UZB,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,0,0,0,0,,,0,12,0,1,,,,0,0,0,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
VUT,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
VAT,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
VEN,0,,C,115,,4,3,47,704,2,1,0,160,16,2,8,,0,7,288,0,0,697,0,,C,642,"1,045",,32,258,0,,,0,289,0,,957,323,"1,039",0,17,,3,41,4,"3,174",,,0,,,"1,456",,,,223,0,C,50,,95,C,3,4,,C,0,4,0,4,,"1,195","8,566",21,
VNM,0,,C,13,,,0,14,0,,0,0,10,,0,280,,0,,,0,0,58,0,,C,97,82,,,37,,,,1,26,0,,24,141,,0,249,,3,0,0,477,16,,41,,,50,,3,,0,0,0,0,,0,321,0,0,,0,1,0,6,0,,946,"1,368",,0
VGB,0,13,C,400,,77,10,420,282,,541,0,"2,802",201,510,"6,186",339,0,,"7,060",7,0,71,0,6,484,"2,062",811,134,38,"2,076",2,12,1,32,"1,690","1,230",18,389,"2,740","1,452",0,61,31,1,2,12,"8,121","1,164",,111,,,"1,755",,144,13,6,0,1,99,,662,C,,0,742,387,158,0,1,0,,"3,498","48,047",1,0
WLF,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
PSE,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,12,0,,,0,,0,0,,,0,0,12,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,1,,0
ESH,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
YEM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,1,0,,0,,0,,,9,,,,0,0,0,,,0,,0,0,15,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
ZMB,0,,0,0,,,0,72,0,,0,0,,,0,6,,0,,,2,,0,0,1,0,18,0,,,6,,,,0,10,0,,,0,15,0,0,,,,0,13,,,12,,,1,,,,0,,0,0,,0,,,0,4,0,0,1,,0,,206,18,,0
ZWE,0,,C,0,,,0,,0,,0,0,,,0,0,,0,,,58,,1,0,,0,0,0,,0,16,,,,0,28,0,,,0,,0,0,,,,0,22,,,98,,,0,,,,0,,0,0,,0,,,0,39,0,0,0,,0,,17,96,,0
