,ALB,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,SLV,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NAM,NLD,NZL,NOR,PAK,PLW,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,PSE
COD,,0,,0,0,0,,,0,2,0,,,0,,60,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,27,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,1,0,0,0,12,0,,3,,,0
COG,,0,,12,0,0,,,0,0,0,,,0,,55,0,0,,0,0,0,0,0,0,2,,0,0,1,12,1,,,0,0,0,,0,,20,,2,0,0,0,0,,,0,0,56,0,0,0,0,,0,,2,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,8,135,,0
COK,,0,,0,0,0,,,0,0,0,,,0,,81,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,C,0,,0,,0,,0,,,,,0,0,,,0,C,0,0,,0,0,,,0,,0,,,0
CRI,,0,,C,48,21,,,0,1,42,,9,0,82,76,16,0,,36,0,,0,C,3,169,,340,0,63,25,263,,0,9,23,0,,0,,486,2,94,18,1,0,1,,1,0,0,"1,548",0,0,C,0,,0,,545,,26,,,286,,C,12,,4,0,C,0,0,,4,15,123,,0,,160,"1,669",3,0
CIV,,0,0,92,52,10,,,0,5,83,,,0,128,143,3,265,,42,0,0,0,C,0,254,,0,0,C,583,938,,0,290,0,4,,0,,771,,210,45,17,0,1,,1,0,0,"2,785",0,0,0,315,,0,,350,,261,,,0,,C,0,C,3,179,C,0,1,,2,6,170,22,2,,508,"2,274",2,0
HRV,1,0,0,40,897,0,5,,0,49,4,,0,462,142,13,0,0,3,27,1,0,0,1,42,128,,0,18,168,347,"2,478",1,16,9,0,136,0,0,,645,,832,336,1,37,22,,75,0,220,"1,367",0,0,22,0,,0,,466,,40,,,1,C,99,31,20,C,7,C,93,156,0,42,10,238,,2,28,352,"1,619",,0
CUB,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,7,0,0,0,0,0,0,,0,0,,3,0,,,194,0,0,0,0,,0,,0,3,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,0,0,0,0,,0,,1,0,,0
CUW,,0,2,0,70,0,,,0,108,49,,18,0,"1,602","33,129",0,0,2,83,0,0,,C,4,96,,0,0,26,"1,269",907,,4,1,0,1,,0,,701,,174,"1,168",1,1,4,,0,0,0,"2,049",0,0,"1,503",23,30,0,,606,,252,,,0,,12,0,C,48,0,C,0,1,,387,98,"1,207",,0,,277,"22,987",1,0
CYP,7,0,0,88,383,0,,,0,47,61,,3,23,99,298,0,51,0,65,0,0,52,,123,147,3,0,97,54,313,"1,669",,920,"3,702",0,24,0,2,,"1,215",5,"1,581",360,"3,076",1,51,,11,6,15,"5,293",0,1,C,148,,0,,112,,369,,,0,,161,173,21,"4,830",0,C,77,54,6,76,297,199,,0,68,424,"3,733",,0
CZE,44,0,,113,"11,282",0,23,,0,"21,787",84,,,563,639,27,1,28,5,53,0,0,0,C,,254,13,0,24,C,"1,647","5,931",1,15,222,0,357,0,0,,"2,709",10,"1,002","1,104",55,1,35,,88,3,32,"6,702",0,0,C,0,,0,,"2,908",,130,,,,,"1,154",203,3,1,0,C,"1,625",289,2,517,241,842,,0,,"2,003","3,479",0,0
DNK,,0,2,C,"3,141",0,46,,0,"3,210","1,570",,7,36,"7,585","9,121",46,891,174,"1,066",17,13,7,27,159,,,0,72,"20,193","21,364","70,877",228,27,"10,973",0,37,45,33,,"27,532",471,"5,042","32,961","2,663",233,"2,419",,40,2,13,"71,058",4,59,"7,455",180,36,3,C,"19,267",,"30,616",,,6,C,86,463,1,19,"1,203",C,198,137,104,"3,213","29,124","9,541",127,3,,"26,669","158,731",119,1
DJI,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,214,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,9,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,C,0,0,,0,0,0,,0,,0,,,0
DMA,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,7,,,0
DOM,,0,0,28,87,14,,,0,4,136,,42,0,277,44,76,0,0,117,0,12,0,0,1,669,,8,0,215,172,"1,850",,,26,0,0,,0,,"2,103",,326,359,19,0,15,,1,0,0,"5,412",0,0,C,0,,0,,"1,800",,91,,,210,,32,0,C,2,16,C,0,0,,5,33,387,,0,,639,"6,835",,0
ECU,,0,,C,40,0,1,,0,4,34,,3,0,162,37,39,0,,13,0,3,1,1,0,315,,0,1,53,73,275,,,50,0,1,,0,,726,,72,198,4,0,1,,0,1,0,"2,691",0,0,0,0,,0,,508,,0,,,30,,11,6,,3,7,C,0,0,,1,24,118,0,0,,344,,7,0
EGY,9,0,0,113,146,0,468,,0,6,373,,2,0,297,"1,321",4,20,0,209,0,0,0,C,0,649,,0,0,248,404,"2,511",,,536,0,5,,8,1,"2,786",,689,507,21,0,42,159,1,5,0,"8,386",0,11,C,286,,0,,"1,989",,581,,,1,2,25,4,C,43,"1,473",C,0,1,248,10,94,441,2,0,,"8,690","11,818",0,6
SLV,,0,,C,22,0,,,0,1,15,,,0,96,10,8,0,,34,39,5,0,0,0,182,,,0,22,11,229,,,10,28,0,,0,,393,,58,43,5,0,1,,0,0,0,"1,788",0,0,0,0,,0,,507,,3,,,44,,0,0,C,C,5,C,0,0,,C,19,100,,0,,115,"1,439",0,0
GNQ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,0,0,0,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
ERI,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,88,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
EST,5,0,0,C,207,0,,,0,43,0,,0,12,4,0,0,0,,0,0,0,0,3,1,51,,0,,537,101,929,,0,35,0,11,0,0,,69,,41,1,0,0,9,,476,0,534,647,0,0,607,0,,0,,82,,154,,,,,15,6,,C,131,C,67,38,0,22,121,90,,0,1,12,49,,0
ETH,,0,,C,6,0,,,0,,4,,,0,,0,0,0,,1,0,0,0,0,0,23,,0,0,2,1,45,,,6,0,0,,0,,76,,11,5,0,0,0,,,0,0,402,0,0,0,73,,0,,26,,2,,,,,0,0,,1,0,,0,0,,0,0,14,,0,,69,,,0
FLK,,0,,0,0,0,,,0,0,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,1,,0
FRO,,0,,C,5,0,,,0,28,71,,,0,,0,0,0,,0,0,0,0,0,0,738,,0,0,71,62,133,,,0,0,0,3,0,,177,,6,,3,0,1,,0,0,0,350,0,0,0,0,,0,,139,,581,,,,,2,0,,,0,C,0,0,,18,415,27,,0,,-39,,,0
FJI,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,37,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,18,0,,0
FIN,9,1,1,"2,764","4,181",54,21,,0,"6,737","1,571",,9,39,"3,508",784,24,"1,120",77,465,18,0,4,C,27,"9,724",,0,874,,"41,572","61,273",13,228,"1,271",0,4,12,149,,"32,722",45,"5,759","13,757",639,108,"1,186",0,245,1,145,"38,790",0,58,"1,239",39,5,0,,"34,745",452,"21,758",,,2,1,93,"1,447",71,96,661,C,96,401,29,"4,283","53,922","9,399",54,4,,"17,730","59,712",130,0
FRA,107,1,26,"27,598","35,415",112,771,,0,"146,123","17,409",276,273,668,"46,502","62,371","1,400","14,381","1,260","9,341",825,12,"1,441",C,"1,677","25,443",41,0,697,"18,242",,"549,308",244,"3,498","4,667",8,287,507,158,2,"272,031","7,091","199,100","300,213","2,688","2,774","28,601",37,638,114,182,"555,280",20,"3,649","4,175",438,109,1,C,"242,679","2,874","77,322",,,67,176,"1,221","17,264",542,998,"15,554",C,"1,950","2,929","1,463","83,486","25,888","89,526",656,24,,"191,788","701,012",261,7
TFQ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0
PYF,,0,,0,2,0,,,0,,0,,,0,,2,0,0,,0,0,0,0,0,0,C,,0,0,,128,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
NCL,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,145,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,1,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
GAB,,0,,C,6,0,,,0,4,2,,,0,39,0,0,0,,0,0,0,0,0,0,123,,0,0,12,216,13,,,4,0,0,,0,,174,,27,26,1,0,0,,0,0,0,650,0,0,0,0,,0,,108,,0,,,,,0,0,,C,4,C,0,0,,C,2,45,,0,,41,690,,0
GMB,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,4,,1,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
GEO,17,0,,9,23,0,,,0,4,125,,0,1,67,8,0,0,,5,0,0,0,C,1,157,,0,0,11,22,199,,,8,0,2,,0,,91,2,81,5,0,15,4,,9,0,5,"1,257",0,0,C,0,,2,C,108,,20,,,,,C,0,,16,0,C,0,0,,C,1,48,,6,,663,645,,0
DEU,145,92,27,"32,394","62,167",184,571,,0,"53,380","9,622",19,166,"1,458","35,638","38,900","5,393","24,756","1,168","14,398",425,0,56,600,"1,418","74,217",0,0,"1,025","23,321","254,294",,157,"2,592","10,525",0,869,95,757,35,"155,281","5,650","92,262","136,322","9,564","2,439","11,375",143,458,22,210,"432,938",66,"2,615","24,586",423,130,6,20,"264,966","3,015","85,212",,,41,102,"1,180","8,051",310,"2,707","9,467","38,975","2,427","2,338",843,"38,571","27,791","97,509",610,64,,"169,429","526,281",144,16
GHA,,0,,15,45,0,2,,0,2,202,,,0,6,331,2,16,,67,0,0,0,C,0,343,,0,1,147,170,622,,,24,0,0,,0,,926,,128,206,8,0,2,,0,1,0,"3,822",0,0,C,212,,0,C,866,,16,,,,C,1,0,,2,10,C,0,0,197,1,23,191,,0,,968,"3,434",,0
GIB,,0,,C,1,0,,,0,0,0,,398,0,20,9,0,0,,0,0,0,0,C,0,2,,0,0,37,148,25,,,51,0,0,,0,,34,,65,0,15,0,1,,0,0,0,27,0,0,812,1,,0,,11,,37,,,0,,0,0,,C,0,C,0,0,1,47,17,79,,0,,414,,,0
GRC,167,2,0,154,227,0,15,,0,211,62,,0,125,563,820,1,5,,124,0,0,0,594,29,560,,0,7,254,"2,876","6,388",3,,137,0,124,0,0,0,939,13,"3,976",637,36,0,56,,6,3,4,"8,353",0,1,C,13,,0,,952,,399,,,0,,12,575,4,18,39,C,16,89,538,"1,318",181,341,7,5,,"1,744","10,709",0,0
GRL,,0,,0,0,0,,,0,0,0,,,0,,0,0,0,,0,0,0,0,0,0,69,,0,0,0,0,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,C,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,C,0,12,,0,,18,,,0
GRD,,0,,0,0,0,,,0,27,1,,,0,,0,0,0,,0,0,0,0,0,0,1,,0,0,,,1,,,0,0,0,,0,,9,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,2,,0,0,0,,0,,0,32,,0
GLP,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,,0,,0,0,,,0,,,0,0,0,,0,,0,,0,,0,0,0,,,0,0,0,0,0,0,0,,0,,,,0,,,,,0,0,,,0,,0,0,,0,0,,,0,,49,,,0
GUM,,0,,0,0,0,5,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,10,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,24,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0
GTM,,0,,12,23,427,,,0,1,33,,1,0,49,2,10,0,,48,0,9,0,0,0,126,,0,0,23,42,496,,,2,3,0,,0,,336,,51,32,3,0,1,,,0,0,"1,092",0,0,0,0,,0,,475,,4,,,374,,7,0,,C,3,,0,0,,0,12,114,,0,,106,"1,300",,0
GGY,,0,,381,229,0,7,,0,303,239,,97,1,"2,229",759,14,"1,786",15,"2,994",2,4,0,48,20,"4,044",,0,C,"2,881","3,256","3,098",11,9,,0,10,67,0,81,"4,719",3,872,"1,560",446,5,921,25,15,1,0,"15,234",0,554,294,32,,0,,"4,457",,"1,543",,,0,C,23,25,44,"1,154",0,529,5,0,"6,585",599,"1,946","18,402",60,0,,"26,610","52,906",24,0
GUF,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,,,0,,,,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0
GIN,,0,,0,0,0,,,0,,0,,,0,,15,0,0,,0,0,0,0,0,0,0,,0,0,,67,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,13,,,0
GNB,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,10,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
GUY,,0,,C,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,25,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
HTI,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,3,0,0,0,0,,0,,1,,0,,,,,0,0,,,0,,0,0,,0,0,0,0,0,,0,,,0
HND,,0,,C,15,12,,,0,0,0,,0,0,65,1,4,213,,15,0,12,0,0,0,69,,20,0,20,9,113,,,0,,0,,0,,115,,14,23,0,0,0,,,0,0,672,0,0,0,0,,0,,183,,218,,,7,,C,0,,,0,C,0,0,,0,2,334,,0,,59,481,1,0
HUN,20,0,0,312,"1,658",0,22,,0,698,236,,0,832,"1,594",989,5,19,9,308,9,0,0,11,629,582,,0,59,C,"1,936","5,666",,66,563,0,,0,0,,"3,150",,943,"1,504",8,84,227,,29,0,190,"6,270",0,0,30,0,,0,C,"3,389",,220,,,0,C,"1,600",65,21,5,56,712,405,273,23,117,361,661,,0,28,"2,901","11,092",0,0
ISL,,0,0,6,177,0,,,0,129,17,,3,1,26,71,0,0,1,1,0,0,0,0,0,514,,0,9,293,275,971,,0,1,0,1,,0,,191,,48,68,0,3,23,,6,0,7,"1,188",0,0,C,75,2,0,,237,,877,,,,,0,58,C,,0,C,16,42,0,731,897,101,8,0,,"1,440","2,537",,0
IND,10,0,3,"8,501",455,0,"1,591",,0,725,"1,363",,2,0,"20,765","14,983",30,"6,458",88,"1,369",3,0,11,C,27,"4,129",0,0,2,572,"14,018","7,900",,5,"1,374",0,4,14,,457,"26,526",17,370,"20,752","5,592",76,"4,120",69,13,0,1,"61,600",0,"1,240",C,"94,150",18,0,9,"13,842",85,"14,115",,,2,C,11,33,C,185,539,"69,820",9,59,613,221,"3,934","5,166","1,153",10,,"32,643","237,809",0,9
IDN,12,0,6,"2,080",569,35,344,,0,352,"1,095",,0,244,"6,027","2,740",138,"4,576",144,"1,072",43,0,3,17,71,"2,904",8,0,52,598,"3,175","9,479",4,16,135,0,1,0,92,,"14,038",1,"2,154","11,966","1,856",474,"1,853",134,21,0,3,"29,821",0,"4,943",C,"1,224",26,0,C,"11,055",,"3,857",17,,1,"3,988",80,68,,237,"1,786","27,715",58,32,57,345,"1,021","2,917","2,945",0,,"12,226","68,655",1,9
IRN,,0,,0,0,0,,,0,,0,,,0,,23,0,0,,0,0,0,0,0,0,0,,0,0,11,2,0,,0,0,0,0,,0,,0,,0,0,0,0,63,,,0,0,0,0,0,0,0,,0,,0,,28,,,,,0,0,,,0,C,0,0,0,0,0,0,1,0,,23,,,0
IRQ,,0,,15,5,0,17,,0,1,64,,,0,51,155,1,0,,26,0,0,0,0,0,55,,0,0,6,2,55,,,1,0,0,,0,,189,,49,2,7,0,321,,0,1,0,543,0,0,0,0,,0,,67,,0,,,,,0,0,,,0,C,0,0,0,0,0,49,,0,,42,,,0
IRL,,10,10,"14,688","27,119",9,157,,100,"50,941","33,707",,"1,928",409,"23,612","47,955","19,176","21,443","2,071","5,864","3,834",316,249,"2,916","2,378","41,305",,0,"1,775","67,978","151,629","290,976",177,"47,805","9,694",0,746,"5,486",203,0,,"7,336","212,314","92,211","6,344",672,"15,629",105,"2,891",28,"4,034","255,129",2,567,"11,231",473,"13,478",0,249,"150,117","1,806","32,199",,,186,407,"1,843","14,992",369,"24,299","2,933",C,"5,224","1,475","24,182","86,715","35,276","123,303","5,212",1,,"494,820","684,464",212,1
IMN,,0,,C,152,0,,,0,33,46,,29,14,483,33,4,189,12,44,0,0,0,C,2,57,,0,2,22,253,438,23,1,114,0,1,0,3,,926,9,210,209,5,3,36,,2,0,0,"1,623",0,96,145,5,,0,,185,C,342,,,1,C,C,0,1,35,0,"1,527",0,9,"1,906",31,66,218,0,0,,"3,014","6,441",2,0
ISR,,0,0,"1,202",540,188,,,0,680,602,,38,142,"2,334","1,113",51,191,20,280,4,0,2,C,11,910,,0,18,74,"2,927","6,969",78,23,"1,200",0,13,0,3,,"3,659",,"2,236","5,907",44,51,653,,5,0,4,"7,524",0,2,38,7,9,0,,"1,226",C,"2,121",,,4,C,14,20,0,78,0,C,561,37,20,287,"1,305","2,762",29,0,,"5,806","94,555",1,0
ITA,102,0,11,"5,525","13,487",0,258,,0,"22,622","1,923",,80,278,"10,194","49,912",220,"1,069",282,"2,332",482,0,4,586,223,"9,644",12,5,42,"5,635","241,352","149,409",21,"13,194",711,0,114,4,0,15,"142,558",700,,"87,588",910,88,"3,189",1,524,2,78,"202,702",4,"1,050","2,647",17,4,0,7,"23,834",718,"14,944",,,7,,598,"23,759",158,61,"1,418",C,"1,297","1,287","1,615","157,623","6,595","13,202",129,6,1,"53,428","147,658",4,4
JAM,,0,21,C,22,0,,,0,1,104,,,0,77,64,5,0,,33,0,0,11,0,0,149,,0,0,6,13,146,,0,2,0,0,,0,,320,,51,61,1,0,0,,,0,0,935,0,0,C,0,,0,,274,,0,,,13,,C,0,,,4,C,0,0,,C,11,75,,0,,45,,,0
JPN,6,1,57,"52,863","4,009",10,217,,0,"6,153","10,719",36,17,101,"86,329","254,063","2,665","71,941","1,408","16,510","1,072",13,53,74,38,"18,216",5,31,56,"5,418","111,966","54,661",5,40,"3,598",0,13,0,50,107,"141,244","2,562","18,363",,"14,773","3,728","29,248",15,18,3,1,"178,186",0,"5,677",164,39,50,2,27,"66,082","7,405","118,615",,,4,267,60,"1,710",15,103,"17,334","156,188",164,308,890,"11,308","25,727","51,026","4,125",0,,"167,009","1,281,840",331,2
JEY,,0,0,964,"1,470",0,3,,0,"1,362","1,174",,17,18,"4,155",777,62,"5,831",38,555,2,0,1,231,61,"2,514",,0,25,"1,588","11,077","16,189",9,67,"1,649",0,86,10,0,,"15,293",47,"4,516","29,310",,97,"1,840",36,21,1,4,"44,890",0,442,"4,015",27,,0,,"8,941",,"4,861",,,39,,187,278,34,803,0,"1,194",13,25,"2,598","3,276","4,968","16,970",1,0,,"51,101","129,993",0,0
JOR,,0,,6,20,0,983,,0,0,19,,0,0,38,27,1,0,,23,0,0,0,C,0,146,32,0,0,36,28,291,,,0,0,0,,0,0,445,,61,21,27,0,2,3,,33,0,810,0,0,0,0,,0,,252,,0,,,,C,C,0,,C,119,C,0,0,0,0,4,88,1,0,,360,"2,895",,991
KAZ,1,0,,38,303,0,15,,0,18,255,,,26,205,121,36,80,0,79,3,0,0,25,59,320,,0,C,133,327,"2,144",,2,15,0,30,0,0,,"1,399",,398,181,13,,62,,13,0,5,"3,876",0,0,C,3,5,0,,"1,637",,0,,,51,C,56,8,,549,15,12,6,18,,15,96,588,,0,,602,"5,420",,0
KEN,,0,0,C,25,0,,,0,1,214,,,0,86,205,1,124,,38,0,0,0,C,0,219,0,0,0,C,73,502,,,60,0,1,,4,,621,,90,53,8,0,2,,0,0,0,"2,347",0,0,C,428,,0,C,266,,138,,,,,C,0,,3,0,C,0,0,129,1,8,144,,0,,329,"2,872",,0
KIR,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
PRK,,0,,0,0,0,,,0,,7,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,C,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,49,,0,0,,0,0,0,,0,,4,,,0
KOR,7,0,7,"17,200",864,36,574,,0,"1,415","4,709",,682,7,"27,495","7,222",123,"28,945","2,552","5,472",42,0,7,28,96,"5,333",,0,2,"1,322","14,956","14,522",3,18,"13,138",0,88,0,6,59,"35,950",240,"1,965","26,327","15,087","1,075",,93,1,0,13,"60,620",0,"5,609",15,83,20,8,26,"21,448",C,"25,705",,,0,384,16,133,0,64,"6,827","79,214",410,105,197,973,"7,471","17,646","1,046",2,,"43,436","301,505",1,5
KWT,2,0,,C,17,0,396,,0,1,153,,,0,34,68,1,27,,17,10,0,0,C,0,57,15,0,0,9,63,198,,,36,0,1,,0,1,958,,26,488,3,24,195,,,9,0,809,0,264,C,1,,0,,301,,300,,,2,C,C,9,,28,530,C,0,0,0,C,83,304,,0,,"1,214",,,27
KGZ,,0,,C,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,3,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,80,0,0,0,0,,0,,6,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
LAO,,0,,C,0,0,,,0,0,0,,,0,,0,0,0,,0,0,0,0,0,0,16,,0,0,,,0,,,0,0,0,,0,,5,,0,0,0,0,43,,,0,0,43,0,0,0,0,,0,,1,,0,,,,,0,0,,,0,C,0,0,,0,0,3,"2,391",0,,6,,,0
LVA,,0,,C,688,0,,,0,566,0,,,93,4,0,0,0,,0,0,0,0,27,10,18,,0,454,37,674,"3,134",,23,0,0,0,,0,,C,4,286,21,0,0,12,,,0,855,338,0,0,C,0,,0,,190,,86,,,,,21,91,,16,0,,131,111,,34,1,176,,0,1,10,204,,0
LBN,,0,,21,4,0,,,0,1,2,,0,0,88,156,1,0,,0,0,0,0,C,0,56,3,0,0,9,12,2,,,5,0,0,,0,,97,,22,11,0,0,0,48,,,0,519,0,0,C,0,,0,,81,,0,,,,C,0,0,C,C,203,C,0,0,,0,2,24,,0,,66,328,0,5
LSO,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,4,,0,,0,,0,,,,,0,0,,,0,,0,0,0,0,0,0,,0,,0,,,0
LBR,,0,,C,0,0,,,0,31,58,,,1,779,25,2,0,1,27,0,0,0,C,1,91,,0,C,4,255,155,,0,0,0,6,,0,,663,,47,221,1,3,28,0,0,0,0,"1,098",0,0,C,2,,0,,214,,"1,587",,,0,,1,0,C,41,6,C,0,0,0,25,71,126,0,0,,105,"14,911",2,0
LBY,,0,,C,0,0,28,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,C,0,,0,,0,,0,,,,,0,51,,,0,,0,0,0,0,0,0,,0,,1,,,0
LIE,,0,,C,"2,576",0,,,0,12,0,,13,1,2,893,165,75,,0,0,0,0,1,300,C,,0,2,23,135,"1,995",12,,41,0,5,,0,,123,,44,47,0,0,20,,0,0,0,"2,583",0,0,C,0,,0,,131,,34,,,,,C,0,C,,0,48,7,8,0,39,320,,101,0,,23,,0,0
LTU,,0,,9,"1,124",0,,,0,860,29,,,160,14,2,0,4,0,5,0,0,0,41,0,29,,0,634,218,"1,091","4,913",,17,802,0,20,0,0,,152,92,317,48,0,4,88,,"1,574",1,,565,0,0,C,37,0,0,,292,,251,,,,C,32,77,,4,0,C,130,166,,48,137,201,,0,,129,"1,039",,1
LUX,43,96,4,"12,227","70,815",197,389,,0,"309,233","13,296",,"4,088","1,000","13,099","24,255","55,691","103,839","3,027","13,450","5,305",476,625,"2,701","7,493","48,090",1,0,"1,919","58,709","515,248","830,825",286,"8,966","16,637",0,"4,413","6,192","1,217",,"178,827","12,451","841,195","134,690","34,836",446,"39,051",146,"1,954",93,"4,208",,0,"4,788","6,235","1,338",880,15,223,"147,415",C,"34,983",1,,167,"1,455","6,778","25,039","1,284","16,537","8,064","32,257","4,003","1,429","14,735","246,623","138,117","294,113","11,549",64,25,"208,635","191,693",900,2
MKD,10,0,,0,153,0,,,0,6,0,,,107,,0,0,0,,0,0,0,,C,0,153,,0,10,77,14,375,,5,0,0,5,,0,,123,,167,23,0,0,0,,29,0,15,547,,0,0,0,,0,,13,,3,,,,,33,0,12,3,0,C,10,102,,55,0,15,1,0,,638,,,0
MDG,,0,,0,0,0,,,0,,0,,,0,,15,0,0,,0,0,0,0,0,0,0,,0,0,,91,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,1,0,0,0,11,,0,,0,,0,,,,,0,0,,,0,,0,0,0,0,0,0,,0,,0,,,0
MWI,,0,,0,0,0,,,0,,10,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,3,0,0,0,16,,0,,90,,0,,,,,0,0,,,0,C,0,0,11,0,0,8,,0,,0,,,0
