,ALB,ARG,ABW,AUS,AUT,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN,PSE
COM,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
COD,,0,,0,0,,,0,2,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,0,0,0,,16,0,0,,0,,0,0,,0,0,,0,0,,,0,0,6,0,0,0,39,,,1,,0,,,,0,,0,0,,,0,,0,0,21,C,0,0,,0,,11,0,0,,0
COG,,0,,C,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,2,,0,1,16,1,0,,0,0,0,,0,,36,0,,3,0,1,0,0,,,0,0,40,0,0,0,0,,,2,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,130,,,0
COK,,0,,0,0,,,0,,0,,1,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,,0,0,1,0,0,,0,0,,,0,0,0,0,0,C,0,,,0,,0,,,,0,,0,0,,,0,C,0,0,,C,2,,,0,,0,0,,,0
CRI,,0,,C,66,,,0,2,150,,2,0,68,3,20,2,,35,15,,38,1,0,226,,0,38,32,536,0,,10,0,0,,0,,350,1,5,129,37,11,0,5,,1,0,0,"1,661",0,0,C,0,,,443,,7,,,237,0,,6,16,,4,5,C,0,0,,C,5,116,0,0,,62,"2,207",2,,0
CIV,,0,,C,32,,,0,1,118,,,0,108,23,0,286,,28,0,,0,-3,0,223,,0,C,304,449,0,,95,0,7,,0,,405,0,,125,45,15,0,2,,1,5,0,"1,636",0,0,0,240,,,379,,142,,,0,0,,C,0,C,C,0,C,0,1,,C,52,149,,0,,135,"1,665",,,0
HRV,1,0,,C,757,5,,0,42,8,,0,355,113,95,8,0,,32,0,,0,2,36,176,,10,167,260,"1,516",0,4,31,0,244,0,0,,501,0,1,"1,039",123,18,0,5,,68,1,204,"2,066",0,0,20,0,,0,493,,60,,,0,0,C,128,11,99,10,31,C,90,108,0,C,7,222,,1,,224,"2,283",0,,0
CUB,,0,,C,0,,,0,,0,,,0,0,51,0,0,,86,0,,0,0,0,0,,0,,32,0,0,,12,0,0,0,0,,0,0,,0,5,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,C,0,0,,C,0,0,,0,,0,0,,,0
CUW,,0,,0,91,,,0,583,63,,9,102,"1,562","16,018",0,5,8,0,0,,0,11,61,238,,0,66,"5,165","1,645",0,,23,0,18,,0,1,"1,385",2,,239,"2,405",8,14,11,,1,0,0,"2,110",0,2,"1,193",57,29,,828,,942,,,1,3,,8,10,C,3,0,C,11,21,,497,98,"3,485",,0,,173,"72,737",,,0
CYP,,0,1,44,64,,,0,6,0,,0,0,95,601,1,20,0,27,0,,324,,107,62,3,14,C,975,287,0,459,"1,793",0,9,0,2,,510,407,6,246,211,20,0,24,,34,3,32,"3,602",0,2,C,2,,0,134,,511,,,0,0,C,144,7,1,"2,318",0,C,19,11,1,C,75,"1,785",151,0,66,"3,046","2,116",,,0
CZE,103,0,0,119,"3,575",21,44,0,"17,314",55,,,532,558,44,2,11,,66,0,,0,7,,416,1,43,194,"3,623","6,065",0,25,342,0,402,0,0,,"2,068",0,13,967,"1,030",588,12,35,,43,2,51,"4,610",1,0,C,0,,0,"2,021",,659,,,,0,,839,29,11,,58,C,"1,928",249,2,324,162,836,,0,,"2,482","4,765",0,,0
DNK,,0,2,"3,457","2,778",41,61,0,"2,616","1,527",,386,3,"7,062","3,974",65,713,102,"1,017",31,,34,50,91,,,73,C,"20,351","52,509",3,31,"1,529",0,23,38,0,4,"18,623",40,34,"3,642","19,615","2,221",188,"1,123",,29,0,10,"46,816",0,14,"5,951",177,37,3,"14,616",55,"23,199",,,15,3,C,74,372,1,11,"1,566",C,28,213,126,"2,397","30,714","8,620",10,0,,"26,328","110,150",128,120,1
DJI,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
DMA,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,1,0,0,,0,0,,0,0,,,0,0,4,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,29,0,,,0
DOM,,0,,C,92,,,0,2,106,,36,0,220,60,209,0,,71,0,6,36,0,0,500,,0,98,38,"1,054",0,,32,0,1,,0,,770,0,,205,203,19,0,5,,1,0,1,"3,210",0,0,C,0,,,802,,15,,,139,0,,C,10,C,0,92,C,0,0,,C,7,213,,0,,120,"4,013",0,,0
ECU,,0,,C,59,1,,0,2,128,,1,0,127,105,6,6,,80,0,3,38,0,0,349,,0,23,86,895,0,,72,0,0,,0,,846,0,,120,113,9,0,7,,,3,0,"3,950",0,0,0,0,,,816,,0,,,32,3,,C,6,,1,189,C,0,0,,C,0,175,,1,,538,"3,497",5,,0
EGY,,0,,90,44,418,4,0,4,168,,0,0,262,539,0,29,,133,0,,42,1,10,314,,0,134,86,798,0,,196,0,2,,0,1,"1,831",3,,236,167,76,0,29,107,1,9,0,"5,328",0,0,C,111,,,"1,155",,345,5,,10,0,C,C,0,,,"2,325",C,0,1,195,C,92,194,,0,,"6,223","8,093",0,,9
SLV,,0,,C,20,,,0,2,44,,0,0,75,40,13,0,,41,25,1,41,0,0,241,,0,19,3,66,0,,11,0,0,,0,,283,0,,53,37,11,0,0,,,0,0,"1,355",0,0,0,0,,,349,,0,,,43,0,,0,0,C,,66,C,0,0,,C,21,70,,0,,1,"2,171",0,,0
GNQ,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,24,0,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
ERI,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
EST,,0,,C,71,,,0,16,0,,0,0,4,43,14,0,,0,0,,0,0,9,23,,,530,243,225,0,,17,0,1,0,0,,34,1,,30,1,,0,0,,197,0,221,268,0,0,484,0,,,7,,58,,,,0,,12,0,,,0,,32,43,8,C,389,26,,0,,31,214,,,0
ETH,,0,,C,2,,,0,0,25,,,0,0,0,0,C,,7,0,,0,0,0,36,0,0,C,1,113,0,,17,0,0,,0,,92,0,,11,4,1,0,1,,,0,0,469,0,0,0,12,,,43,,0,,,,0,,0,0,,,0,C,0,0,,C,5,21,,0,,-3,236,,,0
FLK,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,0,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
