,ALB,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,SLV,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,PSE
UKR,,0,,13,93,0,11,,0,4,119,,0,0,230,"1,532",0,8,,95,0,,0,161,0,568,,0,9,C,139,564,,0,51,,25,0,0,,"1,058",0,2,223,168,19,0,0,,9,0,3,"3,837",0,0,0,1,,0,979,,6,,,0,,C,7,9,C,202,C,2,0,,C,44,182,,1,,298,"7,620",0,0
ARE,1,0,1,"1,784",313,86,"5,805",32,0,243,"1,863",,5,4,"1,086","3,126",25,"4,473",499,"3,857",32,,89,44,1,370,69,0,1,64,955,"3,158",2,0,395,,20,0,20,555,"4,952",49,,423,"1,879",342,15,844,"2,324",0,121,2,"9,366",0,590,172,150,6,0,"1,064",,500,102,,1,55,2,82,C,25,"9,920","2,817",55,6,16,C,658,"7,622","1,985",7,,"4,128","19,167",0,71
GBR,46,39,30,"67,645","14,665",172,"1,726",336,0,"27,763","42,556",15,518,255,"87,458","80,954","4,830","79,093","2,442","15,927",669,83,236,467,696,"28,510",61,1,284,"18,289","239,266","224,839","5,497","9,185","38,327",,211,316,35,154,"656,964","21,480","11,218","60,938","170,246","45,386","3,647","31,099",762,134,355,54,"367,192",1,"4,603","9,341","11,648",239,18,"117,747","4,055","82,757",9,,93,395,345,"5,733",153,"4,235","13,549","37,836","1,110",791,"55,246","32,660","35,558","77,010","1,231",32,28,,"1,359,579",244,5
USA,29,"28,484",500,"333,647","30,794","9,206","5,429",503,42,"44,632","345,716","1,949","16,422","1,148","988,562","1,640,629","39,858","179,420","6,884","132,022","25,015","1,501","7,988","1,698","3,179","143,401",137,161,877,"65,447","298,069","423,972",180,"1,300","48,054",95,"1,534","2,414","4,475",365,"954,099","2,428","71,179","130,317","1,515,981","64,789","30,015","207,054","1,670",331,"1,171",155,"1,107,336",263,"27,827","2,230","6,969","21,462",45,"492,766",C,"384,790",73,457,"9,493","6,251",C,"12,339",267,"3,807","53,349","332,969","2,339","2,280","17,387","54,150","173,296","302,112","7,150",493,29,"1,037,504",,"3,376",23
URY,,18,,16,80,4,10,,0,11,118,,80,0,328,7,112,9,,42,0,3,24,C,0,307,,0,0,139,45,"1,551",,0,15,,0,,0,0,610,0,,150,517,20,0,24,,0,0,0,"1,559",0,0,C,0,,,558,,8,,,11,C,C,0,,,122,8,0,0,,C,14,329,1,0,,294,"4,816",,0
PUQ,,0,,0,0,0,,,0,,0,,0,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,,,0
VIR,,0,,0,0,0,,,0,,129,,7,0,,145,0,103,,16,0,,0,0,0,0,,5,0,,0,0,,,1,,0,,0,,23,32,1,0,186,,2,10,,,0,0,620,0,24,C,0,,,0,,6,,,12,,0,0,,,0,C,0,0,,C,0,90,21,0,,27,,,0
UZB,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,1,,,0,0,44,0,0,0,1,,,0,,0,,,,,0,0,,C,0,,0,0,,C,0,0,,0,,0,0,,0
VUT,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
VAT,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,6,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
VEN,,2,,C,18,15,,,0,2,136,,2,1,59,297,2,61,,20,0,3,17,1,0,234,,9,0,24,252,224,,0,34,,1,,0,,488,3,1,734,43,14,0,10,,1,18,0,"1,846",0,0,C,22,,,240,,407,,,105,C,C,22,0,18,49,C,1,0,0,C,0,"1,091",,3,,159,"2,801",129,0
VNM,,0,0,C,17,0,,5,0,14,993,,,0,188,"1,288",0,793,,24,0,,0,0,0,112,,0,0,C,89,149,,,"1,019",,0,,0,82,546,0,1,59,804,215,0,"3,650",,2,0,0,"1,691",0,10,0,73,,,268,,482,,,,C,C,0,,,0,C,0,0,,C,111,74,389,0,,"1,074","3,230",,0
VGB,,0,2,727,322,0,33,,0,409,"1,281",,517,0,830,"7,860",881,"35,279","9,205","36,978",1,1,349,48,34,560,,0,6,444,"2,506","5,851",9,21,"1,334",,7,0,2,"3,608","4,526",262,45,757,"4,690",99,169,"2,982",,6,2,5,"19,815",0,747,"3,027",443,,,"2,301",,455,8,,36,374,C,516,0,423,165,"16,101",29,2,54,669,276,85,"1,093",0,,"3,044","64,912",8,0
WLF,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,3,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,,,0
PSE,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,0,0,0,,0,0,,0,0,,,0,0,78,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,
ESH,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,0
YEM,,0,,0,0,0,3,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,1,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,C,0,0,,C,0,1,0,0,,0,0,,0
ZMB,,0,,C,24,0,,,0,1,11,,,0,26,14,0,9,,15,0,,0,C,0,96,,0,0,31,23,108,,,15,,0,,0,,143,0,,39,15,100,0,1,,0,1,0,832,0,0,0,44,,,159,,0,,,,,0,0,,1,0,,0,0,14,C,2,32,,0,,305,501,,0
ZWE,,0,,C,0,0,,,0,,0,,,0,,10,0,0,,0,0,,0,C,0,8,,0,0,,0,6,0,0,0,,0,,0,,145,0,,0,0,,0,0,,,0,0,29,0,0,0,56,,,5,,0,,,,,0,0,,,0,,0,0,3,C,0,0,,0,,3,134,,0
