,ALB,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,SLV,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,PSE
TCD,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
CHL,,130,0,504,559,87,113,10,0,374,918,,96,2,"4,322",648,,553,63,196,202,10,35,9,1,745,,0,1,139,"2,228","4,553",0,15,58,,6,0,0,0,"3,207",10,117,667,"3,867",17,100,613,,16,8,2,"8,018",0,1,C,3,51,,"2,379",,"1,282",,,281,C,16,39,C,22,675,C,55,13,19,202,525,"3,518",112,0,,"4,045","33,778",205,9
HKG,,1,12,C,511,15,"1,098",20,0,612,"9,772",,14,0,"10,305","19,878",88,,"10,608","154,210",3,1,63,5,18,"2,508",0,0,3,319,"6,076","8,042",8,1,592,,71,0,5,198,"16,811",793,853,621,"18,862",560,64,"9,840",12,6,5,0,"38,832",0,"4,917",C,"8,653",8,117,"13,935",804,"7,936",8,,6,729,2,425,C,35,"1,812","33,019",7,33,222,412,"6,589","7,037","3,026",34,,"45,671","170,544",5,13
MAC,,0,1,C,0,0,,,0,,139,,0,0,,137,0,"4,961",,"2,505",0,,0,0,0,8,,0,0,2,13,46,,,0,,0,,0,0,64,0,,0,30,3,0,142,,,0,0,107,0,56,0,0,,,3,,0,,,,10,0,270,,,0,621,0,0,,C,36,42,466,0,,263,21,,0
CHN,,0,3,"13,170",544,11,64,68,3,560,"11,498",,8,9,"24,615","57,202",276,"337,028","32,513",,5,1,71,10,16,"2,449",39,0,23,845,"11,170","10,542",0,3,"1,273",,1,9,536,372,"20,823",120,19,735,"22,982","12,150",582,"14,822",24,19,10,3,"54,815",0,"2,295",C,"1,684",119,1,"10,841",C,"12,064",,,25,567,1,732,C,28,"12,357","109,532",33,98,"1,105",187,"5,286","6,857","5,205",9,,"57,967","159,127",0,22
CXQ,,0,,0,0,0,,,0,,0,,,0,,0,9,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,,,0,,0,,,0
CCQ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,,,0,,81,,,0
COL,,1,,186,163,195,44,4,0,62,445,,24,1,"1,456",744,"1,185",24,0,202,,17,16,1,1,"1,200",,4,0,172,475,"4,004",,2,46,,5,,0,0,"4,556",17,23,479,"2,070",37,7,184,,3,0,2,"10,771",0,0,C,8,62,,"3,832",,"1,675",,,595,C,15,89,,61,651,C,0,3,,243,255,"1,412",3,0,,"2,613","25,850",75,0
COM,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,1,,0,,0,0,,0
COD,,0,,0,0,0,,,0,1,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,,11,,0,,0,,0,0,,0,0,,0,0,,,0,0,7,0,0,0,0,,,1,,0,,,,,0,0,,,0,,0,0,,C,0,0,19,0,,1,0,,0
COG,,0,,C,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,2,,0,0,1,14,1,,,0,,0,,0,,25,0,,3,0,,0,0,,,0,0,31,0,0,0,0,,,2,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,1,98,,0
COK,,0,,0,0,0,,,0,,0,,1,0,,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,,,0,,0,,0,,0,0,1,0,0,,0,0,,,0,0,0,0,0,C,0,,,0,,0,,,,,0,0,,,0,C,0,0,,C,0,,,0,,0,2,,0
CRI,,0,,C,41,21,,,0,1,64,,3,0,83,81,27,0,,41,0,,9,0,0,239,,367,0,45,12,423,,0,13,3,2,,0,,319,1,2,92,23,8,0,1,,1,0,0,"1,512",0,0,C,0,,,475,,6,,,200,,C,15,,3,0,C,0,0,,C,4,147,0,0,,120,"1,477",2,0
CIV,,0,,C,46,0,,,0,1,56,,,0,155,68,0,226,,31,0,,0,2,0,248,,0,0,137,373,664,,0,131,,3,,0,,436,0,,163,68,29,0,1,,2,0,0,"1,858",0,0,0,207,,,295,,92,,,,,C,0,C,1,0,C,0,2,,C,32,169,,0,,209,"1,768",,0
HRV,1,0,,C,739,0,5,,0,18,29,,0,371,126,64,8,0,2,25,0,,0,C,63,246,,0,C,144,199,"2,036",0,6,27,,132,0,0,,410,0,1,827,150,6,6,10,,57,1,191,"1,607",0,0,15,0,,0,392,,57,,,,C,217,0,80,11,42,3,66,82,0,C,5,187,,1,,158,"1,754",0,0
CUB,,0,,C,0,0,,,0,,0,,,0,,0,0,0,,59,0,,0,0,0,0,,0,0,,34,0,,,9,,0,0,0,,0,0,,0,8,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,C,0,0,,C,0,0,,0,,2,0,,0
CUW,,0,1,0,66,0,,,0,223,28,,4,0,"1,516","23,164",0,0,4,269,0,,0,4,110,141,,0,0,27,"3,554",956,,0,0,,13,,0,,947,2,,150,"1,674",6,7,9,,1,0,0,"1,540",0,1,"1,227",40,27,,574,,487,,,1,C,4,10,C,4,0,C,9,19,,341,39,"2,774",,0,,267,"36,602",0,0
CYP,,0,,35,300,0,,,0,26,58,,0,1,94,146,0,19,0,41,0,,92,,105,64,,0,16,69,"1,059",347,0,337,"1,961",,8,0,2,0,647,192,2,195,289,10,1,16,,32,3,8,"3,911",0,1,C,25,,0,165,,384,,,,,81,4,8,"1,827",0,C,26,23,1,C,166,"1,718",73,0,66,"2,115","1,830",0,0
CZE,99,0,0,139,"2,810",0,22,13,0,"16,912",67,,0,497,588,37,2,9,1,47,0,,0,9,,419,8,0,29,149,"2,523","5,507",4,19,486,,402,0,0,0,"2,203",0,11,872,934,555,11,36,,70,2,45,"5,536",0,0,C,0,,0,"2,127",,84,,,,,840,41,2,1,114,C,"1,632",280,4,382,179,782,,0,,"3,115","4,095",0,0
DNK,,0,1,"2,852","2,467",0,43,73,0,"2,192",684,17,7,8,"6,894","2,446",35,543,134,697,48,,12,66,85,,,0,73,"21,659","16,107","56,142",3,30,"4,149",,18,28,0,0,"12,585",34,39,"3,899","20,005","1,941",101,"1,027",,34,1,7,"43,084",0,15,"6,095",172,41,3,"12,840",57,"19,110",,,1,C,38,352,1,11,"1,941",C,125,130,91,"1,964","18,749","7,048",11,3,,"23,379","83,604",160,1
DJI,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,C,0,0,,C,0,0,,0,,0,0,,0
DMA,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,0,0,0,,0,0,,0,0,,,0,0,2,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,22,0,,0
DOM,,0,,C,72,14,,,0,3,85,,31,0,241,54,100,0,,94,0,6,5,0,0,564,,0,0,126,32,"1,146",,,32,,0,,0,,879,0,,238,183,17,0,7,,1,0,0,"3,124",0,0,C,0,,,979,,11,,,138,,C,0,C,0,77,C,0,0,,C,12,274,,0,,286,"4,867",,0
ECU,,0,,21,64,0,1,,0,3,54,,3,1,147,161,2,6,,79,0,3,1,1,0,379,,0,0,31,51,764,0,,85,,0,,0,0,796,0,,113,144,9,0,2,,2,3,0,"3,925",0,0,0,0,,,"1,060",,4,,,148,,C,6,,2,54,C,0,0,,C,5,189,,0,,"1,444","3,822",5,0
EGY,1,0,,143,56,0,441,4,0,4,77,,0,0,273,"1,157",0,16,,136,0,,0,1,0,507,,0,0,167,137,947,0,,326,,1,,0,1,"1,746",1,,375,231,77,0,23,140,1,6,0,"4,943",0,0,C,140,,,"1,130",,414,2,,1,C,C,0,C,C,"3,917",C,0,1,178,C,101,293,0,0,,"3,891","8,302",,6
SLV,,0,,C,18,0,,,0,1,26,,0,0,99,13,12,0,,31,25,1,0,0,0,194,,,0,19,2,104,,,14,,0,,0,,190,0,,74,33,4,0,0,,0,0,0,"1,261",0,0,0,0,,,362,,0,,,49,,0,0,C,,95,C,0,0,,C,11,84,,0,,57,"1,577",0,0
GNQ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,10,0,,,0,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
ERI,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,11,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
EST,,0,,C,61,0,,,0,18,0,,1,0,4,29,0,0,,0,0,,0,0,0,34,,0,,412,182,173,,0,10,,2,0,0,0,22,1,,32,6,,0,0,,284,0,320,205,0,0,497,0,,0,24,,124,,,,,11,0,,,0,,24,32,0,C,420,23,,0,,19,123,,0
ETH,,0,,C,1,0,,,0,0,12,,,0,,0,0,12,,4,0,,0,0,0,16,,0,0,6,0,79,,,14,,0,,4,,85,0,,8,4,,0,0,,,0,0,399,0,0,0,140,,,23,,2,,,,,C,0,,,0,C,0,0,,C,6,22,,0,,14,225,,0
FLK,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,1,,0
FRO,,0,,C,3,0,,,0,4,0,,,0,,0,0,0,0,0,0,,0,0,0,599,,0,0,23,18,74,,,1,,0,19,0,,66,0,,8,,,0,1,,0,0,0,178,0,0,0,0,,,95,,205,,,,,C,0,,,0,,0,0,,C,179,26,,0,,7,"1,199",,0
FJI,,0,,C,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,0,6,,,0,,0,,0,,3,0,,0,0,,0,0,,,0,0,6,0,0,0,0,,,0,,0,,,,,0,0,,,0,C,0,0,,C,0,0,,0,,14,68,,0
FIN,,0,1,"2,551","3,711",17,20,4,0,"5,760","1,026",,10,24,"3,040",636,16,680,30,458,46,6,10,62,51,"8,499",,0,701,,"29,747","52,896",33,105,754,,2,9,0,,"19,694",661,75,"4,578","14,958","2,590",193,722,0,212,1,127,"32,380",0,34,"1,058",0,3,0,"29,117",C,"15,130",,,1,C,61,972,75,11,622,C,118,346,65,"2,892","33,413","8,605",3,0,,"16,396","52,832",27,2
FRA,72,0,14,"26,809","29,688",356,726,202,0,"131,996","9,534",88,220,393,"39,837","58,855",998,"11,762",875,"6,023",747,10,"1,310",783,"1,395","21,558",23,0,544,"17,229",,"414,424",22,"3,632","2,936",23,195,430,22,2,"184,993",297,"4,970","171,721","258,069","5,243","3,737","23,457",19,584,336,172,"423,596",13,446,"3,474",277,168,1,"192,431","2,053","55,802",,,31,177,"1,342","14,681",207,426,"7,188",C,"1,442","2,249","1,041","69,381","17,012","74,104",725,8,,"176,736","556,593",337,12
TFQ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,,,0,,0,,,0
PYF,,0,,0,2,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,18,,0,0,,130,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
NCL,,0,,C,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,73,0,,,0,,0,,0,,0,232,,0,0,,0,0,,,0,0,0,0,0,0,0,,1,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
GAB,,0,,C,7,0,,,0,2,0,,,0,34,1,0,0,,14,0,,0,C,0,101,,0,0,8,175,45,,,48,,0,,0,,89,0,,22,24,1,0,0,,1,0,0,656,0,0,0,1,,,61,,0,,,0,,C,0,,0,42,,0,1,,C,1,38,,0,,9,497,,0
GMB,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,14,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
GEO,3,0,,C,30,0,,,0,0,4,,,0,61,49,0,0,,3,0,,0,C,1,134,,0,1,1,14,127,,,7,,0,,0,,49,10,4,57,1,8,6,6,,7,0,13,965,0,0,0,1,,1,87,,0,,,,,C,0,,1,22,C,0,0,,C,15,40,9,0,,150,533,,0
DEU,117,60,16,"30,152","51,669",127,538,534,0,"43,021","5,346",145,221,389,"31,757","46,896","5,221","17,249",943,"10,583",398,104,86,238,894,"54,573",,0,607,"21,567","186,620",,9,"1,889","6,180",,568,217,1,307,"124,445",394,"5,365","77,313","121,766","11,700","2,277","7,759",22,340,63,516,"356,187",51,550,"20,075",69,179,5,"227,829",C,"65,233",,,37,52,962,"10,337",249,"2,490","5,664",C,"1,382","1,663",552,"28,142","25,010","78,684",414,33,,"146,754","398,767",77,14
GHA,,0,,14,19,0,2,,0,1,41,,,0,5,60,0,23,,22,0,,0,C,0,178,8,0,0,60,81,303,,,19,,0,,0,,477,2,,40,295,23,0,2,,0,3,0,"2,861",0,0,C,182,,,653,,19,,,1,C,C,0,,0,78,C,0,0,160,C,3,88,,0,,543,"2,855",,0
GIB,,0,,C,1,0,,,0,0,3,,578,0,,8,0,0,,0,0,,0,0,0,1,,0,0,13,76,32,,,15,,0,,0,,8,10,,69,0,,0,0,,,0,0,18,0,0,663,0,,,7,,29,,,,,0,0,,1,0,C,0,0,1,C,10,61,,0,,459,82,,0
GRC,18,0,1,142,325,0,14,5,0,577,122,,0,27,531,"2,067",1,0,,92,0,0,0,142,44,122,,0,4,141,"4,051","5,015",0,,19,,62,0,0,0,"1,440",0,5,"4,248",452,565,0,171,,15,1,2,"7,130",0,1,C,0,,0,961,,398,,,0,,150,566,17,16,99,C,1,51,48,"1,843",199,243,7,4,,"2,895","8,489",0,0
GRL,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,59,,0,0,0,0,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,C,0,,,0,,1,,,,,0,0,,,0,,0,0,,C,0,0,,0,,11,182,,0
GRD,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,1,,,0,,0,,0,,15,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,1,,C,0,0,,0,,0,44,,0
GLP,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,,,0,,,,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,0
GUM,,0,,0,0,0,5,,0,,0,,0,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,25,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,4,,,0,,0,,,0
GTM,,0,,1,19,447,,,0,0,16,,0,0,45,3,48,0,,24,13,4,0,0,0,46,,0,0,3,0,236,,,4,,0,,0,,109,0,,42,17,4,0,2,,,0,0,454,0,0,0,0,,,97,,0,,,208,,C,0,,C,1,C,0,0,,C,2,73,,0,,57,552,,0
GGY,,0,2,387,323,15,7,,0,323,556,,61,2,"2,090",796,21,"1,362",39,1,13,,0,9,15,"3,696",,0,2,"2,271","3,558","3,678",5,7,,,6,40,0,59,"4,204","1,005",12,716,"3,136",222,1,939,9,11,1,1,"14,602",0,22,242,95,,,"6,174",,"1,566",,,3,,30,57,61,471,0,C,123,2,"3,114",347,"1,298","15,669",18,0,,"15,875","43,249",16,0
GUF,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,,,0,,,,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,0
GIN,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,45,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,7,0,,0
GNB,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,10,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
GUY,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,1,,0,,0,,0,0,,0,0,,0,0,,,0,0,10,0,0,0,0,,,1,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
HTI,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,2,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
HND,,0,,C,3,15,,,0,0,4,,0,0,64,2,5,0,,14,0,5,0,0,0,62,,20,0,10,7,106,,,0,,0,,0,,77,0,,23,16,3,0,0,,,0,0,595,0,0,0,0,8,,62,,194,,,9,,C,0,,,0,,0,0,,C,6,360,,0,,37,626,,0
HUN,2,0,2,271,"1,262",0,21,,0,370,133,,9,492,"1,541","2,049",4,29,3,564,1,0,0,C,535,633,,0,29,C,"1,119","4,237",,0,380,,,0,0,0,"2,917",0,1,531,"1,236",0,28,131,,32,0,106,"6,639",0,0,25,0,,0,"2,739",,170,,,0,,"1,222",7,31,8,521,916,147,198,19,C,265,704,3,0,,"2,241","11,776",0,5
ISL,,0,0,C,111,0,,,0,101,3,,3,1,25,208,0,0,1,2,0,,25,C,0,468,,0,11,469,253,941,,0,0,,15,,0,,325,0,,118,44,,2,2,,10,0,30,"1,713",0,0,C,7,,,167,,433,,,,,C,33,C,,0,C,14,33,,314,965,63,9,0,,"1,312","2,111",,0
IND,5,0,1,"6,887",350,0,"1,499",107,0,351,"2,506",,4,0,"17,531","12,376",93,"5,601",22,983,1,,9,35,8,"2,865",1,0,0,263,"7,091","4,981",0,6,887,,1,0,,600,"17,389",201,11,314,"19,352","4,563",51,"3,060",19,9,3,1,"53,579",0,299,C,"95,676",5,0,"9,955",,"9,875",,,5,493,8,43,8,32,"2,198","54,576",14,51,631,C,"2,540","3,916",292,9,,"30,004","176,016",0,6
IDN,5,0,2,"1,565",441,34,324,5,0,199,"4,056",,0,177,"5,677","2,149",91,"3,833",12,999,2,0,2,3,43,"2,323",12,0,28,576,"1,432","7,299",0,,122,,6,0,62,,"10,274",313,,"1,320","10,134","2,111",283,"1,428",122,40,0,6,"29,384",0,"1,895",C,866,22,,"7,892",,"4,690",39,,,"2,767",66,130,,63,"2,457","25,495",38,18,182,141,"1,036","2,415","1,274",3,,"10,667","66,617",,5
IRN,,0,,0,0,0,,,0,,0,,,0,,9,0,0,1,0,0,,0,28,0,0,,0,0,,44,0,,0,0,,0,,0,0,0,0,,0,0,,0,1,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,C,0,6,,C,42,1,97,0,,2,0,,0
IRQ,,0,,C,10,0,16,,0,1,0,,,0,45,128,0,0,,29,0,,0,0,0,80,,0,0,14,1,62,,,1,,0,,0,,166,0,,46,19,6,0,316,,0,1,0,722,0,0,0,0,,,72,,0,,,,,C,0,,,0,C,0,0,,C,2,50,,4,,27,"1,910",,0
IRL,,1,8,"8,517","17,707",1,148,17,0,"42,713","9,955",,450,358,"16,782","33,179","11,926","15,319","1,002","5,790",811,473,642,"2,217","1,749","26,829",,0,670,"50,506","124,152","181,489",107,"3,293","8,467",,418,"3,318",5,0,,"3,926","3,123","145,525","65,680","5,366",481,"7,679",102,"1,482",39,"2,044","188,953",0,378,"8,988",396,"4,146",0,"92,453","1,070","20,532",,,297,136,778,"12,030",112,"21,548","1,213","11,640","2,921",974,"22,136","55,768","18,229","81,312","3,514",3,,"245,716","502,658",84,2
IMN,,0,,22,124,0,,,0,59,119,,51,13,455,18,4,129,2,14,0,,0,3,1,37,,0,1,29,238,346,1,0,39,,0,0,1,,468,,3,183,138,0,0,26,,1,0,0,"1,173",0,188,119,10,,,86,,228,,,0,C,C,7,1,64,0,"1,355",0,0,132,C,8,186,,0,,"2,720","2,643",2,0
ISR,,0,5,683,360,0,,,0,310,244,,37,42,"1,920","1,095",21,107,8,195,0,0,17,C,2,549,,0,14,19,"1,513","2,351",1,13,"1,093",,3,0,1,0,"1,968",1,,"1,030","1,907",52,15,394,,19,0,4,"4,245",0,0,31,0,0,,"1,513",C,"1,714",,,9,,7,10,0,10,0,"1,025",38,16,17,200,570,"1,354",58,2,,"3,957","64,930",2,0
ITA,47,0,7,"4,420","13,771",0,243,158,0,"23,435",970,,65,294,"8,282","27,202",341,694,115,"1,769",3,0,10,572,200,"6,906",28,0,158,"4,965","227,970","137,637",2,"9,229","1,420",,120,3,7,5,"110,868",269,387,,"54,498","3,790",93,"1,853",,584,3,59,"171,415",0,13,"2,148",13,19,0,"35,141",591,"13,950",,,4,,499,"17,527",100,63,"2,361",C,"1,060","1,367","1,274","129,386","5,614","9,425",47,1,,"46,271","115,191",4,0
JAM,,0,,C,14,0,,,0,1,31,,0,0,59,33,0,0,,19,0,0,17,0,0,108,,0,0,6,7,202,,0,22,,0,,0,,184,0,,26,26,4,0,0,,,0,0,517,0,0,C,0,,,152,,0,,,,,C,0,,,38,C,0,0,,C,4,53,,0,,96,721,,0
JPN,1,0,33,"40,538","2,597",407,204,91,0,"2,758","11,104",43,25,70,"62,038","87,301","4,643","52,723","1,155","10,130",54,8,167,19,43,"11,491",10,0,66,"4,540","148,094","34,494",3,33,"1,064",,16,10,19,62,"105,231",60,"2,589","10,434",,"1,476","3,599","21,858",4,16,3,2,"145,079",0,966,197,220,8,1,"45,815","4,551","91,844",,,36,123,11,"1,055",0,40,"31,930",C,65,159,442,"4,386","19,228","32,430","3,187",1,,"145,272","1,007,631",207,7
JEY,,0,1,"1,176","1,182",3,2,,0,"1,074",849,,27,20,"3,857","1,229",53,"4,628",26,309,0,0,2,-87,95,"1,994",,0,7,"1,555","9,227","10,471",13,38,"2,394",,66,3,0,,"11,001",141,6,"4,353","23,730",,296,"1,347",33,25,46,4,"29,831",0,544,"3,277",100,1,,"7,473",,"5,542",,,1,,96,348,26,"1,421",10,C,15,10,"1,365","2,624","1,948","19,716",1,0,,"54,802","100,868",1,0
JOR,,0,,0,8,0,926,,0,0,29,,0,0,34,12,0,0,,7,0,,0,C,0,76,26,0,0,11,1,165,1,,2,,0,,0,0,151,76,,20,7,39,0,3,8,,130,0,376,0,0,0,0,,0,87,,1,,,,C,C,0,,1,121,C,0,0,,C,3,64,,0,,158,"4,459",,"1,011"
KAZ,,0,,11,171,0,15,,0,9,110,,0,0,196,119,31,4,,52,1,0,0,C,35,406,,0,3,50,65,"1,701",,0,25,,61,0,0,,925,0,,365,163,3,,51,,13,0,0,"3,415",0,0,C,0,5,0,685,,3,,,,C,29,0,,121,191,C,9,0,,C,28,389,2,1,,313,"4,148",,0
KEN,,0,0,11,23,0,,,0,1,17,,,0,78,123,0,50,,25,0,,11,C,0,179,0,0,1,112,35,403,,,53,,0,,0,0,443,0,,79,93,124,0,1,,1,0,0,"1,706",0,0,C,229,,,261,,155,,,,,C,0,,1,0,C,0,0,154,C,22,99,0,0,,145,"2,011",,0
KIR,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
PRK,,0,,0,0,5,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,1,,0,0,,,0,,0,0,,C,0,0,,0,,-2,0,,0
KOR,,0,5,"12,261",520,0,541,25,0,751,"20,532",,"1,288",24,"18,222","6,138",242,"22,868",290,"5,652",16,,8,16,12,"2,838",,0,4,954,"10,511","7,886",3,15,617,,43,0,5,28,"20,799",384,288,623,"22,025","1,980","3,049",,68,3,0,3,"41,434",0,"1,062",20,9,14,7,"15,420",118,"18,459",,,6,369,8,77,0,19,"6,131","48,446",120,70,31,424,"4,505","12,392","1,022",1,,"33,042","213,376",1,3
KWT,,0,0,C,1,0,373,,0,3,81,,,0,32,156,1,13,1,13,10,,0,C,0,67,18,0,0,11,10,231,,,50,,1,,0,0,632,5,,16,171,17,18,133,,,14,0,"1,235",0,247,C,15,,0,71,,157,,,,,C,23,,,"1,759",C,0,0,,C,0,47,21,0,,552,"3,718",,18
KGZ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,75,0,0,0,0,,,5,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,0
LAO,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,0,,6,,0,,0,,0,0,,0,0,,0,29,,,0,0,4,0,0,0,0,,,0,,0,,,,,0,0,,,0,C,0,0,,C,0,0,"2,505",0,,0,0,,0
LVA,,0,,C,599,0,,,0,333,0,,0,23,4,0,0,0,5,1,0,,0,C,15,22,,0,374,22,474,"2,290",,0,0,,0,,0,0,24,0,7,172,32,13,0,12,,,0,330,239,0,0,C,0,,0,206,,171,,,,,C,35,,7,129,,69,102,,C,228,164,,0,1,24,244,1,0
LBN,,0,,C,19,0,,,0,5,0,,9,0,79,396,0,4,,41,0,,0,C,0,260,19,0,0,15,51,247,,,28,,0,,0,0,437,0,,197,66,6,0,2,46,,,0,"1,834",0,9,C,0,,0,437,,0,,,,,0,0,,0,41,5,0,0,,C,24,144,,138,,123,"2,310",0,2
LSO,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,2,,,0,,0,,,,,0,0,,,0,,0,0,35,C,0,0,,0,,0,0,,0
