,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
SGP,0,1,"3,500",151,,57,3,333,"1,231",4,0,"4,018",32,49,"11,829",133,0,0,2,6,1,652,24,3,569,"2,239","2,241",,1,990,1,3,14,761,"4,849",25,23,197,"13,424",335,3,"1,008",5,,0,2,"14,244","9,187",,"2,521",,,"5,719",74,"1,944",,0,143,3,0,,0,,,8,17,C,"1,561","1,938",726,0,,"18,742","63,908",0,0
SXM,0,,0,0,,,0,0,0,,0,,67,0,0,,0,0,,0,,0,,,,,0,,0,0,0,,,0,0,0,,"2,649",0,,,0,,,,0,0,,,,,,0,,,,0,,0,0,,0,,,0,,0,0,,0,0,,663,0,,0
SVK,0,,C,"2,787",,,0,"1,023",5,1,32,,,0,0,,0,0,,1,"1,048",0,0,15,107,986,"4,074",,0,9,70,0,,0,331,0,,291,11,,0,1,,1,,27,580,,34,,,,663,0,143,,0,,78,110,,0,C,,140,,C,0,129,0,0,,371,50,0,0
SVN,0,,0,"2,174",,,0,"1,591",13,0,7,,,0,0,,0,0,0,23,19,21,0,16,369,"2,023","2,835",,1,225,34,0,,0,84,0,,"1,096",13,8,12,0,,3,,25,817,,191,,,,460,0,162,,0,,C,70,1,0,,623,,,C,46,384,0,0,,307,262,0,0
SLB,0,,48,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,10,0,0,0
SOM,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
ZAF,0,1,"1,898",601,,17,0,390,339,1,0,"3,689",30,17,101,5,0,0,1,0,2,"1,704",0,1,499,"3,470","4,463",,24,918,6,3,9,1,"6,783",143,4,686,"4,015",169,0,698,,,40,1,"19,785",2,47,"1,318",,,"5,648",0,"2,490",,1,0,5,184,,0,C,1,18,,C,"1,120","1,439",150,1,,"17,414","77,934",5,0
SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
ESP,121,1,"3,383","11,915",10,66,53,"42,913","1,321","3,715",18,"5,244",15,226,"1,144",24,5,1,81,917,464,"6,004",0,141,"6,828","254,125","186,910",2,620,427,11,8,1,2,"48,281",15,165,"24,982","30,999","1,069",747,555,0,13,19,68,"76,566",5,706,6,662,,"58,089",0,"31,644",,8,0,C,"21,534",18,0,C,"4,352",618,13,,"7,320","12,864",13,0,,"59,416","87,078",285,10
LKA,0,,C,5,,0,0,0,0,,0,16,,0,259,,0,0,0,0,,46,1,,0,39,45,,,15,0,,16,2,57,0,,19,57,,0,0,,,5,0,"1,631",0,,62,,,95,0,,22,0,0,0,0,,0,344,,0,,0,5,25,0,0,,580,"1,832",0,0
