,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
ABW,0,,0,20,,,0,0,0,,0,,22,0,0,,0,0,145,0,,0,0,,0,,4,,,1,0,,,0,3,0,,0,998,,0,0,,,,0,9,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,1,0,0,,34,637,0,0
AUS,4,2,,"2,750",8,278,716,"5,613","6,847",6,0,"19,210",227,169,"35,235",818,21,6,22,276,119,"1,696",0,5,"1,573","27,228","20,201",2,36,"1,262",3,19,18,98,"25,777",223,521,"5,154","138,895","1,896","1,060","2,343",0,0,29,44,"49,864",740,316,204,10,75,"21,796","17,600","13,341",0,15,0,5,815,,"1,034","27,176",,137,221,"2,457","6,819","22,231","1,341",0,,"99,394","323,303",11,2
AUT,0,,991,,,22,248,"16,696",857,216,75,"1,157",13,136,472,24,5,70,0,93,"2,241","1,462",0,108,"2,938","73,843","92,233",2,890,"1,604",940,2,,1,"8,875",31,102,"10,850","17,890","2,254",250,84,,11,1,134,"28,333",30,390,3,,,"25,632",0,"5,082",3,2,,887,"1,485",376,91,C,"1,567","1,018",40,"6,965",553,"34,928",106,50,,"8,515","18,070",155,0
AZE,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,9,0,,,0,0,0,,,0,28,0,0,,1,,0,95,,,,,,0,0,8,,0,,0,0,,0,,,0,,0,0,4,0,20,,81,0,0,0
BHS,0,,C,73,,,0,18,4,"1,706",0,947,387,8,15,11,0,0,209,0,0,280,0,,85,863,131,,,927,0,,,0,265,2,,"2,409","1,959",714,36,0,138,,0,0,"1,336",10,,,,,100,0,112,,6,,0,37,,7,C,,0,1,C,85,"1,957",0,0,,211,"2,009",0,0
BHR,0,,0,39,,,0,1,48,,0,5,,0,116,0,0,1,0,22,,52,80,,0,141,134,,3,75,0,,3,1,108,0,,13,54,539,0,6,"8,064",,265,0,200,50,,1,,,20,0,89,11,1,0,0,0,,0,C,,2,,C,0,93,6,6,,"1,299",0,0,0
BGD,0,,0,1,,0,0,0,0,,0,,,0,244,,0,1,,1,,94,0,,0,,1,,,0,0,,,9,0,0,,,0,31,0,0,24,,,0,40,,,,,,0,0,,,0,,0,0,,0,C,,1,,0,0,0,0,0,,28,69,0,0
BRB,0,,C,45,,,,6,93,,0,49,12,268,0,,0,6,1,0,0,19,0,,0,0,47,,,68,0,,,0,98,0,,3,23,,0,0,,,,0,200,,,,,,21,0,3,,5,,0,0,,0,C,,0,,0,0,9,25,0,,105,"1,476",2,0
BLR,0,,C,31,,0,0,0,0,,1,,,0,0,,0,0,,8,,38,0,0,0,27,37,,,0,0,0,,0,4,0,,29,26,2,0,0,,0,,2,190,,,,,,28,0,,,0,,C,0,,369,,,0,,0,0,3,0,0,,103,109,0,0
BEL,1,0,"3,640","4,993",,137,0,,"1,010",180,169,"2,582",1,0,440,9,10,7,8,341,406,"1,702",11,275,"3,805","102,599","34,517",13,150,669,182,2,1,1,"14,944",11,273,"7,301","18,047",781,299,205,28,8,51,125,"55,011",0,164,46,,,"28,214",0,"6,902",0,4,0,109,"1,828",3,57,C,241,581,13,"10,264","1,664","6,750",13,0,,"26,401","35,453",58,0
BLZ,0,,0,4,,0,0,0,0,2,0,,1,0,5,,0,0,,0,,19,0,,0,2,11,,,0,0,,,0,5,0,,1,3,,0,0,,,,0,33,3,,,,,9,0,,,0,,0,0,,87,,,0,,C,0,1,0,0,,0,151,0,0
BEN,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,2,0,,0,,0,,,0,0,,,0,0,0,,,0,23,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
BMU,0,2,"3,531",536,51,65,102,961,,"3,112",8,"10,254",4,0,"106,487",665,0,0,67,43,184,"1,639",0,12,"1,302","7,274","2,444",,20,"4,017",37,17,,16,"6,347",660,37,926,"18,818",368,4,914,94,1,6,4,"23,298",150,,63,,,"6,256",0,"4,140",0,4,,22,46,,153,"7,068",,10,"12,164",324,"1,269","4,030",18,0,,"12,205","159,545",38,0
BTN,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,10,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
BOL,0,,0,0,,,0,0,0,56,0,,3,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,40,,,,,,4,0,,,0,,0,0,,0,C,,0,,0,0,1,0,0,,104,0,0,0
BES,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,,,,,0,,0,0,0,,,0,0,0,,,0,,,0,,,,4,0,,,,,,0,,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,,0
BIH,0,,0,12,,,0,0,0,,0,,,0,0,,0,0,0,0,,78,0,1,0,0,3,,,16,0,0,,0,29,0,,-2,3,,0,5,26,,,0,282,20,,,,,7,0,2,,0,,0,0,,0,,0,47,,0,0,0,0,0,,85,29,0,0
BWA,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,0,0,,3,0,,0,0,0,,,16,0,,,0,0,0,,,0,14,0,0,,,,0,1,,,0,,,0,0,,,0,,0,0,,0,,,0,55,0,0,0,0,0,,6,45,0,0
BRA,465,2,"3,521",576,"3,942",580,2,861,"1,724",,1,"14,230","26,201","3,671",601,15,"1,252",50,45,1,13,"2,589",0,5,110,"11,446","4,721",,107,"2,039",15,6,0,1,"13,611",15,67,"2,425","38,298",495,1,"5,461",,1,14,1,"68,957",41,,1,492,,"11,928",0,"8,082",,590,0,C,"4,013",,11,C,10,82,"1,003",C,"2,479","3,164",5,91,,"78,816","235,129","1,243",28
IOQ,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,1,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,2,,0,,0,0,,0,,,0,,0,1,,0,0,,0,0,0,0
BRN,0,,0,0,,1,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,15,0,,,0,0,,,0,0,0,,,0,5,0,0,,,,0,0,0,,2,,,0,0,,,0,,0,0,,0,C,,0,,0,0,0,0,0,,0,0,0,0
BGR,0,,0,462,,,0,2,0,0,,,,0,0,,0,0,,29,,9,0,14,0,12,358,,575,99,28,0,,0,116,0,,41,8,3,0,0,,7,0,6,122,0,,,,,51,0,17,,0,0,6,0,25,0,C,0,5,,C,8,8,0,0,,69,254,0,0
BFA,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,2,0,0,0
BDI,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,0,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
KHM,0,,0,0,,,0,0,0,,0,,,0,C,,0,0,,0,0,0,0,,0,,0,,,51,0,,,0,5,0,,,0,,0,0,,,,0,107,0,,0,,,5,0,1,,0,,0,0,,0,,,0,,0,0,2,3,0,,45,0,0,0
CMR,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,107,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,1,,,7,,,0,0,,,0,,0,0,,0,,,0,,0,0,2,0,0,,57,1,0,0
CAN,13,6,"12,839","2,758",40,234,"1,890","4,335","10,831",61,5,,240,456,"7,913",216,220,8,57,235,64,"2,349",0,2,665,"32,587","20,754",33,63,"1,498",7,177,0,1,"22,042",97,214,"2,959","64,340","1,725",41,"2,236",40,,25,12,"47,392",38,80,56,71,2,"12,826",548,"16,616",,63,0,110,221,2,17,C,97,96,79,878,"8,157","25,751",36,3,,"31,605","695,213",71,5
CPV,0,,0,0,,2,24,0,105,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,63,,0,,,0,,0,0,0,0,0,,0,0,0,0
CYM,0,1,C,"6,279",200,"1,248",202,"4,702","5,429","2,098",3,"11,596",,791,"205,207","1,023",15,31,"2,284",82,144,"5,367",136,43,"9,937","42,863","26,373",38,696,"29,498",4,68,12,62,"28,981","2,347",267,"4,064","522,812","7,829",26,"6,716","6,922",5,68,6,"60,206",660,135,"1,284",436,,"23,593",0,"4,864",,88,0,C,"15,610",,164,"7,974",38,18,283,"12,047","4,342","37,379",248,65,,"102,731","366,025",114,13
CAF,0,,0,0,,,0,0,30,,0,,,0,0,,0,0,,0,,0,0,,0,0,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
TCD,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
CHL,45,,322,77,,1,101,26,289,83,3,449,136,,65,5,20,3,33,0,,322,0,,0,771,559,2,,97,1,1,2,0,879,0,,54,505,11,0,137,,,,0,"3,341",0,,,,,689,0,532,,158,0,0,0,,0,539,1,3,1,353,220,417,51,0,,"2,172","22,531",106,5
HKG,0,2,"7,330",460,5,1,319,472,"3,923",9,0,"7,384",13,31,,"3,051",10,15,28,1,20,"2,017",1,1,578,"5,994","2,850",3,8,832,7,14,65,149,"12,608",213,330,616,"18,037",499,14,"6,487",29,,1,0,"28,541","2,833",,"2,091",,213,"9,555",0,"3,155",,2,217,C,24,,3,"14,862",2,71,44,C,"3,259","2,425",524,0,,"44,392","134,817",0,0
MAC,0,,C,0,,,0,0,35,,0,,,0,287,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,3,0,,,46,,0,1,,,,0,3,,,,,,0,0,,,0,,0,123,,0,C,,0,,0,4,0,0,0,,67,56,0,0
CHN,24,0,"2,826",481,,5,3,566,"2,927",13,0,"6,090",27,135,"190,714","3,208",0,0,2,1,9,"1,474",1,3,512,"11,659","2,918",,15,"1,269",8,11,4,120,"14,725",43,48,851,"13,975",484,0,"10,882",81,0,17,1,"39,469",356,,"5,722",,,"7,745",0,"4,528",,2,0,C,36,,12,"40,339",0,123,176,166,"1,528","1,544",102,0,,"31,435","102,226",5,0
CXQ,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
CCQ,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,1,0,0,0
COL,1,,66,79,35,2,1,10,434,23,0,287,73,473,7,,,11,39,0,0,592,0,,0,410,857,,0,175,0,,,0,454,0,,208,"1,574",88,1,17,,,,0,"2,922",0,,,,,953,0,4,,808,,0,0,,0,C,1,0,,C,67,99,1,0,,"1,191","10,451",10,6
COM,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,5,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
COD,0,,0,11,,,0,24,0,,0,,,0,0,,0,0,,0,,0,0,,0,72,0,,,2,0,,,0,1,0,,,0,,0,0,,,,0,2,,,,,,0,0,,,0,,0,0,,0,,,0,1,0,0,0,0,0,,429,0,0,0
COG,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,20,0,,0,0,0,,,0,0,,,0,5,0,,0,0,,0,0,,,,0,14,,,17,,,3,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,42,149,0,0
COK,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,1,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,C,0,,0,C,,0,,0,0,,0,0,,0,6,0,0
CRI,0,,0,0,3,,0,0,0,0,0,,8,0,C,,0,,,0,,13,0,,0,9,15,,0,3,0,,,0,15,0,,2,0,,0,0,,,,0,29,,,,,,0,0,,,89,,0,0,,0,,,0,,C,0,2,0,0,,88,122,0,0
CIV,0,,C,16,,0,0,0,160,,0,4,,0,C,,8,0,,0,,46,0,,0,145,5,,0,35,0,,,0,27,0,,1,25,11,0,0,,,1,0,176,18,,122,,,27,0,,,0,,0,0,,0,C,,0,23,0,0,504,0,0,,351,181,0,0
HRV,0,,C,"1,267",,0,0,38,0,,41,2,,0,0,,0,0,,2,42,125,0,4,20,117,"1,114",,32,81,44,0,,0,298,0,,254,78,83,0,2,,4,1,10,"1,080",,3,1,,,341,0,79,,0,,C,42,7,1,C,113,78,,C,22,103,2,0,,"1,196",984,0,0
CUB,0,,0,0,,,2,4,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,1,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,6,0,0,0,,45,0,190,0
CUW,0,43,0,783,,,0,"2,811",21,,11,"1,739",7,0,0,2,0,0,,37,285,177,,,,"45,058","2,575",,103,45,0,,,0,867,0,19,,"13,821",,,0,,,,0,0,1,,,1,,"2,270",,"1,010",,0,,0,170,1,0,C,,0,,973,65,"3,116",0,0,,0,"83,309",9,0
CYP,0,,C,500,,68,0,337,5,,2,124,30,0,618,,0,0,,,103,92,0,10,184,556,"1,879",,"3,112",376,1,0,,0,112,0,,94,52,872,0,6,,11,3,5,"1,213",11,43,175,,,315,0,781,,0,,107,0,1,"4,633",C,66,27,,C,165,161,21,0,,370,"1,355",0,0
CZE,0,,113,"3,812",,,0,"1,875",21,0,348,153,,0,36,,0,0,0,20,,195,0,48,93,"2,976","5,718",,9,"1,064",330,0,,0,596,0,1,602,847,645,22,58,,1,,29,"4,130",1,7,0,,,"1,860",0,257,,0,,347,17,12,0,C,676,141,,157,167,868,0,0,,"1,327","4,873",0,0
DNK,1,1,"1,365","3,260",,34,157,"5,189","1,389","2,544",2,"1,907",26,0,"1,964",46,6,28,17,70,52,,0,29,"22,633","13,624","26,188",,32,"8,917",5,137,1,2,"5,364",219,20,"2,520","13,359","3,051",2,272,16,13,2,247,"23,327",46,35,,,,"7,540",0,"21,959",0,11,0,C,746,,1,C,237,104,36,"1,031","22,702","7,943",17,0,,"19,921","48,905",8,0
DJI,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,3,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
DMA,0,,0,0,,,0,,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,0,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
DOM,0,,C,15,7,0,1,2,0,0,0,42,3,2,11,,0,2,,0,,60,0,,0,21,56,,,10,0,,,0,45,0,,16,47,,0,0,,,0,0,330,,,,,,114,0,,,70,,0,0,,4,,,0,,C,0,2,0,0,,214,815,0,1
ECU,0,,0,5,,0,0,0,0,1,0,,1,0,8,,0,0,,0,,14,0,,0,12,7,,0,8,0,,,0,25,0,,6,8,,0,0,,1,0,0,91,0,,,,,20,0,,,65,,C,0,,0,C,,0,,C,0,3,0,0,,35,307,2,0
EGY,0,0,133,36,,63,0,4,76,,0,229,,0,26,,0,0,1,10,0,215,,,0,851,247,,267,379,0,,,0,693,6,,23,275,338,0,103,851,,44,0,"5,211",3,,42,,,421,0,292,,0,,C,28,,0,C,,0,238,C,39,40,0,0,,"3,987","10,378",0,0
SLV,0,,C,13,10,1,3,0,0,,0,,20,0,0,,0,19,,0,0,103,0,,0,27,94,,,59,0,,,0,25,0,,24,71,,0,0,,,,0,406,,,,,,140,0,,,65,,0,0,,0,,,0,,C,0,3,0,0,,31,909,1,0
GNQ,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,4,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
ERI,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,67,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,30,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
EST,0,,0,79,,,0,13,0,,0,,,0,0,,0,0,,0,,24,0,,236,16,28,,0,2,1,0,,0,120,0,,3,1,,0,0,,33,,90,204,,,,,,29,0,15,,0,,78,0,,13,,,1,,C,271,1,0,0,,35,130,0,0
ETH,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,1,91,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,24,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
FLK,0,,0,0,,,0,1,0,,0,,,0,0,,0,0,,0,0,0,0,,0,0,7,,,0,0,,,0,0,0,,0,0,,0,2,,,,0,22,0,,,,,1,0,,,0,,0,0,,0,,,0,,C,0,2,0,0,,36,29,0,0
FRO,0,,0,1,,,0,1,0,,0,,,0,0,,0,0,,0,0,"1,241",0,,14,0,12,,,1,0,29,,0,13,0,,0,0,,0,0,,,,0,28,,,,,,4,0,95,,1,,0,0,,0,C,,0,,0,5,1,0,0,,0,27,0,0
FJI,0,,0,0,,,0,0,0,,0,,,0,1,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,8,0,,1,0,,0,0,,,,0,77,,,,,,0,0,,,0,0,0,0,,0,,,0,,0,0,0,0,0,,2,17,0,0
FIN,1,0,"2,074","3,870",10,35,0,"7,610",517,2,2,"1,894",7,6,568,16,4,9,15,150,35,"8,005",0,431,,"25,500","20,675",,49,"1,173",4,30,,0,"9,532",131,38,"3,429","14,549",640,88,170,0,39,2,139,"17,656",2,8,,0,,"10,658",0,"10,792",,1,0,102,734,7,3,C,432,114,19,"2,472","29,699","7,893",3,0,,"14,589","40,621",1,0
FRA,1,2,"16,825","29,963",36,349,"1,033","117,678","13,225",101,342,"23,516",170,"2,105","14,945",483,61,57,103,"1,109","1,299","18,425",56,882,"25,098",,"295,666",33,"2,823","14,715",280,402,1,62,"140,715",148,"2,556","112,738","151,982","9,238","1,842","2,757",393,107,812,546,"279,703",81,576,53,92,,"196,122",0,"47,413",2,31,0,410,"14,693",35,178,C,"2,407","2,459",271,"66,361","18,187","98,110",184,17,0,"174,154","360,772",70,107
TFQ,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
PYF,0,,0,3,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,24,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,C,,0,,0,0,0,0,0,,0,0,0,0
NCL,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,3,0,,,8,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,C,,0,,0,0,0,0,0,,0,0,0,0
GAB,0,,0,0,,0,0,2,53,0,0,,,0,0,,0,0,,0,,54,0,,0,156,106,,,0,0,,,0,73,0,,8,23,66,0,0,,,,0,83,,,,,,53,0,,,0,,0,0,,0,,,0,,C,0,41,0,0,,53,0,0,0
GMB,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,3,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
GEO,0,,0,8,,31,0,1,0,,0,,4,0,0,,0,0,,13,1,56,0,2,0,1,17,,3,54,0,,,0,31,0,,8,11,13,0,5,,,0,6,221,1,,1,,,48,0,9,,0,,C,0,,0,,,0,,C,13,9,0,0,,52,211,3,0
DEU,39,2,"23,832","74,360",41,"1,070",523,"55,596","11,667",58,395,"19,821",233,"6,420","15,604",250,328,97,236,779,"1,408","52,211",71,446,"27,470","344,958",,47,"2,491","9,450","1,241",456,24,8,"124,373",267,"1,156","72,240","202,286","14,653","2,086","2,559",137,218,42,450,"347,654",361,522,11,61,0,"197,270",505,"59,732",1,35,255,439,"14,952",143,867,C,"1,429","2,416",350,"40,028","38,434","105,194",202,319,,"184,872","295,413",110,0
GHA,0,,0,4,,0,0,0,0,,0,,,0,25,,19,0,0,0,,33,0,,0,26,24,,,17,0,,0,0,11,0,,5,15,9,0,0,,,0,0,471,,,410,,,37,0,31,,0,,0,0,,0,,,0,22,0,0,11,0,0,,489,367,0,0
GIB,0,,0,92,,,0,1,5,"1,424",0,,,0,C,,0,0,,0,0,1,0,,0,134,52,,,1,3,,,0,16,0,,17,2,3,0,8,,,,0,50,,,,,,9,0,14,,1,0,0,0,,82,C,,0,,C,4,70,0,0,,753,294,0,0
GRC,0,0,120,"5,561",,17,0,"9,938",2,0,42,490,2,1,85,0,0,0,0,"19,244",663,797,0,18,"2,590","44,027","40,408",,,123,32,0,,0,"3,626",29,36,"5,724",948,410,0,9,10,11,28,59,"8,406",17,508,,,,"9,046",0,"1,638",,0,15,C,"6,042",122,32,C,"1,179",725,13,"10,821",555,"1,436",0,75,,"5,810","7,085",2,0
GRL,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,63,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,C,0,0,0,0,,0,0,0,0
GRD,0,,0,0,,,3,3,0,,0,,3,0,0,,0,0,,0,,0,0,,0,13,0,,,0,0,,,0,12,0,,0,4,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,1,,0,0,0,0,0,,2,19,0,0
GLP,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,7,0,,0,,0,,,0,0,,,0,13,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,-2,0,0,0
GUM,0,,0,0,,26,0,11,0,,0,,,0,0,,0,0,,0,,20,0,,0,,0,,,32,0,,,0,0,3,,,0,,0,12,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,-2,0,0,0
GTM,0,,C,1,408,,28,0,2,0,0,,3,0,C,,0,0,,0,,4,0,,0,7,7,,,0,0,,,0,20,0,,1,0,,0,0,,,,0,26,,,,,,1,0,2,,93,,0,0,,0,,,0,,0,0,0,0,0,,15,55,0,0
GGY,0,,C,990,,63,0,"1,055",50,10,0,"1,078",,0,453,4,0,0,32,31,33,881,0,1,"1,998","5,619","5,783",2,99,,18,70,,0,"1,061","1,145",,"1,133","7,604",789,0,97,,1,2,27,"4,158",0,14,34,,,"4,617",0,"2,678",,0,,3,145,,0,84,1,0,"3,112",776,351,"8,524",15,0,,"13,173","14,796",1,0
GUF,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,3,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
GIN,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,23,0,0,,,,0,0,,,0,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,2,0,0
GNB,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,0,,,,,0,0,,,0,,0,7,,0,,,0,,0,0,0,0,0,,0,0,0,0
GUY,0,,0,0,,,0,0,6,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,8,0,0,0
HTI,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
HND,0,,C,0,,,0,0,0,,0,,,0,C,,0,6,,0,,0,0,,0,0,0,,,0,0,,,0,0,0,,,0,2,0,0,,,,0,5,,,,9,,0,0,,,57,,0,0,,0,,,0,,0,0,119,0,0,,2,29,0,0
HUN,0,,137,"5,036",,0,0,681,47,16,169,287,,0,265,,0,0,0,59,322,506,0,30,108,"2,599","9,117",,135,399,,0,,4,"1,590",0,3,508,742,53,3,88,,15,5,30,"8,458",1,0,0,,0,"2,083",0,596,,0,,688,52,64,223,C,806,128,1,299,233,693,2,0,,"4,613","6,565",1,0
ISL,0,,C,231,,,0,173,26,,5,60,1,0,33,,0,0,0,1,12,123,0,1,8,646,"1,459",,5,6,0,,,0,128,0,1,364,180,,43,0,,1,9,18,497,0,,,1,,230,0,57,,0,,C,145,,0,C,1,1,,239,111,120,0,0,,"3,257","1,644",0,0
IND,1,1,"3,432",600,28,357,0,314,645,1,0,"5,607",25,80,"9,408",35,0,0,2,0,2,"1,860",2,0,"1,257","8,233","1,352",91,47,924,18,3,,10,"5,726",24,1,581,"6,219",499,0,"3,324",250,,4,0,"39,311",301,,"120,026",37,,"4,443",0,"3,745",,5,0,C,7,,1,"29,436",2,70,129,C,"1,066","1,190",459,0,,"28,174","91,486",1,0
IDN,0,0,969,212,2,3,0,89,746,,0,"1,634",67,8,"2,264",1,0,0,2,0,0,"1,120",0,1,134,"1,887","1,347",,,868,0,1,44,,"3,055",0,,611,"5,991",338,0,497,51,,1,0,"17,516","1,019",,473,,,"2,634",0,820,,0,697,C,0,,0,"20,941",2,6,2,C,271,378,63,0,,"6,939","34,861",0,0
IRN,0,,0,0,,,0,0,0,,0,,,22,0,9,0,0,,0,2,0,0,,0,1,0,,0,0,0,,,0,0,0,,,0,146,0,0,0,,0,0,0,,,,,,0,0,62,,0,,0,0,,2,,,0,,0,0,0,1,0,,179,0,0,0
IRQ,0,,0,12,,3,0,0,5,,0,9,,0,0,,0,0,0,0,15,67,0,,0,6,12,,,77,0,,,0,9,0,,16,55,,0,274,167,,,0,360,,,,,,170,0,,,0,,0,0,,0,,1,0,,0,0,18,0,0,,30,0,0,0
IRL,0,14,"2,911","12,162",31,86,97,"38,365","5,747",101,137,"4,475",559,"7,338","13,772",315,60,1,109,"1,693",819,"15,523",13,281,"15,865","116,995","148,978",22,"1,654","5,857",521,"1,078",11,0,,"3,856","1,740","56,360","55,374","6,974",89,"1,705",251,115,68,264,"73,396",217,957,57,66,,"51,083",0,"10,706",,51,107,91,"41,595",41,"6,554","2,440","2,478",355,"7,325","30,217","13,802","26,944","1,052",7,,"151,685","131,936",12,0
