,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
ZAF,0,3,"3,011",319,,6,0,344,"1,319",,4,4,"4,313",35,53,83,37,2,0,15,26,5,"1,906",0,1,301,"2,474","5,122",5,24,936,4,1,12,2,"9,395",153,7,565,"5,590",174,0,873,,1,10,,1,"20,128",1,3,"2,509",,0,"7,183",0,"4,818",4,2,0,3,177,0,2,C,,25,,C,"1,007","2,492",390,0,,"15,008","85,830",6,
SSD,0,,0,0,,,0,,0,,0,0,,,,0,,0,,,0,,0,,,,,0,,,,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
ESP,120,3,"3,093","9,406",,69,12,"27,718","1,138",1,104,25,"5,541",17,222,"1,003",26,17,5,65,220,333,"5,372",1,90,"5,474","185,996","151,978",38,338,432,5,11,0,3,"39,599",10,124,"45,242","24,545",967,54,"1,013",0,11,63,,11,"71,488",16,373,1,"1,184",0,"53,421",0,"23,911",,35,0,5,"19,505",9,1,"4,500","3,668",233,17,,"5,411","10,016",22,18,,"60,151","98,893",140,2
LKA,0,,7,12,,12,0,,48,,0,0,31,,0,277,,0,,0,0,,96,2,,0,65,190,,,40,0,,1,1,82,0,,51,90,6,0,0,,0,,,0,"2,640",0,,1,,0,179,,0,,0,0,0,0,,0,282,,0,,-,4,25,0,0,,460,"2,638",,
KNA,0,,0,0,,,4,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,0,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,79,,,0,,-,0,,,0,,0,0,,
LCA,0,,0,0,,,11,,0,,1,0,,1,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,18,,
VCT,0,,0,1,,,4,0,0,,0,0,,,0,0,,0,,,0,,0,,,0,1,0,,,0,13,,0,0,0,0,,,0,,0,0,,0,,,0,7,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,238,,0,,0,1,,
SDN,0,,0,0,,7,0,,0,,0,0,,,0,0,,0,,,0,,0,23,,0,,0,,,5,0,,0,0,0,0,,,0,28,0,0,49,,3,,0,0,,,,,0,0,,1,,0,,0,0,,0,C,,0,,-,0,0,,0,,6,0,,
SUR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,2,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,8,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,0,
SWZ,0,,C,0,,0,0,,0,,0,0,,,0,0,,0,0,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,0,0,41,5,42,,,1,,0,7,,,0,,0,3,,3,,2,,0,0,,0,,,0,14,-,54,0,,0,,9,,,
SWE,0,2,"5,558","5,855",6,4,443,"5,073","9,794",65,8,58,"6,947",26,890,"2,699",159,26,27,32,283,166,"16,108",,190,"39,655","51,637","53,043",383,98,"5,351",67,111,0,0,"27,949","1,752",47,"5,017","48,564","4,945",111,900,0,179,5,,73,"85,296",9,156,6,0,0,"22,238",0,"37,810",,8,0,363,918,8,0,C,"1,017",238,50,"2,414",,"22,697",173,0,,"42,123","121,567",90,
CHE,2,4,"10,337","4,713",117,24,131,"3,485","2,054",,742,16,"17,362",16,57,"1,973",19,0,0,22,6,80,"4,620",88,13,"2,201","24,547","35,831",155,185,"4,762",57,78,22,5,"18,034",134,322,"6,991","24,199","4,373",286,"4,508",87,15,182,,1,"49,849",26,85,44,3,0,"28,983",0,"34,050",,48,32,47,363,1,158,C,7,109,446,"2,657","18,780",,32,1,,"71,248","333,492",19,690
SYR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,1,,0,,0,,,0,0,,0,0,15,0,,,0,2,0,0,86,,3,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
TWN,0,1,"3,075",162,,,0,285,191,,0,0,"5,709",,41,"3,804",1,0,,1,0,6,866,,,367,"2,550","1,943",,,387,0,1,13,2,"7,503",2,,400,"2,768",197,0,830,,0,0,,0,"18,334",363,,101,15,0,"5,365",0,"6,480",,0,0,C,12,,0,"18,433",2,16,12,C,"1,628","2,299",2,0,,"24,451","87,640",,
