,ARG,ABW,AUS,AUT,BHS,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
CRI,1,0,,11,55,,0,0,0,,2,3,0,,,,,0,,4,,,,2,5,10,,,,,1,0,,0,2,2,,0,,,10,,,,,5,,,,,493,1,0,0,,0,,,0,0,0,1,0,,,C,337,0,,0
CIV,0,0,,3,,,7,0,,,0,0,0,C,,,,11,,0,,,,292,0,0,,,,,360,0,,1,4,5,,0,,,92,,,0,,24,,,,,,,0,,,0,,,0,0,0,293,0,,,68,96,0,,0
HRV,0,0,C,726,,,13,3,,18,25,8,0,C,,,,16,10,45,,4,3,157,"1,475",68,12,21,0,,59,0,,176,633,37,,2,,,691,,20,,,458,,,8,,,,C,0,,0,,,0,1,10,46,0,,,471,676,0,,0
CUB,0,0,,0,,,0,0,0,,0,,0,,,,,0,,0,,,,0,0,0,7,,0,,,0,,0,0,,,0,,,1,,,,,3,0,,,,,,0,,,0,,,0,0,0,1,0,,,9,0,0,,0
CYP,0,0,,195,,,57,0,,,0,,0,,,,,,28,3,,3,,277,611,758,75,,0,,94,0,,81,0,14,,1,,0,313,,,32,,229,,,5,,,,0,38,,40,,,0,22,108,204,0,,,361,100,0,,0
CZE,3,0,3,522,,,79,0,,,60,,0,,,,,36,,98,,5,9,142,736,11,223,21,0,,564,0,,121,12,55,,0,,,"1,168",,,,,414,,,75,,,,C,0,,2,8,77,0,22,83,37,0,,,548,"1,293",0,,0
DNK,0,0,511,"5,370",13,,"3,134",516,1,,"1,063",52,0,496,26,0,,29,20,,6,28,"2,432","5,644","13,082",35,595,0,24,,"4,464",455,25,"1,632","7,144",821,23,4,,3,"14,650",0,16,0,,"5,008",290,4,"6,522",,2,,C,349,,0,837,2,19,"1,410","3,817","4,014",0,0,,"12,966","22,141",4,,4
DJI,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,0,,0,,0
DMA,0,0,,0,,,,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,5,0,0,,,0,,,1,,,,,0,0,,,,,,0,,,0,,,0,0,0,0,0,,,-23,0,0,,0
DOM,0,0,,9,,14,0,0,1,,28,2,0,,,,3,0,,21,,,,34,11,0,,,,,14,0,,14,1,5,,0,,,62,,,,,24,11,,,,6,,0,,,0,,,0,0,0,5,0,,,66,512,1,,0
