,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
BLZ,0,,0,3,,0,,2,0,3,0,3,1,0,C,,,3,0,,9,0,,,0,1,,,0,,,,,0,0,,1,0,,0,0,,,,10,,,,,7,,0,,,2,,0,0,0,25,,,,0,0,4,,0,,0,72,,0
BEN,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
BMU,2,1,"2,524",601,26,148,31,"1,237",,803,0,"6,212",9,0,"43,410",206,,,10,33,984,0,2,"1,232","9,297","1,734",,33,"2,309",2,20,,8,"4,640",773,17,"1,022","10,138",289,12,85,147,1,3,"12,024",80,,766,,"3,563",318,0,"2,376",0,1,0,31,135,0,85,"3,993",0,"4,574",502,"1,759","3,868",12,,,"10,190","163,128",16,0
BTN,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
BOL,0,,0,0,,,,,0,0,0,0,3,5,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,38,,,,,1,,0,,,0,,0,0,0,0,,,,0,0,1,,0,,1,0,,0
BIH,0,,0,18,,,,1,0,0,0,0,,0,0,,,,0,,32,0,0,0,3,1,,,2,,0,,,0,0,,1,0,,0,0,27,,,372,,,,,17,,0,0,,0,,0,0,0,0,,0,,0,5,0,,,,61,20,,0
BWA,0,,0,0,,,,,0,0,0,1,,0,0,,,,0,,1,0,,,0,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,108,,6,1,0,,,0,,0,0,0,0,,,197,0,0,0,,,,0,11,,0
BRA,313,1,773,323,"8,324",0,10,445,202,,0,"5,240","10,728","6,103",97,1,13,45,6,5,"2,136",42,2,0,"2,828","2,167",,70,859,2,4,0,0,"4,668",4,7,"2,813","8,815",268,22,"1,868",,1,11,"22,834",3,,0,33,"4,417",69,0,"2,414",,380,0,1,"2,175",0,0,,3,462,"4,660",887,"1,133",3,35,,"13,959","91,453",805,26
IOQ,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,2,,0,,0,0,0,0,,,,0,0,,,,,0,0,,0
BRN,0,,0,0,,,,,0,0,0,0,,0,C,,,,0,,0,0,,,14,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
BGR,0,,C,408,,,,12,0,0,,0,,0,0,,,,500,0,8,0,23,0,56,344,,594,1,23,0,,,161,0,,18,11,,0,0,,4,0,105,0,,,,86,,0,16,,0,0,15,0,2,3,,3,,C,7,10,,0,,C,252,,0
BFA,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,3,,,,0,0,,0
BDI,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,0,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,1,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,4,,0
KHM,0,,0,0,,,,,0,0,0,0,,0,C,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,52,0,,,,11,,0,1,,0,,0,0,0,0,,,,0,0,0,1,,,0,0,,0
CMR,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,36,0,,,2,,,,,0,0,,,0,,0,0,,,,0,,,79,,0,,0,,,0,,0,0,0,0,,,,0,0,1,,,,9,0,,0
CAN,20,4,"5,263","2,715",30,120,350,"4,828","5,635",44,2,,654,221,"5,189",160,41,3,770,39,"1,408",0,2,564,"21,544","23,641",109,217,904,8,144,6,33,"18,123",59,114,"2,295","43,284","1,458",27,755,10,127,16,"29,993",21,132,19,16,"8,648",89,303,"10,060",,5,0,17,238,0,7,"3,238",1,38,"1,308","3,074","14,739",100,0,,"25,186","378,435",4,0
CPV,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,1,0,0,,,,0,,,,,0,,0,,,0,,0,58,0,0,,,,0,0,0,,,,0,0,,0
CYM,0,0,"1,595","8,733",326,"2,831",340,"6,087","9,971",960,4,"9,100",,251,"74,686",373,104,40,639,124,"3,984",29,31,"7,255","69,338","28,755",57,"3,034","25,938",10,198,28,276,"47,550","2,307",291,"6,822","367,736","19,418",1,"3,958","7,318",7,51,"62,259",255,226,"1,584",58,"19,121","7,145",0,"3,637",,145,0,61,"14,414",0,52,"6,618",23,80,"19,871","4,666","41,545",189,107,,"104,193","315,228",12,19
CAF,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,0,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
TCD,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
CHL,39,,C,53,-21,,62,44,"1,613",57,0,61,75,,64,2,5,1,24,,169,0,,0,254,157,,,12,,1,,,274,0,1,28,430,16,0,25,,0,,971,0,,,,429,2,0,182,,41,0,0,0,0,0,,1,,343,56,141,32,,,"1,269","10,299",45,3
HKG,0,1,"3,345",252,6,88,0,621,"4,056",0,0,"4,187",5,"1,163",,"1,686",1,0,1,19,"1,134",0,1,174,"2,721","1,841",1,4,449,2,16,44,143,"7,849",37,119,584,"10,127",294,10,"5,609",7,0,1,"15,402","1,555",,758,,"5,268",24,0,"1,800",,4,106,C,25,0,14,"15,553",1,14,"2,415","1,367","1,243",171,0,,"25,480","64,816",0,0
MAC,0,,C,0,,,,,0,0,0,0,,0,107,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,C,122,0,0,,,,0,0,0,,,,11,0,,0
CHN,33,0,C,267,,33,1,263,983,1,0,"2,344",31,20,"102,855","1,438",,2,32,7,788,2,1,133,"4,755","1,779",1,3,341,5,3,29,0,"7,016",40,6,734,"5,994","1,703",0,"8,923",269,0,1,"16,351",95,,"5,809",19,"3,019",3,0,"1,650",,4,0,3,21,0,5,"26,200",1,15,"1,353","1,411",538,34,0,,"13,058","54,902",0,0
CXQ,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,1,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,,,,,0,0,,0
CCQ,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,,,,,0,0,,0
COL,0,0,C,79,57,,29,37,3,6,0,117,66,639,5,,,12,57,,536,0,,0,74,450,,0,77,,,,,276,0,,142,727,20,0,2,,,0,"1,267",,,,,745,3,0,6,,494,0,0,0,0,0,,1,,C,22,68,1,,,689,"6,848",2,17
COM,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,5,,0,,0,,,0,,0,0,0,0,,,,0,,0,,,,0,0,,0
COD,0,,0,3,,,,38,0,0,0,0,,0,0,,,,0,,0,0,,,28,0,,,0,,,,,10,0,,,0,,0,0,,,,2,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
COG,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,7,0,,,0,0,,,0,,,,,0,0,,,0,,0,0,,,,13,,,35,,0,,0,,,0,,0,0,0,2,,,,C,0,0,,,,2,44,,0
COK,0,,0,0,,,,,0,0,0,0,,0,C,,,,0,,0,0,,,,0,,,0,,,,,24,0,,,0,,0,0,,,,0,,,1,,0,,0,,,0,,0,0,0,0,,,,0,0,,,,,0,1,,0
CRI,0,,0,1,26,,1,0,6,3,0,0,6,0,2,,,,0,,14,0,,,6,39,,0,0,,,,,0,0,,2,0,6,0,0,,,,10,,,183,,1,0,0,14,,37,,0,0,0,0,,,,C,0,3,,,,103,260,0,0
CIV,0,,0,0,,,,15,0,0,0,0,,0,C,,,,0,,41,0,,,100,3,,,0,,,,,1,0,,3,0,4,0,0,,,,71,,,0,,7,0,0,,,0,,0,0,0,0,,,,0,0,246,,,,107,61,,0
HRV,0,,0,"1,365",,,,25,20,0,8,1,,0,C,,,,60,15,8,0,9,0,252,"1,227",,11,23,41,0,,,355,0,,241,66,9,0,0,,4,,662,,49,,,455,,0,138,,0,,C,0,0,0,,8,,C,28,52,,,,646,270,,0
CUB,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,1,,0,,,0,0,,,0,,0,0,,,,113,,,,,0,0,0,,,0,,0,0,0,0,,,,0,7,0,,,,91,0,,0
CYP,0,,C,"4,956",,83,,248,0,13,0,57,,0,613,,,,,338,35,0,17,9,"1,485","1,426",,"1,467",189,10,0,,,264,0,,140,22,519,0,0,,14,0,"2,067",9,,583,,596,0,0,218,,0,,21,100,79,"1,877",,40,,C,61,217,15,,,"1,048",525,0,0
CZE,0,,70,"2,097",,,,"1,220",9,1,1,86,,59,12,,,,90,,276,0,27,75,"1,132","4,213",,8,76,256,0,,,"1,969",0,,567,882,483,0,49,,3,,"2,770",1,,,,"1,698",0,0,421,,0,,450,54,0,34,276,243,,C,206,324,0,,,996,"3,753",,0
DNK,0,0,618,"4,200",,36,403,"9,918",475,725,2,"1,088",9,20,"2,379",21,,,191,57,,0,75,"5,917","9,915","21,072",35,29,"2,868",1,175,0,,"9,504",207,23,"1,385","13,091","1,503",5,537,28,14,4,"17,698",108,32,0,,"7,215",28,0,"12,772",,0,0,56,752,0,3,"1,099",1,2,"1,161","13,721","5,558",7,,,"13,945","32,337",5,0
DJI,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,4,0,0,,,,0,,,10,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
DMA,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
DOM,0,,0,7,7,,,0,0,0,0,30,9,1,2,,,0,0,,56,0,,C,5,46,,,0,,,,,13,0,,4,22,3,0,0,,,0,133,,,,,88,0,0,,,18,,0,0,0,5,,,,C,0,1,,,,359,380,,0
ECU,0,,0,7,3,,,0,0,0,0,1,1,0,10,,0,9,0,,15,0,,C,3,10,,0,14,,,,,71,0,,30,11,,0,0,,0,1,126,,,,,65,,0,0,,38,0,0,6,0,0,,,,C,0,2,,0,,91,386,1,6
EGY,0,,C,29,5,2,,126,0,0,0,89,2,40,31,,,,13,0,80,,,0,747,97,,231,189,0,,,,181,5,,140,176,82,0,40,528,,318,"1,863",2,,25,,146,1,0,132,,0,,C,0,0,0,,,74,C,21,21,,,,664,"4,792",,0
SLV,0,,C,14,,,2,0,0,0,0,0,5,0,C,,,13,0,,72,0,,C,12,72,,,0,,,,,49,0,,16,44,6,0,0,,,,140,,,0,,156,,0,11,,37,0,0,0,0,0,,,,0,0,2,0,,,61,490,,0
GNQ,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,6,,,0,0,,,0,,0,0,,,,0,,,,,6,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
ERI,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,75,0,,,0,,0,0,,,,0,1,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
EST,0,,C,159,,,,75,0,0,0,0,,0,C,,,,28,11,27,0,,169,9,392,,0,4,0,0,,,203,0,,1,0,,0,0,,42,,314,,,,,38,,0,19,,0,,15,0,0,36,,,,C,"1,266",1,,,,41,90,,0
ETH,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,1,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,2,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
FLK,0,,0,0,,,,0,0,0,0,0,,0,0,,,,0,,0,0,,,,3,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,1,,0,,,0,,0,0,0,0,,,,C,0,1,,,,2,1,,0
FRO,0,,0,0,,,,0,0,0,0,0,,0,0,,,,0,,203,0,,0,0,18,,,0,,23,,,0,0,,0,0,,0,0,,,,0,,,,,0,,0,95,,0,,0,0,0,0,,,,0,0,1,,,,1,6,,0
FJI,0,,0,1,,,,,0,0,0,0,,0,C,,,,0,,0,0,,,,7,,,0,,,,,0,0,,1,0,,0,0,,,,29,,,,,7,,0,,,0,0,0,0,0,0,,,,0,0,1,,,,4,27,,0
FIN,14,1,991,"2,971",20,24,1,"3,905",881,0,0,"1,834",6,20,613,9,4,1,196,31,"5,538",0,351,,"21,891","16,945",16,33,"1,030",5,69,,0,"7,691",137,18,"3,374","9,532",397,55,55,9,40,1,"15,555",3,18,0,,"5,990",11,0,"7,266",,0,,47,194,0,2,443,0,4,"2,435","16,580","6,676",,4,,"21,717","40,959",4,0
FRA,60,6,"11,448","24,931",49,556,"1,176","86,044","14,990",90,118,"19,878",194,563,"9,746",412,89,26,"1,995","1,373","16,223",38,511,"19,801",,"211,868",92,"2,562","22,150",226,299,5,28,"100,788",159,"1,060","122,798","134,876","8,289","1,625","1,661",432,77,352,"228,062",62,484,144,213,"139,142",446,287,"32,943",,21,0,585,"15,377",84,100,"9,266",309,201,"74,310","15,373","76,215",156,34,,"134,928","280,037",9,23
TFQ,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,,,,,0,0,,0
PYF,0,,0,3,,,,,0,0,0,0,,0,C,,,,0,,0,0,,,25,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
NCL,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,1,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
GAB,0,,0,4,,,,3,0,0,0,0,,0,0,,,,0,,26,0,,C,101,33,,,0,,,,,13,0,,12,11,,0,0,,,,83,17,,,,43,,0,,,0,,0,0,0,0,,,,C,0,14,,,,26,,,0
GMB,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,1,0,,0
GEO,0,,0,7,,,,3,0,0,0,17,4,0,0,,,,0,,29,0,0,0,1,8,,0,4,,,,,11,0,,2,11,,0,0,,0,0,74,2,,8,,25,,0,1,,0,,2,0,0,0,,2,,0,23,2,,,,11,91,0,0
DEU,103,4,"11,297","76,496",56,176,665,"47,023","15,822",67,339,"17,737",170,"6,539","7,494",509,348,96,"2,140","1,923","32,782",58,540,"23,116","359,024",,300,"3,012","7,044",749,135,2,36,"122,915",231,560,"108,927","180,441","19,180","1,693",808,243,256,126,"319,771",307,"1,370",218,102,"137,753",302,343,"60,738",,15,0,"1,668","17,435",320,889,"12,354",434,119,"53,696","24,962","94,831",333,261,,"161,434","250,830",55,1
GHA,0,,0,7,,,,7,0,0,0,0,,0,36,,,,0,,21,0,,C,24,13,,,2,,,0,,22,0,,2,22,1,0,0,,,0,82,,,116,,32,,0,9,,0,,0,0,0,1,,,6,0,0,2,,,,153,114,,0
GIB,0,,0,96,,,,2,6,1,0,0,25,0,2,,,,0,57,1,0,,0,73,25,,,0,29,,,,10,0,,4,0,,0,7,,,,205,,,,,10,,0,7,,0,,0,86,0,127,,,,C,26,119,,,,906,64,,0
GRC,0,0,275,"7,998",,15,0,"19,900",487,11,36,588,,29,107,1,,0,"5,177",853,"1,327",3,23,"2,546","61,167","33,462",1,,162,2,0,,,"14,808",24,10,"23,392","7,813",630,263,7,0,4,3,"19,538",2,197,0,,"19,379",2,0,"4,260",,0,0,C,"5,138",32,0,625,7,2,"3,486","1,100","2,890",,0,,"10,280","8,821",0,0
GRL,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,30,0,,0,,0,,,0,,,,,3,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
GRD,0,,0,0,,,,,0,0,0,0,2,0,0,,,0,0,,0,0,,,10,1,,,0,,,,,0,0,,0,0,,0,0,,,,1,,,,,1,,0,,,0,,0,0,0,0,,,,0,0,1,,,,2,9,,0
GLP,0,,0,0,,,,,0,0,0,0,,0,9,,,,0,,1,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,,,,,-1,0,,0
GUM,0,,0,10,,13,,,0,0,0,0,,0,0,,,,0,,0,0,,,14,0,,,0,,,,,0,3,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,,,,,-1,0,,0
GTM,0,,0,1,131,,26,0,0,0,0,0,,0,4,,,3,0,,7,0,,C,7,19,,,0,,,,,11,0,,1,0,,0,0,,,,20,,,,,1,,0,,,83,,0,0,0,0,,,,0,0,0,,,,72,93,,0
GGY,0,,C,970,,34,34,"1,101",35,7,11,329,14,0,217,3,9,0,24,2,916,18,,"1,374","5,791","4,371",23,110,,27,16,,,923,893,38,"1,553","6,237",134,0,42,25,4,0,"3,039",,,5,,"4,896",198,0,696,,0,,C,287,0,4,,,"1,082",846,289,"10,780",14,,,"5,519","6,589",1,0
GUF,0,,0,0,,,,,2,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,,,,,0,0,,0
GIN,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,3,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,1,2,,0
GNB,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,7,0,0,,,,0,0,0,,,,0,0,,0
GUY,0,,0,0,,,,,6,0,0,0,,0,0,,,,0,,0,0,,,,0,,,15,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,68,0,,0
HTI,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
HND,0,,0,0,,,4,,0,0,0,0,,0,C,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,22,,0,0,,,,1,,,,,32,,0,,,37,,0,0,0,0,,,,0,0,0,65,,,5,40,,0
HUN,0,,57,"6,499",,0,0,"1,365",19,1,13,111,,79,C,,,,225,429,254,0,33,505,"2,890","12,357",,237,89,,0,,,"4,321",0,1,728,"1,388",217,0,80,,8,,"6,242",1,19,1,,"2,561",,0,643,,0,,697,155,0,0,234,178,,637,110,614,2,,,"2,091","4,549",0,0
ISL,0,0,C,380,,,,296,22,0,18,70,8,0,108,,,,61,26,19,0,1,62,576,"2,395",4,21,20,0,,,,294,0,1,970,860,,50,1,,1,126,772,0,,,,317,,0,118,,0,,0,212,0,0,0,11,,"1,125",437,175,45,,,"3,319","2,049",0,0
IND,11,0,678,246,,219,0,306,75,0,0,"1,508",82,559,"5,095",29,,0,157,0,743,0,0,0,"1,811",653,4,45,311,0,0,,526,"1,966",22,,463,"2,821",268,0,"1,965",325,1,3,"11,347",131,,"101,206",,"1,943",3,0,"1,404",,3,0,C,0,0,0,"16,187",1,21,"1,628",304,242,34,,,"11,143","31,917",0,0
IDN,0,0,196,100,1,0,,51,44,0,0,385,36,178,500,0,,,0,,618,0,,0,282,591,1,,396,0,0,4,,618,5,,142,"1,102",86,0,257,42,,0,"4,427",294,,"3,342",,"1,140","4,370",7,238,,4,0,C,7,0,0,"5,311",1,0,C,53,122,25,,,"2,393","11,160",0,0
IRN,0,,0,0,,,,36,0,0,0,5,,0,C,3,,,0,18,25,0,,,7,0,,0,0,,,,,0,0,,,0,98,0,0,,,,0,,,,,0,,0,13,,0,,C,0,0,0,,,,0,1,0,,,,415,,,0
IRQ,0,,0,8,,,,,12,0,0,0,,0,0,,,,0,6,58,0,,C,18,14,,,24,,,,,40,0,,10,55,,0,332,35,,,186,,,,,102,,0,,,0,,0,0,0,0,,,,0,0,11,,,,28,,,0
IRL,2,2,747,"16,064",74,314,1,"39,074","6,107",32,26,"3,599","1,070",671,"8,332",260,426,25,904,880,"11,174",14,125,"10,939","122,649","146,990",99,"1,229","7,182",467,820,33,14,,"3,478",325,"59,251","41,939","11,993",13,"1,059",59,124,84,"73,833",110,534,59,69,"45,542",205,0,"10,868",,37,96,172,"35,086",3,"5,024","3,127",190,"3,833","25,943","9,665","25,132",439,3,,"163,855","62,809",1,0
IMN,0,,0,39,,,1,6,6,7,0,2,,0,6,,,,16,,13,0,1,8,100,0,,0,257,0,0,,,38,,,33,"1,157",6,0,129,,,1,249,130,,13,,96,0,0,8,,0,,1,0,0,0,,,346,C,0,64,,,,"1,164",510,,0
ISR,0,1,C,148,,,2,97,82,2,0,911,62,59,15,2,,0,108,0,198,0,1,0,335,610,1,,404,26,1,,,899,0,,121,"1,146",89,3,25,,,,"2,364",,,10,,"1,741",2,0,516,,9,,2,0,0,0,,0,5,C,190,229,120,,,"3,158","46,064",6,0
ITA,10,1,"2,433","20,926",,120,140,"65,394","2,274",38,14,"5,174",64,44,"1,105",24,4,,578,987,"6,051",80,17,"7,076","278,608","177,758",12,"1,332","1,118",24,10,0,50,"152,632",34,108,,"62,545","1,640",766,152,9,15,24,"136,775",18,833,30,,"91,219","2,585",0,"23,210",,0,,49,"12,123",14,13,"4,692",274,17,"60,366","6,831","7,146",20,0,,"99,610","61,763",24,0
JAM,0,0,0,11,,,,5,7,0,0,2,13,0,C,,,0,0,,17,0,,C,14,124,,0,0,,,,,18,0,,17,22,6,0,0,,,,50,,,,,19,11,0,,,1,,0,0,0,0,,,,C,7,23,,,,223,337,,0
JPN,60,8,"17,728","1,325",,134,340,"2,901","13,291",6,0,"28,810",,"1,912","31,867",79,39,1,48,6,"8,913",0,3,732,"145,200","18,987",4,4,"1,832",31,54,,133,"43,628",103,70,"4,720",,"1,596","1,870","2,577",81,3,1,"59,144",94,45,110,50,"20,169",510,"1,404","25,504",,0,51,4,405,0,0,"26,494",19,150,753,"11,153","15,391",50,0,,"133,098","389,072",0,0
JEY,0,,C,"4,772",20,48,,"9,807",406,65,1,592,80,0,"4,754",2,,7,208,58,"1,082",0,0,"1,011","17,542","24,467",13,"1,509","1,045",37,23,0,,"7,465",346,4,"7,727","19,030",,1,362,53,1,6,"19,521",,273,57,,"7,777",116,0,"1,173",,0,0,4,"3,645",0,136,390,2,"1,319","8,364",461,"48,514",0,,,"33,393","37,307",0,0
JOR,0,,0,0,,97,,,0,0,0,0,,0,3,,,,15,,4,8,,,0,3,,,84,,,0,,0,0,,,0,36,0,6,"1,021",,123,46,0,,3,,6,,0,,,0,,0,0,0,0,,,,0,2,1,,,,44,78,,0
KAZ,0,,2,452,,35,,16,0,0,0,37,80,20,69,,,,10,25,196,0,11,0,55,160,,8,115,0,0,,,46,0,1,10,551,4,,63,,22,1,386,,,5,,161,0,0,15,,4,0,5,16,0,17,,,,C,169,82,,5,,"1,816",749,,0
KEN,0,,0,0,,,,0,0,0,0,0,,0,7,,,,0,,9,0,,,1,0,,,0,,,1,,28,0,,,0,,0,1,3,,,74,,,138,,21,,0,6,,0,,0,0,0,0,,,26,0,3,4,,,,5,39,,0
KIR,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,,0,,,,0,1,,0
PRK,0,,C,,,,,,,0,0,,,,0,,,,0,,0,0,,,,0,,,,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,,,,,,0,,0
KOR,6,1,"1,657",450,,65,,960,"4,081","1,558",0,"4,953",29,"1,135","15,320",198,,,393,2,734,0,,55,"12,841","2,939",,13,155,10,2,26,10,"10,084",12,2,442,"18,061",351,30,,5,,0,"13,792","1,013",,38,43,"3,463",0,0,"3,125",,2,0,C,19,0,12,"23,318",2,2,C,713,"2,190","6,415",,,"24,076","56,056",,0
KWT,0,,C,54,,"1,063",,4,0,0,0,2,,0,202,4,,,41,,7,35,,0,88,63,,0,200,,,,,11,0,,0,11,20,0,6,,,47,172,213,,60,,22,,0,,,0,,0,0,0,0,,,,C,0,0,,,,"1,258",,,0
KGZ,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,6,,0,,8,0,,,,38,,,,,0,,0,9,,0,,0,0,0,61,,,,0,0,0,,,,13,0,0,0
LAO,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,1,0,,0
LVA,0,,0,156,,,,11,0,0,0,0,,0,0,,,,0,0,0,0,105,11,-1,629,,0,54,6,,,,0,0,,61,0,73,9,0,,,,52,,,,,21,0,0,88,,0,,C,0,0,3,,,,0,169,3,,,,-2,4,,0
LBN,0,,0,3,,17,,7,0,8,0,0,,0,11,,,,650,,33,12,,C,66,29,,,61,,,,,15,0,,22,22,,0,0,211,,,131,,,11,,46,,0,,,0,,0,0,0,0,,,,C,0,12,,,,402,283,,0
LSO,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,6,0,0,0,,,,0,0,,0
LBR,0,,C,6,,,,1,17,0,0,48,,0,1,,,,1,,10,0,,1,89,60,,4,0,,,,,49,0,,26,44,,0,0,,,,132,,,,,63,0,0,119,,0,,C,0,0,0,,,6,1,1,47,,,,238,"2,873",,0
LBY,0,,0,0,,4,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,17,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,1,,,0
LIE,0,,C,395,,,,8,120,2,0,0,,0,8,,,,0,,1,0,3,0,86,"1,200",,,18,,,,,7,0,,1,0,44,0,0,,,,162,,,,,82,,0,0,,0,0,C,0,0,0,,,,C,1,,,,,106,192,,0
