,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
SVN,0,,0,441,,,,"1,562",0,0,3,0,,0,C,,,,30,38,17,0,5,116,457,701,1,0,3,1,0,,,127,0,,587,0,13,0,0,,6,,403,,,,,398,,0,178,,0,,C,9,0,0,,8,,C,48,90,,,,231,164,,0
SLB,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,0,,,0,0,,0
SOM,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,6,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
ZAF,0,1,444,308,,33,,227,652,19,0,"1,354",28,184,93,2,,,123,0,616,17,1,106,"1,337","2,022",6,58,144,1,0,8,,"1,972",123,5,398,"2,733",184,0,230,,1,20,"6,564",2,,"1,634",,"2,313",5,0,"1,024",,6,0,C,151,0,0,881,1,,C,208,806,125,0,,"7,456","32,218",1,0
SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
ESP,500,1,"2,836","12,889",6,115,150,"41,144","1,452","1,473",5,"5,648",43,491,"1,819",87,20,0,279,617,"9,143",0,13,"7,736","234,122","222,025",52,735,488,20,9,,0,"68,760",32,27,"32,651","24,760","1,265",256,140,,19,3,"82,271",13,351,0,140,"67,115",47,0,"30,427",,0,0,21,"16,310",9,0,"2,268",16,53,,"6,890","9,771",6,,,"84,755","93,205",30,1
LKA,0,,C,6,,0,,0,0,0,0,2,,0,87,,,,0,,9,2,,,1,4,,,0,,,10,,25,0,,5,0,,0,0,0,,5,67,1,,86,,3,,0,5,20,0,,0,0,0,0,227,,,0,1,3,,,,170,144,,0
KNA,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,C,0,,,,,0,0,,0
LCA,0,,0,11,,,,,0,0,0,0,11,0,0,,,,7,,0,0,,,0,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,37,,0
VCT,0,,0,0,,,,0,0,0,0,0,,0,0,,,,0,,0,0,,,1,0,,,0,0,,,,0,0,,,0,,0,0,,,,2,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,228,,,,0,10,,0
SDN,0,,0,0,,8,,,0,0,0,0,,0,0,,,,0,,0,20,,,,0,,,0,,,,,0,0,,,0,19,0,0,223,,17,1,,,,,1,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
SUR,0,,0,0,,,,1,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,4,0,,,0,,0,0,,,,0,,,,,0,2,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
SWZ,0,,0,0,,,,,1,0,0,0,,0,0,,,2,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,2,,,,0,1,,,,0,,0,2,,0,,0,0,0,0,,,4,0,2,0,,,,13,,0,0
SWE,0,1,"1,617","3,493",,131,321,"4,922","2,595",3,18,"3,238",14,44,"1,078",22,107,3,281,16,"18,069",0,90,"27,261","22,464","28,169",34,81,"4,059",2,146,,0,"16,510","1,217",129,"3,256","27,074","1,321",8,70,14,89,2,"50,253",6,76,31,,"10,585",34,0,"17,939",,0,,949,933,0,37,"1,577",3,11,"2,564",,"11,036",25,0,,"17,148","59,359",8,0
CHE,32,4,"4,203","2,757",130,84,180,"5,557","1,836",195,0,"12,636",46,288,"1,761",23,38,,7,27,"4,123",149,11,"1,334","18,271","26,147",77,363,"2,163",51,151,53,169,"15,828",99,195,"5,092","16,937","1,652",51,732,225,4,138,"34,421",22,128,46,,"14,816",39,0,"11,889",,37,126,56,609,0,9,"2,426",16,249,"3,106","10,284",,3,3,,"48,857","218,388",7,808
SYR,0,,0,0,,1,,,0,0,0,0,,0,0,,,,0,,0,2,,,,0,,,0,,,,,0,0,,,0,7,0,0,30,,29,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
TWN,9,1,C,64,,0,,117,233,0,0,"2,117",,743,"3,239",5,,,0,1,446,0,0,110,"1,179",903,,,98,2,0,11,0,"3,316",0,,320,"1,642",160,0,343,,,0,"8,586",250,,361,2,"2,431",0,0,863,,0,0,C,10,0,0,"5,686",0,1,C,524,468,6,,,"11,219","41,418",,0
TJK,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,27,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
TZA,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,46,,0,,0,3,,0,,0,0,0,0,,,6,0,0,1,,,,9,0,,0
THA,0,,C,29,,0,,49,47,0,0,675,7,265,822,22,,,2,0,226,0,,67,337,483,,4,249,1,0,5,22,813,14,1,131,"1,157",55,0,169,0,,,"3,385",210,,"1,070",,"1,095","2,452",18,370,,3,31,0,0,0,0,"3,563",,1,C,63,113,,,,"3,181","7,619",0,0
TLS,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
TGO,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,44,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,2,,0
