,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
EST,0,0,0,190,0,0,0,42,0,0,0,1,0,0,C,0,0,0,30,9,99,0,,402,37,511,0,0,28,0,1,0,0,105,1,0,20,28,0,0,0,0,0,501,0,,0,0,77,0,0,63,0,0,0,C,3,0,4,,0,0,45,229,16,0,0,0,139,97,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
FLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,C,1,0,0,0
FRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,,0,0,21,0,0,0,0,14,0,0,0,0,0,0,,0,0,0,0,0,12,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,C,0,0,0,0
FJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN,26,1,461,"2,935",10,0,11,"5,917",456,5,8,"1,878",58,0,891,29,3,24,108,23,"3,056",2,187,,"20,761","21,329",17,78,"1,001",2,674,0,0,"6,120",252,13,"5,043","6,873",809,63,29,2,5,"14,033",12,168,0,1,"7,866",2,C,"3,658",0,1,0,24,276,0,47,651,128,4,"2,909","12,661","5,129",0,0,0,"21,151","48,778",6,0,0
FRA,37,7,"7,983","20,286",90,357,796,"84,326","8,069",359,22,"16,553",363,90,"8,493",281,48,4,634,"1,578","11,265",85,158,"17,410",,"150,490",40,"3,589","7,148",44,451,0,0,"68,646",173,732,"92,998","125,937","7,790",486,"1,916",263,381,"161,236",216,346,32,57,"117,262",54,265,"16,154",8,26,120,239,"18,196",13,194,"9,747",92,404,"88,740","15,468","52,930",58,19,0,"73,871","269,945",5,0,2
TFQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0
PYF,0,0,0,2,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,,0,21,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
NCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,268,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,38,0,0,0,C,0,0,0,0
GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
GEO,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,35,2,0,,0,0,18,0,0,0,0,0,0,0,0,0,101,0,,0,0,0,0,0,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,C,0,0,0,0
DEU,87,4,"7,435","69,382",205,"1,466",490,"52,588","13,315",106,102,"12,496","1,404",321,"10,066",412,98,34,550,"1,999","32,436",131,359,"18,921","184,443",,141,"7,992","8,054",305,397,0,137,"91,072",289,432,"143,018","158,382","14,870","1,516",623,253,226,"258,234",77,640,7,25,"181,604",90,393,"39,346",0,81,208,799,"16,050",422,"1,459","12,059",474,211,"75,200","24,426","89,201",17,186,0,"106,398","213,479",9,0,5
GHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,4,0,,0,0,4,0,0,0,0,0,0,0,0,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,C,3,0,0,0
GIB,0,0,0,48,0,0,0,83,0,0,0,2,91,0,0,0,0,0,0,49,3,0,0,4,61,560,,0,144,7,,0,0,32,0,0,69,0,5,0,0,0,0,778,0,,0,0,210,0,0,20,0,0,0,17,145,0,0,,0,0,89,2,80,0,0,0,"1,062",211,0,0,0
GRC,0,0,262,"7,692",0,0,0,"17,315",102,0,1,507,9,0,197,4,1,0,497,745,"1,122",3,3,"2,179","40,997","35,568",0,,585,2,0,0,0,"11,340",29,0,"17,150","5,331",205,24,1,0,0,"16,440",0,131,1,0,"17,304",5,C,"3,213",0,0,3,1,"1,377",1,0,563,5,1,"3,189","1,477","1,976",0,0,0,"5,778","10,554",21,0,0
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
GRD,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,11,1,0,0,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,C,2,0,0,0
GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0
GUM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0
