,ALB,ARG,ABW,AUS,AUT,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN,PSE
PAK,,0,,42,15,10,0,1,0,,0,0,109,91,0,151,,29,0,,19,0,0,155,,0,C,13,162,,,33,0,0,,0,2,327,0,,53,36,22,0,6,2,0,0,0,"2,367",0,13,0,349,,,160,,0,,,,0,,0,0,,,697,C,0,0,,C,142,41,,11,,"1,337","3,758",,,
PLW,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
PAN,,0,0,130,59,,0,139,156,4,254,0,792,149,625,54,0,82,119,13,12,1,0,485,,0,38,272,"2,079",,,18,6,0,0,0,,948,2,5,360,"1,105",2,2,454,,2,0,0,"3,487",0,0,C,16,16,,"1,279",,403,,,,468,,C,6,,1,107,56,0,0,18,C,28,"1,053",2,0,,383,"29,348",11,9,
PNG,,0,,744,1,,0,3,5,,0,0,114,0,1,23,1,14,0,,0,0,0,22,,0,8,7,23,,,0,0,0,0,0,,58,0,,3,85,,0,0,,,0,0,228,0,1,0,0,,,54,C,66,,,,0,,0,0,,,0,C,0,0,,C,4,30,,0,,-165,"1,790",,,
PRY,,0,,C,18,,0,0,36,5,45,0,0,23,18,0,,11,0,,39,0,0,153,,0,3,16,261,,,7,0,0,,0,,101,0,,45,21,1,0,0,,1,0,0,723,0,,0,0,,,218,,0,,,5,1,C,0,0,,3,0,C,0,0,170,C,2,61,,0,,28,933,0,,
PER,,5,,116,174,,0,127,239,13,41,0,387,949,"1,003",37,22,80,325,9,53,0,1,710,,0,86,229,"3,386",,,51,0,0,,0,0,"1,397",9,15,280,307,5,1,99,,2,0,1,"4,196",0,0,C,0,10,,"1,385",,185,,,236,,C,2,0,,3,450,C,11,1,4,207,97,857,84,0,,"1,910","10,253",32,,
PHL,,0,0,C,73,4,0,62,146,,0,0,"1,988","1,389",0,"1,784",2,221,0,,16,0,1,640,,0,128,433,"2,068",2,,262,0,0,0,4,1,"2,047",61,,300,"2,449",26,0,171,,1,0,0,"5,839",0,304,C,0,,,"2,389",440,"3,417",,,0,0,,0,0,,,526,"6,309",0,3,0,227,504,897,90,0,,"5,479","22,749",26,,
PCN,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,6,0,,,
POL,C,0,2,522,"5,530",70,0,"2,833",184,,1,310,"1,052",237,73,45,8,606,0,,0,30,"1,840","1,734",,61,460,"7,426","21,474",2,201,459,0,366,0,0,0,"5,444",0,29,"2,211","8,131","1,749",63,296,,116,19,197,"11,535",0,0,C,1,,0,"5,519",C,"3,318",,,2,1,,,16,13,6,444,C,"1,037",389,7,175,788,"2,900",14,0,,"7,906","20,003",4,,2
PRT,,0,0,295,970,8,0,"3,307",38,,197,100,"1,087",403,2,10,2,89,0,0,35,15,5,660,,8,629,"20,406","14,049",2,"1,788",123,0,1,0,0,1,"5,714",0,5,"8,119",805,467,1,73,0,5,0,8,"12,208",0,0,C,46,4,,"4,456",,"1,367",,,3,0,C,95,,36,7,266,C,25,153,6,"14,561",166,350,44,0,,"10,964","10,624",0,,
