,ARG,ABW,AUS,AUT,BHS,BHR,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,LBN,LUX,MYS,MLT,MUS,NLD,ANT,NZL,NOR,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
FJI,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
FIN,16,0,357,"1,195",2,2,"2,532",105,0,2,"1,868",,17,0,7,,,2,34,"2,052",,41,,"10,637","18,639",37,205,0,5,,"3,891",357,,"4,077","6,082",421,,0,8,"8,963",1,20,,"5,987",15,24,"1,530",0,,2,269,,0,355,2,26,"1,749","6,604","4,139",0,0,,"12,933","55,139",0,,
FRA,7,0,"2,903","6,394",116,673,"29,983","2,318",28,23,"9,446",336,52,"2,531",105,17,,101,171,"5,190",114,1,"7,620",,"74,191",626,937,20,32,20,"15,280",375,60,"43,911","64,422","6,222",0,217,109,"59,187",30,142,2,"45,191",140,208,"4,524",3,35,16,"3,677",1,0,"2,723",1,267,"19,705","7,904","28,374",49,2,,"130,577","143,572",1,,
TFQ,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
PYF,0,0,0,2,,,10,0,,,0,,0,0,,,,0,0,0,,0,,16,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
NCL,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
GAB,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,106,1,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,3,0,,,C,,0,,
GMB,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,1,,,0,,,0,,,0,,,,,,0,0,,,0,22,0,,
GEO,0,0,0,0,,,4,0,,,0,,0,0,,,,0,0,1,,0,,0,0,,,0,,,0,0,,0,0,3,,0,,6,,,,56,,,1,,,0,,,3,,,,,,0,0,,,0,4,0,,
DEU,82,0,"2,440","30,472",185,352,"32,304","2,074",16,130,"7,085",636,191,"5,272",215,80,,209,601,"12,289",46,111,"8,275","86,353",,236,"6,937",54,21,9,"33,333",641,245,"59,566","111,307","8,746",0,74,14,"150,101",28,268,0,"68,221",268,568,"9,761",269,16,63,"5,879",0,13,"6,487",95,80,"32,783","9,867","61,745",0,186,,"130,030","134,142",1,,10
GHA,0,0,0,1,,,0,0,,,3,,0,0,,,,0,0,0,,0,,0,4,,3,0,,,0,0,,0,0,,,30,,4,,,,0,,,0,,,0,,,0,,,,,,6,0,,,4,208,0,,
GIB,0,0,0,53,,,4,0,0,,0,29,0,0,,,,0,18,0,,0,,32,"1,282",,1,0,,,0,5,,98,0,1,,0,,41,,,,564,,,0,,,13,594,,0,,,,41,,42,0,,,161,22,0,,
GRC,0,0,61,"2,178",,,"4,189",389,,,411,,0,0,,,,113,10,275,,0,160,"10,428","14,512",,169,0,0,,"2,688",14,,"2,842","2,232",146,,10,,"4,147",1,84,,"5,306",1,0,684,,,0,182,,0,31,2,0,572,134,370,0,,,"10,542","4,563",11,,
GRL,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,4,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
GRD,0,0,0,0,,,0,0,0,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,8,0,,
GLP,0,0,0,4,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
GUM,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
GTM,0,0,0,0,187,,0,9,0,1,2,18,0,0,,,8,0,0,0,,0,,0,8,,,0,,,0,0,,3,0,,,0,,4,,,,0,,,0,42,,0,,,0,,,,,,0,0,,,13,60,0,,
GGY,0,0,0,199,,3,59,43,2,,0,16,3,0,2,,,0,0,10,,0,,480,0,,,0,0,,14,627,,668,,19,,0,,846,0,,2,"1,347",1,,0,,,210,43,,0,,,180,33,,"3,854",0,,,"1,265","4,645",0,,
GUF,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,1,,,,,0,,,0,,0,,
GIN,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,4,0,,,0,,0,,
GNB,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,11,,0,,,,,,0,0,,,0,,0,,
GUY,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
