,ARG,ABW,AUS,AUT,BHS,BHR,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,LBN,LUX,MYS,MLT,MUS,NLD,ANT,NZL,NOR,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
NZL,0,0,814,21,183,17,68,56,,,228,,0,0,13,,,5,0,50,5,0,11,704,218,,4,0,0,,156,53,3,246,"2,471",115,,0,,"2,230",0,1,,33,12,,24,,,0,,,0,"1,206",,2,,8,263,0,,,"2,303","4,129",0,461,
NIC,0,0,0,0,,,0,0,,,0,72,0,0,,,6,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,1,,,,0,,,0,7,,0,,,0,,,,,,0,0,,,0,22,0,,
NER,0,0,0,0,,,0,8,,,0,,0,0,,,,0,0,0,,0,,0,0,0,,0,,,0,0,,0,0,3,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
NGA,0,0,1,5,,,0,0,,,0,145,0,0,,,,0,0,5,2,0,,34,16,,28,0,1,,0,0,,32,1,,,0,,15,,,0,1,,,0,,,0,,,0,,,,,,1,0,,,83,,0,,
NIU,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,1,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
NFK,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
NOR,1,0,126,523,14,26,649,287,0,,514,158,2,0,26,24,,108,0,"1,632",,0,447,"2,001","3,228",4,222,0,8,,"1,205",57,17,599,"4,509",537,,16,1,"4,625",0,33,,896,15,17,,2,5,9,33,,0,673,3,7,163,"2,425","2,403",0,0,,"7,150","14,641",0,,
OMN,0,0,0,46,,107,0,0,,,1,,0,0,,,,0,0,0,,0,,0,11,,24,0,,,0,0,,0,0,,,0,1,18,,5,,0,,,0,,,0,,,0,,,,,,1,0,,,16,,0,,
PAK,0,0,0,0,,98,0,69,,,1,,0,0,,,,0,0,16,,0,,0,0,,0,0,,,0,0,,3,14,,,0,,43,0,,,2,,,0,,,0,,,0,,,,,,4,0,,,39,180,0,,
PLW,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,1,0,,,0,,0,,
PAN,17,0,2,37,633,,6,43,55,,148,167,13,0,,10,62,2,0,14,,0,,56,218,,6,0,0,,21,10,5,204,76,26,,0,0,298,2,,,92,3,,13,,,0,21,,0,,,,9,4,493,0,,,441,"9,956",0,,22
PNG,0,0,0,4,,,0,0,,,0,,0,0,,,,0,0,0,,0,,7,5,,,0,0,,0,0,,6,1,,,0,,14,112,,,1,,,0,,,0,,,0,,,,,,4,0,,,0,155,0,,
PRY,0,0,0,0,,,0,0,9,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,5,,,,0,,,0,,,0,,,0,,,4,,,0,0,,,0,,0,,
PER,12,0,3,18,69,,11,136,22,,129,39,3,0,,,,0,0,12,,0,,95,93,0,2,0,,,4,0,,186,23,,,0,,136,3,,,56,18,,0,11,,0,,,0,,,,9,1,9,0,,,296,"1,673",0,,
PHL,0,0,8,23,,13,73,690,,,171,16,0,"1,239",0,,0,0,0,33,,0,,132,112,,47,0,0,,21,0,,186,"1,560",455,,110,0,610,102,,,245,-9,0,33,,,0,,,0,"1,376",,,1,57,614,1,,,"1,012","4,015",0,,
PCN,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
POL,0,0,12,390,,,83,187,0,,82,,0,0,,,,8,159,120,,0,,254,"1,706",23,62,24,0,,362,3,,266,18,70,,3,0,"2,075",0,,,509,4,0,6,0,,,43,,16,,0,,57,57,100,0,,,"3,110","3,099",7,,
PRT,0,0,60,597,247,67,"2,816",265,78,,285,485,9,0,1,,,19,1,111,,0,307,"11,534","10,992",145,481,4,0,,"2,485",24,,"3,205","1,646",789,,0,0,"3,022",0,45,,"2,235",1,0,629,,,0,,,0,485,3,2,"2,762",249,414,0,,,"8,280","4,506",0,,
PRI,0,0,0,0,,,0,0,0,,20,,0,0,,,,0,0,0,,0,,0,0,,4,0,0,,0,0,,6,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,1
QAT,0,0,0,28,,355,8,0,,,0,,0,0,,,,10,0,3,,0,,23,78,,6,0,,,0,0,,61,2,,,2,3,61,2,,,48,,,19,,,0,,,0,,,,,,11,0,,,205,,0,,
REU,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
ROU,0,0,0,32,,3,0,0,,,3,,0,0,,,,0,0,9,2,0,,17,293,134,49,0,,0,0,0,,489,0,94,,13,,75,,,,61,,,0,,,0,7,,0,,0,,9,0,25,0,0,,117,13,0,,
RUS,0,0,11,493,5,,85,40,,2,173,30,4,0,,,0,"1,313",13,112,,3,58,424,"2,196",29,330,0,0,,222,22,,"2,400",128,313,35,3,1,"1,716",8,,,682,151,0,10,0,,0,,,,,2,,11,536,505,0,0,17,"3,961","10,208",2,,0
RWA,0,0,0,0,,,1,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
SHN,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,4,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
SPM,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
WSM,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,2,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
SMR,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
STP,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,1,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
SAU,0,0,0,0,,679,1,14,,,0,,0,0,,,,0,0,0,238,0,,0,0,,167,0,1,,0,0,,0,0,,,0,0,20,1,,,56,3,,0,,,0,,,0,,,,,,2,0,,,837,,0,,
SEN,0,0,0,0,,,1,29,,,0,,0,0,,,,0,0,1,,0,,5,0,,,0,,,0,0,,0,0,,,0,,291,,,,0,,,0,,,0,,,0,,,,,,1,0,,,0,,0,,
SRB,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,3,0,,0,,3,,0,,1,,,,1,,,0,,,0,,,3,,,,,,0,0,,,30,1,0,,
SYC,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,0,,0,0,,0,0,,,0,,0,,,0,0,,,0,,,0,,,0,,,,,,0,0,,,C,,0,,
SLE,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
SGP,0,0,779,86,22,66,89,348,1,,"1,333",20,0,"2,685",32,,,0,0,129,,0,,328,412,3,88,0,0,40,457,15,,547,"2,133","1,629",,152,0,"1,586",471,,,861,2,30,196,,62,0,,,0,,0,20,13,193,273,106,,,"12,672","22,818",0,,
SVK,0,0,0,289,,,13,0,,,0,11,0,0,,,,1,87,7,,0,,26,781,,4,19,0,,0,0,,70,30,,,5,,265,1,,,81,,,0,,,0,,,0,,,,3,,26,0,,,206,133,0,,
SVN,0,0,0,322,,,15,4,0,,0,,2,0,,,,4,0,1,,0,,192,639,,16,0,0,,0,0,,93,0,,,0,,185,,,,46,,,0,,,0,,,0,,,,2,,22,0,,,332,14,0,,
SLB,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,1,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
SOM,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
ZAF,0,0,205,240,,24,108,"1,592",0,,359,21,0,0,,,,0,0,82,,0,,264,"1,039",12,156,0,0,,219,9,,281,"1,111",68,,9,0,"1,185",3,0,9,405,,0,11,,5,0,115,,0,1,,,59,67,499,0,,,"3,875","7,861",0,,
ESP,422,0,631,"2,184","1,051",90,"14,576",836,526,7,"3,348",38,53,0,40,,,25,78,"1,628",10,0,"2,645","42,547","39,228",145,"1,957",4,12,,"13,554",422,5,"11,645","13,489","1,389",,6,2,"23,763",8,27,,"16,679",31,115,"3,674",3,,3,"2,893",,0,"1,642",9,47,,"2,234","4,056",0,0,,"30,519","39,922",14,,0
LKA,0,0,0,0,,,0,114,,,6,,0,0,,,,0,0,1,,0,,0,0,,0,0,,,0,0,,0,2,,,11,0,7,0,,,0,,,0,,,0,,,0,41,,,,,0,0,,,26,158,0,,
KNA,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,31,,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
LCA,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
VCT,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,2,0,,,0,,0,,
SDN,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
SUR,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,1,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
SWZ,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,0,,,0,0,,,0,,0,,
SWE,6,0,410,"1,018",,115,"1,591",406,4,0,"1,707",199,98,0,25,24,,328,17,"9,328",2,24,"6,162","8,148","9,093",44,679,9,45,,"4,089","1,526",,"4,673","17,779",669,,8,6,"19,246",3,25,,"5,870",40,75,"4,676",2,,0,224,,1,615,0,165,"1,203",,"5,763",28,0,,"28,712","36,830",0,,7
CHE,1,0,"1,241","1,773",19,23,"2,739",420,25,,"4,729",94,9,0,17,,,89,11,"2,765",18,0,"1,060","11,881","22,755",47,277,6,18,,"4,398",206,37,"6,072","7,166","1,331",0,4,19,"16,774",2,46,6,"10,802",285,103,"2,189",10,,13,193,0,1,338,2,238,"3,295","5,350",,23,5,,"30,260","76,627",0,,1
SYR,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
TWN,0,0,177,43,,,106,964,0,,659,,0,"2,095",31,,,0,0,242,,0,,408,396,2,335,0,0,0,492,19,,486,476,61,,8,0,"2,626",21,,,565,18,0,220,,13,0,,,0,"1,437",0,,142,273,525,1,,,"8,508","19,860",0,,
TJK,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
TZA,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,1,0,,,0,,,0,,,0,,,,,1,0,0,,,C,7,0,,
THA,0,0,21,82,,,142,202,,,109,11,0,"1,147",0,,,1,0,54,,0,,156,384,0,131,0,3,0,168,3,,134,"1,038",122,,179,0,621,36,,,175,1,0,6,,1,0,,,0,"2,415",,,14,16,83,,,,"1,906","2,698",0,,
TLS,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
TGO,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,3,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
TKL,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
TON,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
TTO,0,0,0,1,224,,0,361,,,4,59,0,0,,,,0,0,0,,0,,53,3,,1,0,,,0,0,,0,72,,,0,,23,,,,0,,,0,,,0,,,0,,,,,,2,0,,,75,495,0,,
TUN,0,0,0,80,,,20,0,,,0,,0,0,,,,0,0,0,,0,,154,135,,3,0,,,0,0,,21,787,,,7,0,27,,11,,0,,,0,,,0,,,0,,,,,0,2,0,,,213,168,0,,
TUR,0,0,27,193,4,336,26,82,0,4,84,,0,0,,,,13,0,19,,0,,93,"4,022",106,122,0,0,,75,1,,"2,364","2,071",3,1,0,3,"1,006",4,762,2,141,1,0,12,,,0,5,,7,,,,40,11,552,0,,,"1,169","3,539",0,,
TKM,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,1,0,,,0,0,,0,0,,,0,,16,,,,0,,,0,,,0,,,0,,,,,,0,0,,,C,,0,,
TCA,0,0,0,0,,,0,5,2,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,76,,,0,,0,,,,0,,,0,0,,0,,,0,,,,,,0,0,,,0,32,0,,
TUV,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
UGA,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,15,,,,0,,,0,,,0,,,0,,,,,,0,0,,,C,5,0,,
UKR,0,0,1,30,7,,1,23,0,,2,,0,0,,,,20,0,9,,2,,22,233,0,59,0,0,,0,3,,286,7,10,,0,,34,,,,12,,,0,,,0,,,254,,0,,4,4,32,0,,,28,203,0,,
ARE,0,0,0,0,,10,0,0,,,0,,0,0,,,,0,0,0,,0,,5,0,,0,0,0,,0,0,,0,0,,,0,1,10,,,,2,,,0,,,0,,,0,,,,,,0,0,,,54,,0,,
GBR,27,7,"7,921","6,999",585,"1,446","11,853","6,488",99,9,"24,252","1,773",101,"31,070",266,46,,173,180,"8,789",96,8,"3,798","68,603","72,961","1,070","17,133",38,336,74,"84,186","10,969",423,"33,731","110,356","18,336",53,430,24,"60,309",410,235,75,"40,787",783,"1,814","12,206",295,24,82,"2,533",0,29,"16,484",28,"16,585","15,132","18,647","25,008",31,8,,,"512,975",19,,
USA,"10,694",247,"44,446","15,013","6,457","5,533","29,411","119,217","1,878",572,"152,682","32,974","2,610","39,253",320,"1,064",9,342,579,"21,117",527,10,"7,332","116,530","108,168","1,284","15,924",186,744,249,"145,558","6,242","5,850","74,001","490,200","36,932","1,253","3,764",264,"177,910",208,353,7,"142,411","6,747","5,268","26,850","1,283","1,844",510,"3,445",1,212,"22,972",53,"4,385","16,999","51,144","82,744",292,231,1,"308,986",,291,929,"2,123"
URY,5,0,0,32,85,,2,0,63,,31,69,258,0,,,1,0,0,1,,0,,12,126,,3,0,,,0,1,,21,192,,,3,,44,,,,92,62,,0,4,,0,,,0,,,,,,15,0,,,180,603,,,
PUQ,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,,,,8,,19,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
VIR,5,0,0,0,,,0,0,1,,0,,0,0,5,,,0,0,0,,0,,4,0,,0,0,,,0,0,,0,0,12,,175,0,43,,,,2,,,0,,,0,,,0,,,0,,,,0,,,12,,0,,
UZB,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,1,,0,1,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,1,0,,
VUT,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,10,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
VAT,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,9,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,37,0,,,0,,0,,
VEN,8,0,2,30,60,268,140,134,26,,329,29,12,0,,5,0,-26,0,20,,0,,108,546,0,58,0,,,78,13,,"1,179",509,,,0,1,"1,371",2,,,257,278,,28,80,5,0,,,0,,,,12,1,91,0,,,"1,433","3,655",11,,
VNM,0,0,0,0,,,0,14,,,0,,0,0,,,,0,0,4,,0,,0,2,,15,0,,,0,0,,0,31,,,22,,11,10,,,0,,,0,,,0,,,0,25,,,,0,0,3,,,33,21,0,,
VGB,0,0,,92,,14,7,"1,325",117,,14,56,0,"1,622",39,,,35,0,0,,0,,969,427,,"1,172",0,1,2,0,192,,250,"1,726",309,,0,12,"2,140",9,,2,301,134,,0,,,0,472,0,0,220,,156,38,63,,1,,,529,"2,011",0,,
WLF,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,1,0,,,0,,2,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
PSE,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,1,0,,,0,,0,,
ESH,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
YEM,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,1,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,0,0,,
ZMB,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,C,5,0,,
ZWE,0,0,0,0,,,68,0,,,8,,0,0,,,,0,0,1,,0,,0,0,,2,0,,,0,0,,0,0,,,0,,6,,,0,1,,,0,,,0,,,0,,,25,,0,0,0,,,1,88,0,,
